dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,100,,0.516992,0.0,-0.350949,0.0,300,300,full_logistic
vuamc,claude,expert_only,100,129.0,1.902907,0.060828,0.256914,0.043246,300,300,full_logistic
vuamc,claude,expert_only,100,167.0,1.847551,0.056991,0.283279,0.041492,300,300,full_logistic
vuamc,claude,expert_only,100,215.0,1.842645,0.062927,0.207882,0.042177,300,300,full_logistic
vuamc,claude,expert_only,100,278.0,1.895718,0.060808,0.259336,0.04321,300,300,full_logistic
vuamc,claude,expert_only,100,359.0,2.014119,0.072358,0.256354,0.045514,300,300,full_logistic
vuamc,claude,expert_only,100,463.0,1.971685,0.066646,0.221871,0.044886,300,300,full_logistic
vuamc,claude,expert_only,100,598.0,1.805598,0.054044,0.33891,0.044138,300,300,full_logistic
vuamc,claude,expert_only,100,772.0,1.688074,0.051502,0.245901,0.039501,300,300,full_logistic
vuamc,claude,expert_only,100,997.0,1.883554,0.059413,0.3311,0.049635,300,300,full_logistic
vuamc,claude,dsl,100,129.0,1.382752,0.018345,-0.781013,0.010423,300,300,full_logistic
vuamc,claude,dsl,100,167.0,1.387216,0.018473,-0.785849,0.010369,300,300,full_logistic
vuamc,claude,dsl,100,215.0,1.425431,0.02003,-0.814286,0.010264,300,300,full_logistic
vuamc,claude,dsl,100,278.0,1.414176,0.02058,-0.795974,0.010837,300,300,full_logistic
vuamc,claude,dsl,100,359.0,1.418027,0.02244,-0.792354,0.011423,300,300,full_logistic
vuamc,claude,dsl,100,463.0,1.396382,0.020859,-0.791166,0.010728,300,300,full_logistic
vuamc,claude,dsl,100,598.0,1.40998,0.022184,-0.796084,0.011076,300,300,full_logistic
vuamc,claude,dsl,100,772.0,1.389505,0.021218,-0.792416,0.010519,300,300,full_logistic
vuamc,claude,dsl,100,997.0,1.389047,0.021739,-0.786381,0.010778,300,300,full_logistic
vuamc,claude,ppi,100,129.0,4.274879,0.1698,-0.655647,0.079484,300,300,full_logistic
vuamc,claude,ppi,100,167.0,3.309174,0.139881,-0.680569,0.063038,300,300,full_logistic
vuamc,claude,ppi,100,215.0,2.681256,0.112103,-0.643681,0.048119,300,300,full_logistic
vuamc,claude,ppi,100,278.0,2.410166,0.09606,-0.554148,0.041399,300,300,full_logistic
vuamc,claude,ppi,100,359.0,2.426183,0.100717,-0.604986,0.042861,300,300,full_logistic
vuamc,claude,ppi,100,463.0,1.928876,0.073967,-0.557823,0.032506,300,300,full_logistic
vuamc,claude,ppi,100,598.0,2.301166,0.097106,-0.618438,0.038464,300,300,full_logistic
vuamc,claude,ppi,100,772.0,1.748336,0.064062,-0.51726,0.028667,300,300,full_logistic
vuamc,claude,ppi,100,997.0,1.907891,0.073049,-0.540283,0.033917,300,300,full_logistic
vuamc,claude,ppipp,100,129.0,1.101106,0.021483,-0.510668,0.014105,300,300,full_logistic
vuamc,claude,ppipp,100,167.0,1.088146,0.021341,-0.509014,0.013496,300,300,full_logistic
vuamc,claude,ppipp,100,215.0,1.092588,0.021223,-0.53354,0.013526,300,300,full_logistic
vuamc,claude,ppipp,100,278.0,1.085403,0.02014,-0.52698,0.014053,300,300,full_logistic
vuamc,claude,ppipp,100,359.0,1.101452,0.021499,-0.517175,0.013431,300,300,full_logistic
vuamc,claude,ppipp,100,463.0,1.111453,0.021719,-0.524317,0.014981,300,300,full_logistic
vuamc,claude,ppipp,100,598.0,1.055302,0.019454,-0.505964,0.014267,300,300,full_logistic
vuamc,claude,ppipp,100,772.0,1.058405,0.019158,-0.527903,0.012385,300,300,full_logistic
vuamc,claude,ppipp,100,997.0,1.066741,0.019956,-0.514958,0.013963,300,300,full_logistic
