dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,100,,0.05036,0.0,0.05036,0.0,300,300,prevalence
vuamc,gpt54,expert_only,100,129.0,0.125229,0.007221,0.006245,0.007221,300,300,prevalence
vuamc,gpt54,expert_only,100,167.0,0.113671,0.006563,0.000746,0.006563,300,300,prevalence
vuamc,gpt54,expert_only,100,215.0,0.109189,0.006293,0.006404,0.006293,300,300,prevalence
vuamc,gpt54,expert_only,100,278.0,0.111843,0.006457,-0.000689,0.006457,300,300,prevalence
vuamc,gpt54,expert_only,100,359.0,0.104102,0.00601,-0.000529,0.00601,300,300,prevalence
vuamc,gpt54,expert_only,100,463.0,0.117889,0.00676,0.013657,0.00676,300,300,prevalence
vuamc,gpt54,expert_only,100,598.0,0.116519,0.006696,0.011266,0.006696,300,300,prevalence
vuamc,gpt54,expert_only,100,772.0,0.108138,0.006243,0.000268,0.006243,300,300,prevalence
vuamc,gpt54,expert_only,100,997.0,0.112808,0.006507,0.004731,0.006507,300,300,prevalence
vuamc,gpt54,dsl,100,129.0,0.113163,0.00653,0.003469,0.00653,300,300,prevalence
vuamc,gpt54,dsl,100,167.0,0.093909,0.00542,-0.002542,0.00542,300,300,prevalence
vuamc,gpt54,dsl,100,215.0,0.09184,0.005274,0.009469,0.005274,300,300,prevalence
vuamc,gpt54,dsl,100,278.0,0.080413,0.004642,-0.000603,0.004642,300,300,prevalence
vuamc,gpt54,dsl,100,359.0,0.077062,0.004439,0.005212,0.004439,300,300,prevalence
vuamc,gpt54,dsl,100,463.0,0.07655,0.004413,0.004059,0.004413,300,300,prevalence
vuamc,gpt54,dsl,100,598.0,0.077444,0.00446,0.005537,0.00446,300,300,prevalence
vuamc,gpt54,dsl,100,772.0,0.07148,0.004127,0.000217,0.004127,300,300,prevalence
vuamc,gpt54,dsl,100,997.0,0.066865,0.003845,-0.005923,0.003845,300,300,prevalence
vuamc,gpt54,ppi,100,129.0,0.113674,0.006561,0.003069,0.006561,300,300,prevalence
vuamc,gpt54,ppi,100,167.0,0.09477,0.005468,-0.003494,0.005468,300,300,prevalence
vuamc,gpt54,ppi,100,215.0,0.091823,0.005282,0.007947,0.005282,300,300,prevalence
vuamc,gpt54,ppi,100,278.0,0.0804,0.004641,-0.00133,0.004641,300,300,prevalence
vuamc,gpt54,ppi,100,359.0,0.076705,0.004426,0.002825,0.004426,300,300,prevalence
vuamc,gpt54,ppi,100,463.0,0.07647,0.004413,0.002097,0.004413,300,300,prevalence
vuamc,gpt54,ppi,100,598.0,0.076957,0.004439,0.003215,0.004439,300,300,prevalence
vuamc,gpt54,ppi,100,772.0,0.071507,0.004128,-0.001391,0.004128,300,300,prevalence
vuamc,gpt54,ppi,100,997.0,0.066977,0.003844,-0.007304,0.003844,300,300,prevalence
vuamc,gpt54,ppipp,100,129.0,0.117395,0.006772,0.004976,0.006772,300,300,prevalence
vuamc,gpt54,ppipp,100,167.0,0.100264,0.005789,-0.000785,0.005789,300,300,prevalence
vuamc,gpt54,ppipp,100,215.0,0.094918,0.00546,0.008015,0.00546,300,300,prevalence
vuamc,gpt54,ppipp,100,278.0,0.088812,0.005128,-4.3e-05,0.005128,300,300,prevalence
vuamc,gpt54,ppipp,100,359.0,0.082623,0.004769,0.002194,0.004769,300,300,prevalence
vuamc,gpt54,ppipp,100,463.0,0.089357,0.005132,0.009088,0.005132,300,300,prevalence
vuamc,gpt54,ppipp,100,598.0,0.088007,0.005057,0.008584,0.005057,300,300,prevalence
vuamc,gpt54,ppipp,100,772.0,0.081764,0.004721,0.00063,0.004721,300,300,prevalence
vuamc,gpt54,ppipp,100,997.0,0.080735,0.004661,-4.7e-05,0.004661,300,300,prevalence
