dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,200,,0.812193,0.0,-0.812193,0.0,300,300,low_variance
vuamc,mistral,expert_only,200,239.0,0.15769,0.009104,0.001078,0.009104,300,300,low_variance
vuamc,mistral,expert_only,200,286.0,0.16125,0.0093,0.007484,0.0093,300,300,low_variance
vuamc,mistral,expert_only,200,342.0,0.165716,0.009447,0.026271,0.009447,300,300,low_variance
vuamc,mistral,expert_only,200,408.0,0.158242,0.0091,-0.014055,0.0091,300,300,low_variance
vuamc,mistral,expert_only,200,488.0,0.153439,0.008858,0.00226,0.008858,300,300,low_variance
vuamc,mistral,expert_only,200,584.0,0.172811,0.009941,0.014635,0.009941,300,300,low_variance
vuamc,mistral,expert_only,200,698.0,0.174469,0.009985,0.023029,0.009985,300,300,low_variance
vuamc,mistral,expert_only,200,834.0,0.154941,0.008945,-0.002059,0.008945,300,300,low_variance
vuamc,mistral,expert_only,200,997.0,0.153616,0.008867,0.003501,0.008867,300,300,low_variance
vuamc,mistral,dsl,200,239.0,0.807819,0.002593,-0.80657,0.002593,300,300,low_variance
vuamc,mistral,dsl,200,286.0,0.81021,0.002462,-0.809087,0.002462,300,300,low_variance
vuamc,mistral,dsl,200,342.0,0.813753,0.00234,-0.812743,0.00234,300,300,low_variance
vuamc,mistral,dsl,200,408.0,0.815414,0.002159,-0.814557,0.002159,300,300,low_variance
vuamc,mistral,dsl,200,488.0,0.813676,0.001959,-0.812967,0.001959,300,300,low_variance
vuamc,mistral,dsl,200,584.0,0.815078,0.001708,-0.814541,0.001708,300,300,low_variance
vuamc,mistral,dsl,200,698.0,0.815359,0.001617,-0.814878,0.001617,300,300,low_variance
vuamc,mistral,dsl,200,834.0,0.81794,0.001418,-0.817571,0.001418,300,300,low_variance
vuamc,mistral,dsl,200,997.0,0.819309,0.001246,-0.819025,0.001246,300,300,low_variance
vuamc,mistral,ppi,200,239.0,0.716116,0.04014,-0.171598,0.04014,300,300,low_variance
vuamc,mistral,ppi,200,286.0,0.684031,0.036038,-0.279784,0.036038,300,300,low_variance
vuamc,mistral,ppi,200,342.0,0.673542,0.034873,-0.298035,0.034873,300,300,low_variance
vuamc,mistral,ppi,200,408.0,0.615085,0.029733,-0.336321,0.029733,300,300,low_variance
vuamc,mistral,ppi,200,488.0,0.611806,0.028902,-0.351717,0.028902,300,300,low_variance
vuamc,mistral,ppi,200,584.0,0.556455,0.024475,-0.360458,0.024475,300,300,low_variance
vuamc,mistral,ppi,200,698.0,0.579991,0.025979,-0.365945,0.025979,300,300,low_variance
vuamc,mistral,ppi,200,834.0,0.600525,0.027921,-0.356037,0.027921,300,300,low_variance
vuamc,mistral,ppi,200,997.0,0.582179,0.025065,-0.387896,0.025065,300,300,low_variance
vuamc,mistral,ppipp,200,239.0,0.508731,0.002366,-0.507077,0.002366,300,300,low_variance
vuamc,mistral,ppipp,200,286.0,0.50633,0.002383,-0.504644,0.002383,300,300,low_variance
vuamc,mistral,ppipp,200,342.0,0.504219,0.002485,-0.502378,0.002485,300,300,low_variance
vuamc,mistral,ppipp,200,408.0,0.512687,0.002381,-0.511025,0.002381,300,300,low_variance
vuamc,mistral,ppipp,200,488.0,0.510318,0.002306,-0.508752,0.002306,300,300,low_variance
vuamc,mistral,ppipp,200,584.0,0.507705,0.002504,-0.50585,0.002504,300,300,low_variance
vuamc,mistral,ppipp,200,698.0,0.505843,0.002531,-0.50394,0.002531,300,300,low_variance
vuamc,mistral,ppipp,200,834.0,0.509398,0.00246,-0.507612,0.00246,300,300,low_variance
vuamc,mistral,ppipp,200,997.0,0.509688,0.00239,-0.508004,0.00239,300,300,low_variance
