dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,50,,0.962776,0.0,-0.948728,0.0,300,300,full_logistic
vuamc,mistral,expert_only,50,70.0,4.700959,0.156069,0.470887,0.108285,300,300,full_logistic
vuamc,mistral,expert_only,50,97.0,4.838209,0.161558,0.557956,0.111528,300,300,full_logistic
vuamc,mistral,expert_only,50,136.0,4.549981,0.156104,0.59929,0.098154,300,300,full_logistic
vuamc,mistral,expert_only,50,189.0,4.687145,0.156491,0.512859,0.109308,300,300,full_logistic
vuamc,mistral,expert_only,50,264.0,4.661827,0.160243,0.713497,0.109269,300,300,full_logistic
vuamc,mistral,expert_only,50,368.0,4.785551,0.162934,0.674181,0.110244,300,300,full_logistic
vuamc,mistral,expert_only,50,513.0,4.676475,0.154849,0.419163,0.104659,300,300,full_logistic
vuamc,mistral,expert_only,50,715.0,4.509297,0.145997,0.637534,0.102193,300,300,full_logistic
vuamc,mistral,expert_only,50,997.0,4.754543,0.151329,0.627329,0.111027,300,300,full_logistic
vuamc,mistral,dsl,50,70.0,1.880821,0.027623,-0.44073,0.018353,300,300,full_logistic
vuamc,mistral,dsl,50,97.0,1.867928,0.031509,-0.428229,0.019948,300,300,full_logistic
vuamc,mistral,dsl,50,136.0,1.858601,0.029434,-0.439494,0.018921,300,300,full_logistic
vuamc,mistral,dsl,50,189.0,1.977181,0.030906,-0.43026,0.022881,300,300,full_logistic
vuamc,mistral,dsl,50,264.0,1.912752,0.033891,-0.417116,0.020911,300,300,full_logistic
vuamc,mistral,dsl,50,368.0,1.912758,0.031091,-0.426313,0.021417,300,300,full_logistic
vuamc,mistral,dsl,50,513.0,2.048726,0.032804,-0.432968,0.021901,300,300,full_logistic
vuamc,mistral,dsl,50,715.0,2.024168,0.03527,-0.373737,0.022498,300,300,full_logistic
vuamc,mistral,dsl,50,997.0,1.971585,0.030896,-0.457677,0.024142,300,300,full_logistic
vuamc,mistral,ppi,50,70.0,17.445708,0.659696,3.070962,0.352184,300,300,full_logistic
vuamc,mistral,ppi,50,97.0,14.162355,0.600857,2.242822,0.308679,300,300,full_logistic
vuamc,mistral,ppi,50,136.0,11.026344,0.480881,1.517222,0.238882,300,300,full_logistic
vuamc,mistral,ppi,50,189.0,9.046462,0.376763,1.039265,0.199954,300,300,full_logistic
vuamc,mistral,ppi,50,264.0,8.807367,0.387839,1.171018,0.202271,300,300,full_logistic
vuamc,mistral,ppi,50,368.0,8.216353,0.345965,1.075656,0.179327,300,300,full_logistic
vuamc,mistral,ppi,50,513.0,8.864141,0.384135,0.983297,0.195382,300,300,full_logistic
vuamc,mistral,ppi,50,715.0,9.066421,0.394509,1.290724,0.209759,300,300,full_logistic
vuamc,mistral,ppi,50,997.0,7.38095,0.321414,0.657549,0.162339,300,300,full_logistic
vuamc,mistral,ppipp,50,70.0,1.856841,0.044067,-0.243592,0.028685,300,300,full_logistic
vuamc,mistral,ppipp,50,97.0,1.853223,0.045052,-0.22933,0.029888,300,300,full_logistic
vuamc,mistral,ppipp,50,136.0,1.82863,0.044069,-0.196827,0.026276,300,300,full_logistic
vuamc,mistral,ppipp,50,189.0,1.907046,0.044151,-0.226922,0.028746,300,300,full_logistic
vuamc,mistral,ppipp,50,264.0,1.780434,0.043065,-0.184799,0.027187,300,300,full_logistic
vuamc,mistral,ppipp,50,368.0,1.838349,0.04468,-0.169968,0.029979,300,300,full_logistic
vuamc,mistral,ppipp,50,513.0,1.871518,0.043534,-0.232723,0.026932,300,300,full_logistic
vuamc,mistral,ppipp,50,715.0,1.851558,0.042202,-0.198073,0.028019,300,300,full_logistic
vuamc,mistral,ppipp,50,997.0,1.854053,0.044428,-0.214643,0.029508,300,300,full_logistic
