dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,claude,llm_only,200,,0.03562,0.0,-0.043282,0.0,300,300
cuad,claude,expert_only,200,239.0,0.233022,0.004037,0.10604,0.022106,300,300
cuad,claude,expert_only,200,286.0,0.238369,0.004667,0.131317,0.026699,300,300
cuad,claude,expert_only,200,342.0,0.242042,0.004235,0.168184,0.026527,300,300
cuad,claude,expert_only,200,408.0,0.228672,0.004165,0.138342,0.024229,300,300
cuad,claude,expert_only,200,488.0,0.234131,0.004003,0.131612,0.024753,300,300
cuad,claude,expert_only,200,584.0,0.241999,0.004561,0.193918,0.026651,300,300
cuad,claude,expert_only,200,698.0,0.237672,0.004554,0.14625,0.026121,300,300
cuad,claude,expert_only,200,834.0,0.232099,0.004418,0.124847,0.02559,300,300
cuad,claude,expert_only,200,997.0,0.234937,0.004667,0.127036,0.025541,300,300
cuad,claude,dsl,200,239.0,0.216942,0.003789,0.077419,0.019672,300,300
cuad,claude,dsl,200,286.0,0.207603,0.003719,0.077277,0.020462,300,300
cuad,claude,dsl,200,342.0,0.192282,0.003362,0.098261,0.018374,300,300
cuad,claude,dsl,200,408.0,0.172303,0.003157,0.075869,0.015761,300,300
cuad,claude,dsl,200,488.0,0.162614,0.003461,0.040365,0.012881,300,300
cuad,claude,dsl,200,584.0,0.13921,0.00307,0.040122,0.012512,300,300
cuad,claude,dsl,200,698.0,0.131366,0.003438,0.034261,0.011053,300,300
cuad,claude,dsl,200,834.0,0.101361,0.002722,0.017513,0.009921,300,300
cuad,claude,dsl,200,997.0,0.068044,0.00134,-0.005778,0.008716,300,300
cuad,claude,ppi,200,239.0,0.21663,0.003809,0.076629,0.019673,300,300
cuad,claude,ppi,200,286.0,0.207431,0.003722,0.075531,0.020271,300,300
cuad,claude,ppi,200,342.0,0.191967,0.003351,0.095094,0.018085,300,300
cuad,claude,ppi,200,408.0,0.173273,0.003188,0.079001,0.015642,300,300
cuad,claude,ppi,200,488.0,0.16255,0.003451,0.036413,0.01283,300,300
cuad,claude,ppi,200,584.0,0.139732,0.003131,0.037916,0.012406,300,300
cuad,claude,ppi,200,698.0,0.132316,0.003427,0.032306,0.010804,300,300
cuad,claude,ppi,200,834.0,0.101578,0.002757,0.018922,0.009729,300,300
cuad,claude,ppi,200,997.0,0.068406,0.001383,-0.004041,0.008457,300,300
cuad,claude,ppipp,200,239.0,0.219701,0.003849,0.087037,0.020236,300,300
cuad,claude,ppipp,200,286.0,0.212859,0.004056,0.089757,0.021926,300,300
cuad,claude,ppipp,200,342.0,0.20205,0.003752,0.120426,0.020561,300,300
cuad,claude,ppipp,200,408.0,0.180563,0.003694,0.09095,0.017844,300,300
cuad,claude,ppipp,200,488.0,0.177098,0.003737,0.065044,0.016385,300,300
cuad,claude,ppipp,200,584.0,0.16251,0.003574,0.086593,0.016327,300,300
cuad,claude,ppipp,200,698.0,0.158023,0.003367,0.067534,0.015443,300,300
cuad,claude,ppipp,200,834.0,0.138406,0.002834,0.04662,0.014529,300,300
cuad,claude,ppipp,200,997.0,0.1284,0.002289,0.03355,0.013985,300,300
