dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,claude,llm_only,200,,high_variance,0.099232,0.0,0.099232,0.0,300,300
cuad,claude,expert_only,200,239.0,high_variance,0.408028,0.023514,0.024664,0.023514,300,300
cuad,claude,expert_only,200,286.0,high_variance,0.385251,0.022241,-0.004317,0.022241,300,300
cuad,claude,expert_only,200,342.0,high_variance,0.400544,0.023087,0.023196,0.023087,300,300
cuad,claude,expert_only,200,408.0,high_variance,0.357531,0.020638,0.007076,0.020638,300,300
cuad,claude,expert_only,200,488.0,high_variance,0.398127,0.022978,-0.010492,0.022978,300,300
cuad,claude,expert_only,200,584.0,high_variance,0.376275,0.021598,0.040552,0.021598,300,300
cuad,claude,expert_only,200,698.0,high_variance,0.423991,0.024353,0.042955,0.024353,300,300
cuad,claude,expert_only,200,834.0,high_variance,0.403311,0.023153,0.04292,0.023153,300,300
cuad,claude,expert_only,200,997.0,high_variance,0.378264,0.021792,0.024749,0.021792,300,300
cuad,claude,dsl,200,239.0,high_variance,0.36414,0.021012,0.012059,0.021012,300,300
cuad,claude,dsl,200,286.0,high_variance,0.322393,0.018611,0.004777,0.018611,300,300
cuad,claude,dsl,200,342.0,high_variance,0.301423,0.017347,0.024012,0.017347,300,300
cuad,claude,dsl,200,408.0,high_variance,0.247032,0.014262,-0.001408,0.014262,300,300
cuad,claude,dsl,200,488.0,high_variance,0.239361,0.01375,-0.023969,0.01375,300,300
cuad,claude,dsl,200,584.0,high_variance,0.220617,0.012675,-0.021834,0.012675,300,300
cuad,claude,dsl,200,698.0,high_variance,0.20923,0.01207,-0.008487,0.01207,300,300
cuad,claude,dsl,200,834.0,high_variance,0.182357,0.010481,0.017229,0.010481,300,300
cuad,claude,dsl,200,997.0,high_variance,0.164631,0.0095,-0.005541,0.0095,300,300
cuad,claude,ppi,200,239.0,high_variance,0.36495,0.02106,0.011509,0.02106,300,300
cuad,claude,ppi,200,286.0,high_variance,0.323533,0.018677,0.005155,0.018677,300,300
cuad,claude,ppi,200,342.0,high_variance,0.303042,0.017436,0.025064,0.017436,300,300
cuad,claude,ppi,200,408.0,high_variance,0.248772,0.014361,-0.003968,0.014361,300,300
cuad,claude,ppi,200,488.0,high_variance,0.241289,0.013881,-0.020358,0.013881,300,300
cuad,claude,ppi,200,584.0,high_variance,0.22352,0.012805,-0.027703,0.012805,300,300
cuad,claude,ppi,200,698.0,high_variance,0.212706,0.012267,-0.010067,0.012267,300,300
cuad,claude,ppi,200,834.0,high_variance,0.181482,0.010432,0.016914,0.010432,300,300
cuad,claude,ppi,200,997.0,high_variance,0.16374,0.009442,-0.008199,0.009442,300,300
cuad,claude,ppipp,200,239.0,high_variance,0.37661,0.021719,0.017911,0.021719,300,300
cuad,claude,ppipp,200,286.0,high_variance,0.337663,0.019495,-0.001365,0.019495,300,300
cuad,claude,ppipp,200,342.0,high_variance,0.331009,0.01907,0.021701,0.01907,300,300
cuad,claude,ppipp,200,408.0,high_variance,0.274962,0.015875,-0.001433,0.015875,300,300
cuad,claude,ppipp,200,488.0,high_variance,0.28777,0.016574,-0.020005,0.016574,300,300
cuad,claude,ppipp,200,584.0,high_variance,0.265652,0.015335,0.004628,0.015335,300,300
cuad,claude,ppipp,200,698.0,high_variance,0.281904,0.016261,0.011848,0.016261,300,300
cuad,claude,ppipp,200,834.0,high_variance,0.260675,0.014995,0.022318,0.014995,300,300
cuad,claude,ppipp,200,997.0,high_variance,0.238667,0.013778,0.003044,0.013778,300,300
