dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,deepseek,llm_only,200,,0.059417,0.0,-0.117957,0.0,300,300
cuad,deepseek,expert_only,200,239.0,0.233022,0.004037,0.10604,0.022106,300,300
cuad,deepseek,expert_only,200,286.0,0.238369,0.004667,0.131317,0.026699,300,300
cuad,deepseek,expert_only,200,342.0,0.242042,0.004235,0.168184,0.026527,300,300
cuad,deepseek,expert_only,200,408.0,0.228672,0.004165,0.138342,0.024229,300,300
cuad,deepseek,expert_only,200,488.0,0.234131,0.004003,0.131612,0.024753,300,300
cuad,deepseek,expert_only,200,584.0,0.241999,0.004561,0.193918,0.026651,300,300
cuad,deepseek,expert_only,200,698.0,0.237672,0.004554,0.14625,0.026121,300,300
cuad,deepseek,expert_only,200,834.0,0.232099,0.004418,0.124847,0.02559,300,300
cuad,deepseek,expert_only,200,997.0,0.234937,0.004667,0.127036,0.025541,300,300
cuad,deepseek,dsl,200,239.0,0.216624,0.003756,0.075484,0.01971,300,300
cuad,deepseek,dsl,200,286.0,0.206626,0.003654,0.0781,0.020204,300,300
cuad,deepseek,dsl,200,342.0,0.192975,0.003391,0.097394,0.018341,300,300
cuad,deepseek,dsl,200,408.0,0.172085,0.003088,0.071951,0.016162,300,300
cuad,deepseek,dsl,200,488.0,0.160676,0.003288,0.042864,0.013561,300,300
cuad,deepseek,dsl,200,584.0,0.135449,0.002843,0.036299,0.012874,300,300
cuad,deepseek,dsl,200,698.0,0.126541,0.003332,0.026812,0.011184,300,300
cuad,deepseek,dsl,200,834.0,0.10041,0.002808,0.009977,0.01005,300,300
cuad,deepseek,dsl,200,997.0,0.062717,0.001187,0.000194,0.00866,300,300
cuad,deepseek,ppi,200,239.0,0.216318,0.003775,0.074437,0.01968,300,300
cuad,deepseek,ppi,200,286.0,0.206301,0.003639,0.076448,0.019949,300,300
cuad,deepseek,ppi,200,342.0,0.192887,0.003381,0.094753,0.017996,300,300
cuad,deepseek,ppi,200,408.0,0.172581,0.003114,0.074182,0.016034,300,300
cuad,deepseek,ppi,200,488.0,0.160163,0.00327,0.038784,0.01356,300,300
cuad,deepseek,ppi,200,584.0,0.135356,0.002889,0.033934,0.012626,300,300
cuad,deepseek,ppi,200,698.0,0.126609,0.00333,0.023382,0.010924,300,300
cuad,deepseek,ppi,200,834.0,0.101044,0.002834,0.012105,0.010006,300,300
cuad,deepseek,ppi,200,997.0,0.063601,0.001245,0.001954,0.00849,300,300
cuad,deepseek,ppipp,200,239.0,0.219764,0.003849,0.085706,0.020177,300,300
cuad,deepseek,ppipp,200,286.0,0.212617,0.004054,0.090282,0.021713,300,300
cuad,deepseek,ppipp,200,342.0,0.202286,0.003764,0.119342,0.020466,300,300
cuad,deepseek,ppipp,200,408.0,0.180679,0.003699,0.08793,0.017878,300,300
cuad,deepseek,ppipp,200,488.0,0.175787,0.003685,0.066281,0.016657,300,300
cuad,deepseek,ppipp,200,584.0,0.160401,0.003494,0.085155,0.016415,300,300
cuad,deepseek,ppipp,200,698.0,0.154689,0.003367,0.062242,0.015189,300,300
cuad,deepseek,ppipp,200,834.0,0.136742,0.002818,0.042857,0.014291,300,300
cuad,deepseek,ppipp,200,997.0,0.124408,0.002168,0.035478,0.013413,300,300
