dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,deepseek,llm_only,200,,low_variance,0.013339,0.0,0.013339,0.0,300,300
cuad,deepseek,expert_only,200,239.0,low_variance,0.189695,0.010835,0.027655,0.010835,300,300
cuad,deepseek,expert_only,200,286.0,low_variance,0.191133,0.011033,0.003834,0.011033,300,300
cuad,deepseek,expert_only,200,342.0,low_variance,0.194525,0.011138,0.025004,0.011138,300,300
cuad,deepseek,expert_only,200,408.0,low_variance,0.205925,0.011825,0.021359,0.011825,300,300
cuad,deepseek,expert_only,200,488.0,low_variance,0.188283,0.01086,-0.008352,0.01086,300,300
cuad,deepseek,expert_only,200,584.0,low_variance,0.207265,0.011924,0.017451,0.011924,300,300
cuad,deepseek,expert_only,200,698.0,low_variance,0.184445,0.010648,0.002969,0.010648,300,300
cuad,deepseek,expert_only,200,834.0,low_variance,0.203912,0.011771,0.00344,0.011771,300,300
cuad,deepseek,expert_only,200,997.0,low_variance,0.195873,0.011189,0.028484,0.011189,300,300
cuad,deepseek,dsl,200,239.0,low_variance,0.176713,0.010133,0.020596,0.010133,300,300
cuad,deepseek,dsl,200,286.0,low_variance,0.157255,0.009074,-0.005392,0.009074,300,300
cuad,deepseek,dsl,200,342.0,low_variance,0.145224,0.008331,0.01638,0.008331,300,300
cuad,deepseek,dsl,200,408.0,low_variance,0.139053,0.008008,0.009856,0.008008,300,300
cuad,deepseek,dsl,200,488.0,low_variance,0.12563,0.007209,-0.013878,0.007209,300,300
cuad,deepseek,dsl,200,584.0,low_variance,0.11608,0.006691,0.006652,0.006691,300,300
cuad,deepseek,dsl,200,698.0,low_variance,0.095786,0.005523,-0.004857,0.005523,300,300
cuad,deepseek,dsl,200,834.0,low_variance,0.097415,0.005623,-0.001778,0.005623,300,300
cuad,deepseek,dsl,200,997.0,low_variance,0.090308,0.005203,0.005764,0.005203,300,300
cuad,deepseek,ppi,200,239.0,low_variance,0.178048,0.010217,0.019559,0.010217,300,300
cuad,deepseek,ppi,200,286.0,low_variance,0.157591,0.009093,-0.005326,0.009093,300,300
cuad,deepseek,ppi,200,342.0,low_variance,0.144112,0.008271,0.015729,0.008271,300,300
cuad,deepseek,ppi,200,408.0,low_variance,0.138927,0.008006,0.00849,0.008006,300,300
cuad,deepseek,ppi,200,488.0,low_variance,0.127179,0.007307,-0.012556,0.007307,300,300
cuad,deepseek,ppi,200,584.0,low_variance,0.115812,0.006677,0.006049,0.006677,300,300
cuad,deepseek,ppi,200,698.0,low_variance,0.100327,0.005783,-0.005705,0.005783,300,300
cuad,deepseek,ppi,200,834.0,low_variance,0.097721,0.005642,-0.000634,0.005642,300,300
cuad,deepseek,ppi,200,997.0,low_variance,0.094025,0.005424,0.003904,0.005424,300,300
cuad,deepseek,ppipp,200,239.0,low_variance,0.17889,0.010237,0.023731,0.010237,300,300
cuad,deepseek,ppipp,200,286.0,low_variance,0.166579,0.009617,-0.000897,0.009617,300,300
cuad,deepseek,ppipp,200,342.0,low_variance,0.159643,0.00914,0.02053,0.00914,300,300
cuad,deepseek,ppipp,200,408.0,low_variance,0.162173,0.009321,0.015324,0.009321,300,300
cuad,deepseek,ppipp,200,488.0,low_variance,0.139888,0.008053,-0.010613,0.008053,300,300
cuad,deepseek,ppipp,200,584.0,low_variance,0.148524,0.008549,0.011473,0.008549,300,300
cuad,deepseek,ppipp,200,698.0,low_variance,0.121602,0.007019,-0.002354,0.007019,300,300
cuad,deepseek,ppipp,200,834.0,low_variance,0.133877,0.007729,-5.5e-05,0.007729,300,300
cuad,deepseek,ppipp,200,997.0,low_variance,0.125184,0.007163,0.016639,0.007163,300,300
