dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,gpt54,llm_only,50,,0.03164,0.0,-0.001298,0.0,300,300
cuad,gpt54,expert_only,50,70.0,0.436746,0.008618,0.36984,0.058699,300,300
cuad,gpt54,expert_only,50,97.0,0.460227,0.009141,0.483864,0.061732,300,300
cuad,gpt54,expert_only,50,136.0,0.426698,0.008231,0.418855,0.067636,300,300
cuad,gpt54,expert_only,50,189.0,0.445095,0.008472,0.492813,0.063471,300,300
cuad,gpt54,expert_only,50,264.0,0.442007,0.008341,0.381955,0.061175,300,300
cuad,gpt54,expert_only,50,368.0,0.457364,0.009259,0.452822,0.066294,300,300
cuad,gpt54,expert_only,50,513.0,0.455569,0.009417,0.453449,0.064341,300,300
cuad,gpt54,expert_only,50,715.0,0.446512,0.008941,0.548136,0.06265,300,300
cuad,gpt54,expert_only,50,997.0,0.433628,0.009022,0.508689,0.063613,300,300
cuad,gpt54,dsl,50,70.0,0.381121,0.007883,0.270952,0.046563,300,300
cuad,gpt54,dsl,50,97.0,0.345664,0.00686,0.265789,0.044314,300,300
cuad,gpt54,dsl,50,136.0,0.315008,0.006237,0.201361,0.041251,300,300
cuad,gpt54,dsl,50,189.0,0.268649,0.005349,0.166217,0.033176,300,300
cuad,gpt54,dsl,50,264.0,0.261674,0.005508,0.112986,0.029008,300,300
cuad,gpt54,dsl,50,368.0,0.228163,0.004548,0.070015,0.025292,300,300
cuad,gpt54,dsl,50,513.0,0.197615,0.004263,0.036654,0.020177,300,300
cuad,gpt54,dsl,50,715.0,0.166881,0.003995,0.004764,0.018839,300,300
cuad,gpt54,dsl,50,997.0,0.148703,0.003757,0.003134,0.019841,300,300
cuad,gpt54,ppi,50,70.0,0.381368,0.007925,0.278037,0.04664,300,300
cuad,gpt54,ppi,50,97.0,0.345949,0.006908,0.274511,0.044583,300,300
cuad,gpt54,ppi,50,136.0,0.315971,0.00625,0.210085,0.040768,300,300
cuad,gpt54,ppi,50,189.0,0.268513,0.005321,0.176194,0.032529,300,300
cuad,gpt54,ppi,50,264.0,0.261053,0.005498,0.108024,0.0278,300,300
cuad,gpt54,ppi,50,368.0,0.226425,0.004579,0.068261,0.023756,300,300
cuad,gpt54,ppi,50,513.0,0.193317,0.004235,0.056451,0.018712,300,300
cuad,gpt54,ppi,50,715.0,0.165949,0.004143,-0.001171,0.017674,300,300
cuad,gpt54,ppi,50,997.0,0.14679,0.00374,-0.008633,0.01977,300,300
cuad,gpt54,ppipp,50,70.0,0.386989,0.007414,0.287481,0.047806,300,300
cuad,gpt54,ppipp,50,97.0,0.366961,0.006846,0.322347,0.048278,300,300
cuad,gpt54,ppipp,50,136.0,0.324172,0.006233,0.243369,0.046503,300,300
cuad,gpt54,ppipp,50,189.0,0.303694,0.006264,0.243979,0.040995,300,300
cuad,gpt54,ppipp,50,264.0,0.288539,0.005958,0.169708,0.037663,300,300
cuad,gpt54,ppipp,50,368.0,0.270377,0.005161,0.163871,0.034815,300,300
cuad,gpt54,ppipp,50,513.0,0.245728,0.004796,0.140202,0.032427,300,300
cuad,gpt54,ppipp,50,715.0,0.23278,0.004943,0.177662,0.031449,300,300
cuad,gpt54,ppipp,50,997.0,0.218486,0.004384,0.168747,0.033289,300,300
