dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,gpt54,llm_only,50,,high_variance,0.009442,0.0,0.009442,0.0,300,300
cuad,gpt54,expert_only,50,70.0,high_variance,0.989264,0.056192,0.177121,0.056192,300,300
cuad,gpt54,expert_only,50,97.0,high_variance,0.944171,0.053556,0.176041,0.053556,300,300
cuad,gpt54,expert_only,50,136.0,high_variance,1.062699,0.060611,0.164973,0.060611,300,300
cuad,gpt54,expert_only,50,189.0,high_variance,0.966669,0.055299,0.130557,0.055299,300,300
cuad,gpt54,expert_only,50,264.0,high_variance,0.972707,0.055256,0.173782,0.055256,300,300
cuad,gpt54,expert_only,50,368.0,high_variance,0.979612,0.05552,0.186833,0.05552,300,300
cuad,gpt54,expert_only,50,513.0,high_variance,1.082869,0.06061,0.26556,0.06061,300,300
cuad,gpt54,expert_only,50,715.0,high_variance,0.970831,0.055909,0.069141,0.055909,300,300
cuad,gpt54,expert_only,50,997.0,high_variance,0.970346,0.055193,0.166407,0.055193,300,300
cuad,gpt54,dsl,50,70.0,high_variance,0.780539,0.044469,0.126469,0.044469,300,300
cuad,gpt54,dsl,50,97.0,high_variance,0.620465,0.035616,0.06648,0.035616,300,300
cuad,gpt54,dsl,50,136.0,high_variance,0.604472,0.034781,0.049615,0.034781,300,300
cuad,gpt54,dsl,50,189.0,high_variance,0.458614,0.026412,0.032303,0.026412,300,300
cuad,gpt54,dsl,50,264.0,high_variance,0.407389,0.023515,0.008759,0.023515,300,300
cuad,gpt54,dsl,50,368.0,high_variance,0.37174,0.021409,0.026261,0.021409,300,300
cuad,gpt54,dsl,50,513.0,high_variance,0.329923,0.019007,0.021544,0.019007,300,300
cuad,gpt54,dsl,50,715.0,high_variance,0.273718,0.015771,0.017345,0.015771,300,300
cuad,gpt54,dsl,50,997.0,high_variance,0.286744,0.016539,0.012497,0.016539,300,300
cuad,gpt54,ppi,50,70.0,high_variance,0.777713,0.044259,0.131108,0.044259,300,300
cuad,gpt54,ppi,50,97.0,high_variance,0.626039,0.035972,0.061148,0.035972,300,300
cuad,gpt54,ppi,50,136.0,high_variance,0.586476,0.033757,0.045649,0.033757,300,300
cuad,gpt54,ppi,50,189.0,high_variance,0.442597,0.025477,0.03409,0.025477,300,300
cuad,gpt54,ppi,50,264.0,high_variance,0.405839,0.02343,0.004658,0.02343,300,300
cuad,gpt54,ppi,50,368.0,high_variance,0.354902,0.020399,0.033398,0.020399,300,300
cuad,gpt54,ppi,50,513.0,high_variance,0.309965,0.017885,0.010713,0.017885,300,300
cuad,gpt54,ppi,50,715.0,high_variance,0.268964,0.015488,0.019445,0.015488,300,300
cuad,gpt54,ppi,50,997.0,high_variance,0.281528,0.016229,0.015504,0.016229,300,300
cuad,gpt54,ppipp,50,70.0,high_variance,0.834825,0.047478,0.143796,0.047478,300,300
cuad,gpt54,ppipp,50,97.0,high_variance,0.701966,0.04012,0.099404,0.04012,300,300
cuad,gpt54,ppipp,50,136.0,high_variance,0.732817,0.042055,0.080243,0.042055,300,300
cuad,gpt54,ppipp,50,189.0,high_variance,0.58826,0.03383,0.052095,0.03383,300,300
cuad,gpt54,ppipp,50,264.0,high_variance,0.553354,0.031826,0.048275,0.031826,300,300
cuad,gpt54,ppipp,50,368.0,high_variance,0.554824,0.031674,0.082858,0.031674,300,300
cuad,gpt54,ppipp,50,513.0,high_variance,0.540219,0.030656,0.099538,0.030656,300,300
cuad,gpt54,ppipp,50,715.0,high_variance,0.478968,0.027636,0.017071,0.027636,300,300
cuad,gpt54,ppipp,50,997.0,high_variance,0.492135,0.028192,0.061281,0.028192,300,300
