dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
cuad,llama,llm_only,100,,0.081638,0.0,-0.096257,0.0,300,300
cuad,llama,expert_only,100,129.0,0.304866,0.00649,0.458945,0.064823,300,300
cuad,llama,expert_only,100,167.0,0.323919,0.00681,0.337589,0.058593,300,300
cuad,llama,expert_only,100,215.0,0.314754,0.006988,0.424872,0.066748,300,300
cuad,llama,expert_only,100,278.0,0.330167,0.007181,0.435569,0.061907,300,300
cuad,llama,expert_only,100,359.0,0.319917,0.006508,0.454306,0.064155,300,300
cuad,llama,expert_only,100,463.0,0.317911,0.007077,0.299153,0.058663,300,300
cuad,llama,expert_only,100,598.0,0.32498,0.007269,0.402244,0.059374,300,300
cuad,llama,expert_only,100,772.0,0.312782,0.006873,0.375083,0.059726,300,300
cuad,llama,expert_only,100,997.0,0.325042,0.007046,0.331046,0.057265,300,300
cuad,llama,dsl,100,129.0,0.277331,0.005544,0.306445,0.052908,300,300
cuad,llama,dsl,100,167.0,0.256882,0.005026,0.178974,0.041426,300,300
cuad,llama,dsl,100,215.0,0.240562,0.004692,0.160178,0.038568,300,300
cuad,llama,dsl,100,278.0,0.219321,0.003628,0.150708,0.035639,300,300
cuad,llama,dsl,100,359.0,0.204993,0.003748,0.113425,0.032091,300,300
cuad,llama,dsl,100,463.0,0.18952,0.003452,0.047678,0.030621,300,300
cuad,llama,dsl,100,598.0,0.164706,0.003249,-0.013625,0.027308,300,300
cuad,llama,dsl,100,772.0,0.145444,0.003048,0.021042,0.025318,300,300
cuad,llama,dsl,100,997.0,0.128576,0.00265,-0.007629,0.028134,300,300
cuad,llama,ppi,100,129.0,0.276755,0.005521,0.296071,0.052611,300,300
cuad,llama,ppi,100,167.0,0.256427,0.004964,0.185708,0.041262,300,300
cuad,llama,ppi,100,215.0,0.241969,0.004703,0.153259,0.038632,300,300
cuad,llama,ppi,100,278.0,0.220618,0.003729,0.137013,0.034945,300,300
cuad,llama,ppi,100,359.0,0.206424,0.003841,0.099135,0.032317,300,300
cuad,llama,ppi,100,463.0,0.191902,0.003638,0.058466,0.030872,300,300
cuad,llama,ppi,100,598.0,0.166503,0.003292,-0.024273,0.026494,300,300
cuad,llama,ppi,100,772.0,0.148898,0.003171,0.006206,0.025435,300,300
cuad,llama,ppi,100,997.0,0.132031,0.002836,0.000946,0.028464,300,300
cuad,llama,ppipp,100,129.0,0.283269,0.005787,0.357867,0.05562,300,300
cuad,llama,ppipp,100,167.0,0.277542,0.00581,0.231145,0.044837,300,300
cuad,llama,ppipp,100,215.0,0.254079,0.005352,0.219928,0.042107,300,300
cuad,llama,ppipp,100,278.0,0.24552,0.005024,0.246046,0.041792,300,300
cuad,llama,ppipp,100,359.0,0.227981,0.004566,0.217966,0.038439,300,300
cuad,llama,ppipp,100,463.0,0.21406,0.004584,0.110481,0.035082,300,300
cuad,llama,ppipp,100,598.0,0.20243,0.003997,0.124603,0.033066,300,300
cuad,llama,ppipp,100,772.0,0.190023,0.004065,0.131088,0.033103,300,300
cuad,llama,ppipp,100,997.0,0.185049,0.003563,0.100312,0.031725,300,300
