dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
cuad,mistral,llm_only,100,,high_variance,0.305053,0.0,0.305053,0.0,300,300
cuad,mistral,expert_only,100,129.0,high_variance,0.683796,0.039475,0.009447,0.039475,300,300
cuad,mistral,expert_only,100,167.0,high_variance,0.62446,0.035977,0.040686,0.035977,300,300
cuad,mistral,expert_only,100,215.0,high_variance,0.629535,0.036259,0.043529,0.036259,300,300
cuad,mistral,expert_only,100,278.0,high_variance,0.71119,0.04075,0.087332,0.04075,300,300
cuad,mistral,expert_only,100,359.0,high_variance,0.626273,0.036113,0.031339,0.036113,300,300
cuad,mistral,expert_only,100,463.0,high_variance,0.635361,0.036544,0.055117,0.036544,300,300
cuad,mistral,expert_only,100,598.0,high_variance,0.63543,0.036452,0.071751,0.036452,300,300
cuad,mistral,expert_only,100,772.0,high_variance,0.663729,0.037382,0.145989,0.037382,300,300
cuad,mistral,expert_only,100,997.0,high_variance,0.662589,0.03811,0.057534,0.03811,300,300
cuad,mistral,dsl,100,129.0,high_variance,0.609409,0.035184,-0.0024,0.035184,300,300
cuad,mistral,dsl,100,167.0,high_variance,0.509385,0.029371,0.026042,0.029371,300,300
cuad,mistral,dsl,100,215.0,high_variance,0.503349,0.029052,0.012523,0.029052,300,300
cuad,mistral,dsl,100,278.0,high_variance,0.459087,0.026501,0.00865,0.026501,300,300
cuad,mistral,dsl,100,359.0,high_variance,0.427641,0.024625,-0.03101,0.024625,300,300
cuad,mistral,dsl,100,463.0,high_variance,0.437142,0.025175,-0.030982,0.025175,300,300
cuad,mistral,dsl,100,598.0,high_variance,0.406433,0.023415,0.026715,0.023415,300,300
cuad,mistral,dsl,100,772.0,high_variance,0.422421,0.024376,0.013305,0.024376,300,300
cuad,mistral,dsl,100,997.0,high_variance,0.394452,0.022751,0.017691,0.022751,300,300
cuad,mistral,ppi,100,129.0,high_variance,0.612182,0.035344,-0.000761,0.035344,300,300
cuad,mistral,ppi,100,167.0,high_variance,0.512676,0.029566,0.024199,0.029566,300,300
cuad,mistral,ppi,100,215.0,high_variance,0.515807,0.029767,0.015369,0.029767,300,300
cuad,mistral,ppi,100,278.0,high_variance,0.467012,0.026953,0.012703,0.026953,300,300
cuad,mistral,ppi,100,359.0,high_variance,0.438241,0.025228,-0.033381,0.025228,300,300
cuad,mistral,ppi,100,463.0,high_variance,0.461015,0.026512,-0.040947,0.026512,300,300
cuad,mistral,ppi,100,598.0,high_variance,0.413922,0.023836,0.029778,0.023836,300,300
cuad,mistral,ppi,100,772.0,high_variance,0.435993,0.025167,0.009085,0.025167,300,300
cuad,mistral,ppi,100,997.0,high_variance,0.407565,0.023497,0.021834,0.023497,300,300
cuad,mistral,ppipp,100,129.0,high_variance,0.627425,0.036224,0.001074,0.036224,300,300
cuad,mistral,ppipp,100,167.0,high_variance,0.536266,0.030937,0.021143,0.030937,300,300
cuad,mistral,ppipp,100,215.0,high_variance,0.517907,0.029883,0.017949,0.029883,300,300
cuad,mistral,ppipp,100,278.0,high_variance,0.5141,0.029617,0.033841,0.029617,300,300
cuad,mistral,ppipp,100,359.0,high_variance,0.464618,0.026806,-0.017257,0.026806,300,300
cuad,mistral,ppipp,100,463.0,high_variance,0.452139,0.026104,-0.003151,0.026104,300,300
cuad,mistral,ppipp,100,598.0,high_variance,0.462865,0.026649,0.034506,0.026649,300,300
cuad,mistral,ppipp,100,772.0,high_variance,0.468042,0.026808,0.058798,0.026808,300,300
cuad,mistral,ppipp,100,997.0,high_variance,0.454468,0.026199,0.025128,0.026199,300,300
