dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,deepseek,llm_only,50,,0.287723,0.0,-0.711631,0.0,300,300
misogynistic,deepseek,expert_only,50,70.0,0.902108,0.024632,0.597777,0.115225,300,300
misogynistic,deepseek,expert_only,50,97.0,0.872998,0.02361,0.470667,0.117851,300,300
misogynistic,deepseek,expert_only,50,136.0,0.917031,0.026063,0.740989,0.129665,300,300
misogynistic,deepseek,expert_only,50,189.0,0.919814,0.02831,0.618228,0.119832,300,300
misogynistic,deepseek,expert_only,50,264.0,0.892313,0.024393,0.615569,0.137183,300,300
misogynistic,deepseek,expert_only,50,368.0,0.856828,0.02221,0.447027,0.118794,300,300
misogynistic,deepseek,expert_only,50,513.0,0.859344,0.024404,0.936673,0.116518,300,300
misogynistic,deepseek,expert_only,50,715.0,0.835444,0.022349,0.634832,0.126508,300,300
misogynistic,deepseek,expert_only,50,997.0,0.898412,0.02548,0.612195,0.125887,300,300
misogynistic,deepseek,dsl,50,70.0,0.739155,0.019164,0.498799,0.09507,300,300
misogynistic,deepseek,dsl,50,97.0,0.642297,0.016547,0.397405,0.093477,300,300
misogynistic,deepseek,dsl,50,136.0,0.53365,0.011945,0.21694,0.077911,300,300
misogynistic,deepseek,dsl,50,189.0,0.483749,0.010636,0.233047,0.071215,300,300
misogynistic,deepseek,dsl,50,264.0,0.447283,0.010442,0.126437,0.072186,300,300
misogynistic,deepseek,dsl,50,368.0,0.442656,0.01026,0.152683,0.069602,300,300
misogynistic,deepseek,dsl,50,513.0,0.412966,0.011001,0.124508,0.063908,300,300
misogynistic,deepseek,dsl,50,715.0,0.41156,0.011681,0.012934,0.068111,300,300
misogynistic,deepseek,dsl,50,997.0,0.38009,0.011187,-0.016926,0.057932,300,300
misogynistic,deepseek,ppi,50,70.0,0.745314,0.019541,0.489118,0.096263,300,300
misogynistic,deepseek,ppi,50,97.0,0.650753,0.016379,0.407189,0.095384,300,300
misogynistic,deepseek,ppi,50,136.0,0.545744,0.012452,0.189243,0.080934,300,300
misogynistic,deepseek,ppi,50,189.0,0.492153,0.010826,0.252402,0.07624,300,300
misogynistic,deepseek,ppi,50,264.0,0.464062,0.011159,0.182115,0.077117,300,300
misogynistic,deepseek,ppi,50,368.0,0.459707,0.011322,0.148823,0.072367,300,300
misogynistic,deepseek,ppi,50,513.0,0.434114,0.012089,0.09192,0.066458,300,300
misogynistic,deepseek,ppi,50,715.0,0.444048,0.013866,0.028775,0.073828,300,300
misogynistic,deepseek,ppi,50,997.0,0.415223,0.013209,-0.092189,0.062737,300,300
misogynistic,deepseek,ppipp,50,70.0,0.815249,0.022894,0.5139,0.105337,300,300
misogynistic,deepseek,ppipp,50,97.0,0.688449,0.018155,0.302199,0.094517,300,300
misogynistic,deepseek,ppipp,50,136.0,0.62254,0.016295,0.335286,0.084165,300,300
misogynistic,deepseek,ppipp,50,189.0,0.57358,0.014781,0.24399,0.082095,300,300
misogynistic,deepseek,ppipp,50,264.0,0.573274,0.01567,0.221919,0.094287,300,300
misogynistic,deepseek,ppipp,50,368.0,0.522547,0.012383,0.106453,0.076696,300,300
misogynistic,deepseek,ppipp,50,513.0,0.457955,0.011771,0.226027,0.066447,300,300
misogynistic,deepseek,ppipp,50,715.0,0.463383,0.011906,0.111646,0.071144,300,300
misogynistic,deepseek,ppipp,50,997.0,0.454776,0.011718,0.118676,0.069353,300,300
