dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,gpt54,llm_only,100,,high_variance,0.471364,0.0,-0.471364,0.0,300,300
misogynistic,gpt54,expert_only,100,129.0,high_variance,0.988058,0.052386,0.391129,0.052386,300,300
misogynistic,gpt54,expert_only,100,167.0,high_variance,0.856077,0.04438,0.376807,0.04438,300,300
misogynistic,gpt54,expert_only,100,215.0,high_variance,0.915673,0.048444,0.366606,0.048444,300,300
misogynistic,gpt54,expert_only,100,278.0,high_variance,0.89744,0.0468,0.385115,0.0468,300,300
misogynistic,gpt54,expert_only,100,359.0,high_variance,0.830854,0.043342,0.356043,0.043342,300,300
misogynistic,gpt54,expert_only,100,463.0,high_variance,0.98872,0.051327,0.432702,0.051327,300,300
misogynistic,gpt54,expert_only,100,598.0,high_variance,0.832411,0.043116,0.367722,0.043116,300,300
misogynistic,gpt54,expert_only,100,772.0,high_variance,0.915865,0.047914,0.387397,0.047914,300,300
misogynistic,gpt54,expert_only,100,997.0,high_variance,0.785728,0.041556,0.315133,0.041556,300,300
misogynistic,gpt54,dsl,100,129.0,high_variance,0.772077,0.042022,0.257558,0.042022,300,300
misogynistic,gpt54,dsl,100,167.0,high_variance,0.678761,0.037335,0.206263,0.037335,300,300
misogynistic,gpt54,dsl,100,215.0,high_variance,0.634227,0.035539,0.15278,0.035539,300,300
misogynistic,gpt54,dsl,100,278.0,high_variance,0.616004,0.034694,0.135521,0.034694,300,300
misogynistic,gpt54,dsl,100,359.0,high_variance,0.548195,0.031481,0.056587,0.031481,300,300
misogynistic,gpt54,dsl,100,463.0,high_variance,0.519316,0.029908,0.036708,0.029908,300,300
misogynistic,gpt54,dsl,100,598.0,high_variance,0.50681,0.029155,0.043118,0.029155,300,300
misogynistic,gpt54,dsl,100,772.0,high_variance,0.529724,0.030552,0.024044,0.030552,300,300
misogynistic,gpt54,dsl,100,997.0,high_variance,0.502243,0.028959,0.025534,0.028959,300,300
misogynistic,gpt54,ppi,100,129.0,high_variance,0.796162,0.043681,0.247906,0.043681,300,300
misogynistic,gpt54,ppi,100,167.0,high_variance,0.752543,0.041993,0.19313,0.041993,300,300
misogynistic,gpt54,ppi,100,215.0,high_variance,0.732725,0.041409,0.149918,0.041409,300,300
misogynistic,gpt54,ppi,100,278.0,high_variance,0.731809,0.041372,0.148522,0.041372,300,300
misogynistic,gpt54,ppi,100,359.0,high_variance,0.691797,0.039829,0.051722,0.039829,300,300
misogynistic,gpt54,ppi,100,463.0,high_variance,0.679025,0.039167,0.029503,0.039167,300,300
misogynistic,gpt54,ppi,100,598.0,high_variance,0.666853,0.038379,0.052947,0.038379,300,300
misogynistic,gpt54,ppi,100,772.0,high_variance,0.707697,0.040821,0.030414,0.040821,300,300
misogynistic,gpt54,ppi,100,997.0,high_variance,0.710801,0.041004,0.028832,0.041004,300,300
misogynistic,gpt54,ppipp,100,129.0,high_variance,0.77863,0.042177,0.269411,0.042177,300,300
misogynistic,gpt54,ppipp,100,167.0,high_variance,0.631073,0.034324,0.211669,0.034324,300,300
misogynistic,gpt54,ppipp,100,215.0,high_variance,0.616686,0.03451,0.151736,0.03451,300,300
misogynistic,gpt54,ppipp,100,278.0,high_variance,0.555638,0.030635,0.164877,0.030635,300,300
misogynistic,gpt54,ppipp,100,359.0,high_variance,0.500684,0.028119,0.116125,0.028119,300,300
misogynistic,gpt54,ppipp,100,463.0,high_variance,0.516799,0.028884,0.129612,0.028884,300,300
misogynistic,gpt54,ppipp,100,598.0,high_variance,0.471776,0.026606,0.101027,0.026606,300,300
misogynistic,gpt54,ppipp,100,772.0,high_variance,0.438254,0.024851,0.082397,0.024851,300,300
misogynistic,gpt54,ppipp,100,997.0,high_variance,0.415448,0.023788,0.053312,0.023788,300,300
