dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,200,,0.584651,0.0,-0.584651,0.0,300,300,low_variance
misogynistic,gpt54,expert_only,200,239.0,2.04012,0.113399,0.551627,0.113399,300,300,low_variance
misogynistic,gpt54,expert_only,200,286.0,2.34785,0.128817,0.730949,0.128817,300,300,low_variance
misogynistic,gpt54,expert_only,200,342.0,2.107627,0.11783,0.526233,0.11783,300,300,low_variance
misogynistic,gpt54,expert_only,200,409.0,2.392336,0.130174,0.799782,0.130174,300,300,low_variance
misogynistic,gpt54,expert_only,200,489.0,2.157568,0.12101,0.51196,0.12101,300,300,low_variance
misogynistic,gpt54,expert_only,200,585.0,2.092496,0.116565,0.549852,0.116565,300,300,low_variance
misogynistic,gpt54,expert_only,200,699.0,2.090147,0.116529,0.54315,0.116529,300,300,low_variance
misogynistic,gpt54,expert_only,200,836.0,2.036818,0.113704,0.519681,0.113704,300,300,low_variance
misogynistic,gpt54,expert_only,200,1000.0,2.155856,0.120782,0.520765,0.120782,300,300,low_variance
misogynistic,gpt54,dsl,200,239.0,1.444542,0.082724,0.183693,0.082724,300,300,low_variance
misogynistic,gpt54,dsl,200,286.0,1.478684,0.083985,0.265448,0.083985,300,300,low_variance
misogynistic,gpt54,dsl,200,342.0,1.211385,0.069936,0.012574,0.069936,300,300,low_variance
misogynistic,gpt54,dsl,200,409.0,1.136542,0.064835,0.17505,0.064835,300,300,low_variance
misogynistic,gpt54,dsl,200,489.0,1.02205,0.059008,0.00128,0.059008,300,300,low_variance
misogynistic,gpt54,dsl,200,585.0,0.898869,0.051853,-0.036754,0.051853,300,300,low_variance
misogynistic,gpt54,dsl,200,699.0,0.848856,0.048856,-0.06687,0.048856,300,300,low_variance
misogynistic,gpt54,dsl,200,836.0,0.737532,0.042439,-0.060275,0.042439,300,300,low_variance
misogynistic,gpt54,dsl,200,1000.0,0.710875,0.0407,-0.091575,0.0407,300,300,low_variance
misogynistic,gpt54,ppi,200,239.0,6.535069,0.377075,0.227073,0.377075,300,300,low_variance
misogynistic,gpt54,ppi,200,286.0,3.706962,0.208904,0.805832,0.208904,300,300,low_variance
misogynistic,gpt54,ppi,200,342.0,2.58159,0.146908,0.435906,0.146908,300,300,low_variance
misogynistic,gpt54,ppi,200,409.0,2.253089,0.124683,0.642396,0.124683,300,300,low_variance
misogynistic,gpt54,ppi,200,489.0,1.56692,0.089514,0.226685,0.089514,300,300,low_variance
misogynistic,gpt54,ppi,200,585.0,1.55184,0.089137,0.15681,0.089137,300,300,low_variance
misogynistic,gpt54,ppi,200,699.0,1.328371,0.076684,0.021263,0.076684,300,300,low_variance
misogynistic,gpt54,ppi,200,836.0,1.156061,0.066061,0.165047,0.066061,300,300,low_variance
misogynistic,gpt54,ppi,200,1000.0,1.003011,0.057909,0.003405,0.057909,300,300,low_variance
misogynistic,gpt54,ppipp,200,239.0,1.673273,0.094437,0.352637,0.094437,300,300,low_variance
misogynistic,gpt54,ppipp,200,286.0,1.773136,0.098612,0.476118,0.098612,300,300,low_variance
misogynistic,gpt54,ppipp,200,342.0,1.553418,0.088359,0.266283,0.088359,300,300,low_variance
misogynistic,gpt54,ppipp,200,409.0,1.619588,0.089366,0.476656,0.089366,300,300,low_variance
misogynistic,gpt54,ppipp,200,489.0,1.403877,0.080046,0.220583,0.080046,300,300,low_variance
misogynistic,gpt54,ppipp,200,585.0,1.311791,0.074706,0.215617,0.074706,300,300,low_variance
misogynistic,gpt54,ppipp,200,699.0,1.270298,0.072423,0.200272,0.072423,300,300,low_variance
misogynistic,gpt54,ppipp,200,836.0,1.199145,0.068331,0.19285,0.068331,300,300,low_variance
misogynistic,gpt54,ppipp,200,1000.0,1.188969,0.068059,0.155052,0.068059,300,300,low_variance
