dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,gpt54,llm_only,50,,0.361594,0.0,-0.682726,0.0,300,300
misogynistic,gpt54,expert_only,50,70.0,0.902108,0.024632,0.597777,0.115225,300,300
misogynistic,gpt54,expert_only,50,97.0,0.872998,0.02361,0.470667,0.117851,300,300
misogynistic,gpt54,expert_only,50,136.0,0.917031,0.026063,0.740989,0.129665,300,300
misogynistic,gpt54,expert_only,50,189.0,0.919814,0.02831,0.618228,0.119832,300,300
misogynistic,gpt54,expert_only,50,264.0,0.892313,0.024393,0.615569,0.137183,300,300
misogynistic,gpt54,expert_only,50,368.0,0.856828,0.02221,0.447027,0.118794,300,300
misogynistic,gpt54,expert_only,50,513.0,0.859344,0.024404,0.936673,0.116518,300,300
misogynistic,gpt54,expert_only,50,715.0,0.835444,0.022349,0.634832,0.126508,300,300
misogynistic,gpt54,expert_only,50,997.0,0.898412,0.02548,0.612195,0.125887,300,300
misogynistic,gpt54,dsl,50,70.0,0.734514,0.019019,0.448804,0.094287,300,300
misogynistic,gpt54,dsl,50,97.0,0.620225,0.015902,0.42758,0.086358,300,300
misogynistic,gpt54,dsl,50,136.0,0.534971,0.011797,0.236667,0.077894,300,300
misogynistic,gpt54,dsl,50,189.0,0.458927,0.009562,0.17236,0.070129,300,300
misogynistic,gpt54,dsl,50,264.0,0.428039,0.010386,0.110431,0.067259,300,300
misogynistic,gpt54,dsl,50,368.0,0.431232,0.010618,0.067353,0.064943,300,300
misogynistic,gpt54,dsl,50,513.0,0.381482,0.009827,0.109523,0.05989,300,300
misogynistic,gpt54,dsl,50,715.0,0.378026,0.0103,0.056797,0.061467,300,300
misogynistic,gpt54,dsl,50,997.0,0.367287,0.009753,0.010198,0.056419,300,300
misogynistic,gpt54,ppi,50,70.0,0.766416,0.019611,0.408544,0.100557,300,300
misogynistic,gpt54,ppi,50,97.0,0.660653,0.015456,0.531949,0.090165,300,300
misogynistic,gpt54,ppi,50,136.0,0.595736,0.013173,0.215517,0.084342,300,300
misogynistic,gpt54,ppi,50,189.0,0.531211,0.011754,0.162361,0.080881,300,300
misogynistic,gpt54,ppi,50,264.0,0.509011,0.013097,0.20994,0.079833,300,300
misogynistic,gpt54,ppi,50,368.0,0.519525,0.013544,0.019605,0.077284,300,300
misogynistic,gpt54,ppi,50,513.0,0.480655,0.013776,0.151279,0.07402,300,300
misogynistic,gpt54,ppi,50,715.0,0.478906,0.014137,0.095975,0.073916,300,300
misogynistic,gpt54,ppi,50,997.0,0.465899,0.013541,-0.000156,0.06513,300,300
misogynistic,gpt54,ppipp,50,70.0,0.814434,0.022225,0.434935,0.103277,300,300
misogynistic,gpt54,ppipp,50,97.0,0.710673,0.01853,0.369144,0.09725,300,300
misogynistic,gpt54,ppipp,50,136.0,0.654977,0.016571,0.379651,0.090846,300,300
misogynistic,gpt54,ppipp,50,189.0,0.606943,0.016271,0.30775,0.088739,300,300
misogynistic,gpt54,ppipp,50,264.0,0.588362,0.015511,0.289727,0.099538,300,300
misogynistic,gpt54,ppipp,50,368.0,0.550417,0.012895,0.138372,0.081028,300,300
misogynistic,gpt54,ppipp,50,513.0,0.476658,0.011221,0.389558,0.07212,300,300
misogynistic,gpt54,ppipp,50,715.0,0.489367,0.012209,0.228435,0.075433,300,300
misogynistic,gpt54,ppipp,50,997.0,0.514101,0.013745,0.232007,0.075171,300,300
