dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,llama,llm_only,200,,0.23308,0.0,-0.623909,0.0,300,300
misogynistic,llama,expert_only,200,239.0,0.300527,0.007309,0.188571,0.040996,300,300
misogynistic,llama,expert_only,200,286.0,0.303497,0.006831,0.284178,0.040181,300,300
misogynistic,llama,expert_only,200,342.0,0.302393,0.007006,0.121701,0.042084,300,300
misogynistic,llama,expert_only,200,408.0,0.311495,0.007308,0.252055,0.04376,300,300
misogynistic,llama,expert_only,200,488.0,0.309064,0.006607,0.276013,0.044064,300,300
misogynistic,llama,expert_only,200,584.0,0.29264,0.00633,0.214329,0.043634,300,300
misogynistic,llama,expert_only,200,698.0,0.316783,0.008278,0.143942,0.046396,300,300
misogynistic,llama,expert_only,200,834.0,0.303248,0.007424,0.236085,0.042415,300,300
misogynistic,llama,expert_only,200,997.0,0.301488,0.007208,0.234609,0.042497,300,300
misogynistic,llama,dsl,200,239.0,0.278896,0.006855,0.162071,0.039509,300,300
misogynistic,llama,dsl,200,286.0,0.258982,0.005557,0.201511,0.036934,300,300
misogynistic,llama,dsl,200,342.0,0.23276,0.00505,0.0536,0.036436,300,300
misogynistic,llama,dsl,200,408.0,0.225742,0.004991,0.088364,0.034525,300,300
misogynistic,llama,dsl,200,488.0,0.209364,0.004206,0.028584,0.035935,300,300
misogynistic,llama,dsl,200,584.0,0.202327,0.004361,0.038162,0.03367,300,300
misogynistic,llama,dsl,200,698.0,0.195167,0.0041,0.026547,0.03019,300,300
misogynistic,llama,dsl,200,834.0,0.183022,0.00377,0.01008,0.030583,300,300
misogynistic,llama,dsl,200,997.0,0.182768,0.00391,0.056923,0.031639,300,300
misogynistic,llama,ppi,200,239.0,0.281346,0.006902,0.160275,0.040305,300,300
misogynistic,llama,ppi,200,286.0,0.264058,0.005663,0.217492,0.037821,300,300
misogynistic,llama,ppi,200,342.0,0.236712,0.005029,0.047325,0.037028,300,300
misogynistic,llama,ppi,200,408.0,0.232955,0.005133,0.096467,0.035897,300,300
misogynistic,llama,ppi,200,488.0,0.220011,0.004514,0.013345,0.037733,300,300
misogynistic,llama,ppi,200,584.0,0.213627,0.004626,0.029591,0.036014,300,300
misogynistic,llama,ppi,200,698.0,0.20696,0.004429,0.038763,0.03228,300,300
misogynistic,llama,ppi,200,834.0,0.19873,0.004311,0.009366,0.033513,300,300
misogynistic,llama,ppi,200,997.0,0.197699,0.004428,0.069051,0.034691,300,300
misogynistic,llama,ppipp,200,239.0,0.284998,0.006936,0.162093,0.039461,300,300
misogynistic,llama,ppipp,200,286.0,0.270058,0.005903,0.223831,0.036856,300,300
misogynistic,llama,ppipp,200,342.0,0.250617,0.005515,0.049435,0.036989,300,300
misogynistic,llama,ppipp,200,408.0,0.245855,0.005596,0.137859,0.035817,300,300
misogynistic,llama,ppipp,200,488.0,0.241621,0.005042,0.136317,0.037487,300,300
misogynistic,llama,ppipp,200,584.0,0.225681,0.004819,0.091119,0.036497,300,300
misogynistic,llama,ppipp,200,698.0,0.226771,0.005408,0.031401,0.035464,300,300
misogynistic,llama,ppipp,200,834.0,0.21591,0.004902,0.071456,0.033369,300,300
misogynistic,llama,ppipp,200,997.0,0.208888,0.004665,0.078571,0.031975,300,300
