dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,llama,llm_only,50,,high_variance,0.639759,0.0,-0.639759,0.0,300,300
misogynistic,llama,expert_only,50,70.0,high_variance,1.640098,0.085151,0.717446,0.085151,300,300
misogynistic,llama,expert_only,50,97.0,high_variance,1.898043,0.100098,0.772465,0.100098,300,300
misogynistic,llama,expert_only,50,136.0,high_variance,1.811628,0.093164,0.823476,0.093164,300,300
misogynistic,llama,expert_only,50,189.0,high_variance,1.872932,0.100791,0.678394,0.100791,300,300
misogynistic,llama,expert_only,50,264.0,high_variance,2.071875,0.106007,0.959892,0.106007,300,300
misogynistic,llama,expert_only,50,368.0,high_variance,1.713339,0.085087,0.873851,0.085087,300,300
misogynistic,llama,expert_only,50,513.0,high_variance,1.73593,0.091733,0.699257,0.091733,300,300
misogynistic,llama,expert_only,50,715.0,high_variance,1.816802,0.09384,0.811769,0.09384,300,300
misogynistic,llama,expert_only,50,997.0,high_variance,1.892354,0.101962,0.679801,0.101962,300,300
misogynistic,llama,dsl,50,70.0,high_variance,1.479015,0.079453,0.541916,0.079453,300,300
misogynistic,llama,dsl,50,97.0,high_variance,1.358772,0.072869,0.503265,0.072869,300,300
misogynistic,llama,dsl,50,136.0,high_variance,0.975649,0.054543,0.243742,0.054543,300,300
misogynistic,llama,dsl,50,189.0,high_variance,0.947969,0.054165,0.136031,0.054165,300,300
misogynistic,llama,dsl,50,264.0,high_variance,0.810362,0.046765,0.024689,0.046765,300,300
misogynistic,llama,dsl,50,368.0,high_variance,0.851297,0.049053,0.053279,0.049053,300,300
misogynistic,llama,dsl,50,513.0,high_variance,0.813544,0.046868,0.053504,0.046868,300,300
misogynistic,llama,dsl,50,715.0,high_variance,0.860464,0.049633,0.037031,0.049633,300,300
misogynistic,llama,dsl,50,997.0,high_variance,0.811762,0.046859,-0.015151,0.046859,300,300
misogynistic,llama,ppi,50,70.0,high_variance,1.50849,0.081255,0.54298,0.081255,300,300
misogynistic,llama,ppi,50,97.0,high_variance,1.372069,0.074263,0.477593,0.074263,300,300
misogynistic,llama,ppi,50,136.0,high_variance,0.984924,0.05513,0.241446,0.05513,300,300
misogynistic,llama,ppi,50,189.0,high_variance,0.999914,0.057025,0.155771,0.057025,300,300
misogynistic,llama,ppi,50,264.0,high_variance,0.86131,0.049703,0.027211,0.049703,300,300
misogynistic,llama,ppi,50,368.0,high_variance,0.930447,0.053656,0.045127,0.053656,300,300
misogynistic,llama,ppi,50,513.0,high_variance,0.876301,0.050495,0.054501,0.050495,300,300
misogynistic,llama,ppi,50,715.0,high_variance,0.90029,0.051916,0.04405,0.051916,300,300
misogynistic,llama,ppi,50,997.0,high_variance,0.893522,0.051587,-0.003072,0.051587,300,300
misogynistic,llama,ppipp,50,70.0,high_variance,1.410425,0.075244,0.53928,0.075244,300,300
misogynistic,llama,ppipp,50,97.0,high_variance,1.340234,0.0724,0.472961,0.0724,300,300
misogynistic,llama,ppipp,50,136.0,high_variance,0.948846,0.05172,0.312768,0.05172,300,300
misogynistic,llama,ppipp,50,189.0,high_variance,0.784333,0.044093,0.17864,0.044093,300,300
misogynistic,llama,ppipp,50,264.0,high_variance,0.676471,0.037699,0.176782,0.037699,300,300
misogynistic,llama,ppipp,50,368.0,high_variance,0.639961,0.035853,0.154681,0.035853,300,300
misogynistic,llama,ppipp,50,513.0,high_variance,0.569785,0.032313,0.106807,0.032313,300,300
misogynistic,llama,ppipp,50,715.0,high_variance,0.576389,0.032873,0.08967,0.032873,300,300
misogynistic,llama,ppipp,50,997.0,high_variance,0.601174,0.03449,0.067345,0.03449,300,300
