dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,llama,llm_only,50,,low_variance,0.25467,0.0,0.25467,0.0,301,301
misogynistic,llama,expert_only,50,70.0,low_variance,4.435549,0.247667,1.100482,0.247667,301,301
misogynistic,llama,expert_only,50,97.0,low_variance,4.791115,0.264919,1.352768,0.264919,301,301
misogynistic,llama,expert_only,50,136.0,low_variance,4.754629,0.259976,1.50419,0.259976,301,301
misogynistic,llama,expert_only,50,189.0,low_variance,4.624843,0.24713,1.733825,0.24713,301,301
misogynistic,llama,expert_only,50,264.0,low_variance,4.80625,0.258732,1.717658,0.258732,301,301
misogynistic,llama,expert_only,50,368.0,low_variance,4.765691,0.260298,1.522335,0.260298,301,301
misogynistic,llama,expert_only,50,513.0,low_variance,4.614948,0.250188,1.567439,0.250188,301,301
misogynistic,llama,expert_only,50,715.0,low_variance,4.214508,0.230305,1.340509,0.230305,301,301
misogynistic,llama,expert_only,50,997.0,low_variance,4.494494,0.244733,1.473896,0.244733,301,301
misogynistic,llama,dsl,50,70.0,low_variance,3.664294,0.203033,1.009514,0.203033,301,301
misogynistic,llama,dsl,50,97.0,low_variance,3.133509,0.172667,0.919177,0.172667,301,301
misogynistic,llama,dsl,50,136.0,low_variance,3.036573,0.171913,0.570057,0.171913,301,301
misogynistic,llama,dsl,50,189.0,low_variance,2.585066,0.143779,0.678344,0.143779,301,301
misogynistic,llama,dsl,50,264.0,low_variance,2.176621,0.124211,0.306222,0.124211,301,301
misogynistic,llama,dsl,50,368.0,low_variance,1.926059,0.110379,0.206099,0.110379,301,301
misogynistic,llama,dsl,50,513.0,low_variance,1.656785,0.095495,0.003324,0.095495,301,301
misogynistic,llama,dsl,50,715.0,low_variance,1.575961,0.090632,0.105806,0.090632,301,301
misogynistic,llama,dsl,50,997.0,low_variance,1.591738,0.091736,-0.024324,0.091736,301,301
misogynistic,llama,ppi,50,70.0,low_variance,3.674283,0.203801,0.999204,0.203801,301,301
misogynistic,llama,ppi,50,97.0,low_variance,3.119698,0.171945,0.91294,0.171945,301,301
misogynistic,llama,ppi,50,136.0,low_variance,3.077793,0.174574,0.547273,0.174574,301,301
misogynistic,llama,ppi,50,189.0,low_variance,2.606358,0.144792,0.694801,0.144792,301,301
misogynistic,llama,ppi,50,264.0,low_variance,2.093057,0.119483,0.289435,0.119483,301,301
misogynistic,llama,ppi,50,368.0,low_variance,2.018223,0.115882,0.176669,0.115882,301,301
misogynistic,llama,ppi,50,513.0,low_variance,1.452858,0.083723,0.030133,0.083723,301,301
misogynistic,llama,ppi,50,715.0,low_variance,1.396539,0.080292,0.099125,0.080292,301,301
misogynistic,llama,ppi,50,997.0,low_variance,1.372137,0.079043,0.046511,0.079043,301,301
misogynistic,llama,ppipp,50,70.0,low_variance,3.863775,0.214754,1.023184,0.214754,301,301
misogynistic,llama,ppipp,50,97.0,low_variance,3.447515,0.190238,0.996024,0.190238,301,301
misogynistic,llama,ppipp,50,136.0,low_variance,3.123956,0.173853,0.813295,0.173853,301,301
misogynistic,llama,ppipp,50,189.0,low_variance,3.002315,0.163043,1.006191,0.163043,301,301
misogynistic,llama,ppipp,50,264.0,low_variance,2.733901,0.150941,0.785185,0.150941,301,301
misogynistic,llama,ppipp,50,368.0,low_variance,2.454381,0.137762,0.55811,0.137762,301,301
misogynistic,llama,ppipp,50,513.0,low_variance,2.289405,0.128136,0.547115,0.128136,301,301
misogynistic,llama,ppipp,50,715.0,low_variance,2.140797,0.119953,0.501998,0.119953,301,301
misogynistic,llama,ppipp,50,997.0,low_variance,2.137409,0.119892,0.491872,0.119892,301,301
