dataset,llm,method,n_expert,N_total,phase,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid
misogynistic,mistral,llm_only,100,,low_variance,0.305041,0.0,0.305041,0.0,300,300
misogynistic,mistral,expert_only,100,129.0,low_variance,2.586366,0.141298,0.836508,0.141298,300,300
misogynistic,mistral,expert_only,100,167.0,low_variance,2.948967,0.165495,0.692672,0.165495,300,300
misogynistic,mistral,expert_only,100,215.0,low_variance,2.824675,0.153036,0.976098,0.153036,300,300
misogynistic,mistral,expert_only,100,278.0,low_variance,2.675764,0.151637,0.511472,0.151637,300,300
misogynistic,mistral,expert_only,100,359.0,low_variance,2.91973,0.15226,1.252934,0.15226,300,300
misogynistic,mistral,expert_only,100,463.0,low_variance,2.682632,0.14879,0.744983,0.14879,300,300
misogynistic,mistral,expert_only,100,598.0,low_variance,2.862343,0.160955,0.648913,0.160955,300,300
misogynistic,mistral,expert_only,100,772.0,low_variance,2.757391,0.151169,0.864618,0.151169,300,300
misogynistic,mistral,expert_only,100,997.0,low_variance,2.809801,0.154937,0.832683,0.154937,300,300
misogynistic,mistral,dsl,100,129.0,low_variance,2.323341,0.126596,0.76809,0.126596,300,300
misogynistic,mistral,dsl,100,167.0,low_variance,2.280891,0.1302,0.341885,0.1302,300,300
misogynistic,mistral,dsl,100,215.0,low_variance,1.734972,0.09935,0.221358,0.09935,300,300
misogynistic,mistral,dsl,100,278.0,low_variance,1.614677,0.09274,0.164252,0.09274,300,300
misogynistic,mistral,dsl,100,359.0,low_variance,1.485795,0.083858,0.312923,0.083858,300,300
misogynistic,mistral,dsl,100,463.0,low_variance,1.272977,0.073125,0.12765,0.073125,300,300
misogynistic,mistral,dsl,100,598.0,low_variance,1.13412,0.065374,0.064179,0.065374,300,300
misogynistic,mistral,dsl,100,772.0,low_variance,1.135683,0.065534,0.036819,0.065534,300,300
misogynistic,mistral,dsl,100,997.0,low_variance,1.150256,0.066171,-0.097457,0.066171,300,300
misogynistic,mistral,ppi,100,129.0,low_variance,2.283881,0.124124,0.770764,0.124124,300,300
misogynistic,mistral,ppi,100,167.0,low_variance,2.266667,0.129644,0.309065,0.129644,300,300
misogynistic,mistral,ppi,100,215.0,low_variance,1.703904,0.097908,0.165868,0.097908,300,300
misogynistic,mistral,ppi,100,278.0,low_variance,1.551407,0.088481,0.241238,0.088481,300,300
misogynistic,mistral,ppi,100,359.0,low_variance,1.504352,0.085855,0.227498,0.085855,300,300
misogynistic,mistral,ppi,100,463.0,low_variance,1.209339,0.069444,0.125569,0.069444,300,300
misogynistic,mistral,ppi,100,598.0,low_variance,1.108317,0.063616,0.119432,0.063616,300,300
misogynistic,mistral,ppi,100,772.0,low_variance,1.087446,0.062778,0.014831,0.062778,300,300
misogynistic,mistral,ppi,100,997.0,low_variance,0.95803,0.055202,-0.060486,0.055202,300,300
misogynistic,mistral,ppipp,100,129.0,low_variance,2.358162,0.128414,0.783522,0.128414,300,300
misogynistic,mistral,ppipp,100,167.0,low_variance,2.449443,0.138672,0.480444,0.138672,300,300
misogynistic,mistral,ppipp,100,215.0,low_variance,2.002064,0.111638,0.518983,0.111638,300,300
misogynistic,mistral,ppipp,100,278.0,low_variance,1.904742,0.108716,0.286859,0.108716,300,300
misogynistic,mistral,ppipp,100,359.0,low_variance,1.852219,0.100261,0.644233,0.100261,300,300
misogynistic,mistral,ppipp,100,463.0,low_variance,1.722759,0.097093,0.373847,0.097093,300,300
misogynistic,mistral,ppipp,100,598.0,low_variance,1.615653,0.09187,0.279842,0.09187,300,300
misogynistic,mistral,ppipp,100,772.0,low_variance,1.582102,0.089183,0.342021,0.089183,300,300
misogynistic,mistral,ppipp,100,997.0,low_variance,1.604274,0.091456,0.25384,0.091456,300,300
