dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,200,,0.853327,0.0,-0.853327,0.0,300,300,high_variance
misogynistic,mistral,expert_only,200,239.0,0.758008,0.041223,0.254522,0.041223,300,300,high_variance
misogynistic,mistral,expert_only,200,286.0,0.690737,0.038259,0.194913,0.038259,300,300,high_variance
misogynistic,mistral,expert_only,200,342.0,0.69365,0.037982,0.219905,0.037982,300,300,high_variance
misogynistic,mistral,expert_only,200,408.0,0.701594,0.03843,0.221778,0.03843,300,300,high_variance
misogynistic,mistral,expert_only,200,488.0,0.673941,0.037158,0.199932,0.037158,300,300,high_variance
misogynistic,mistral,expert_only,200,584.0,0.671998,0.037096,0.196847,0.037096,300,300,high_variance
misogynistic,mistral,expert_only,200,698.0,0.789485,0.042699,0.276293,0.042699,300,300,high_variance
misogynistic,mistral,expert_only,200,834.0,0.716006,0.039693,0.200022,0.039693,300,300,high_variance
misogynistic,mistral,expert_only,200,997.0,0.749293,0.040446,0.265839,0.040446,300,300,high_variance
misogynistic,mistral,dsl,200,239.0,0.510741,0.01271,-0.460858,0.01271,300,300,high_variance
misogynistic,mistral,dsl,200,286.0,0.507295,0.011763,-0.464586,0.011763,300,300,high_variance
misogynistic,mistral,dsl,200,342.0,0.513195,0.012214,-0.467565,0.012214,300,300,high_variance
misogynistic,mistral,dsl,200,408.0,0.524156,0.010652,-0.49061,0.010652,300,300,high_variance
misogynistic,mistral,dsl,200,488.0,0.520554,0.009561,-0.493512,0.009561,300,300,high_variance
misogynistic,mistral,dsl,200,584.0,0.516333,0.010641,-0.48232,0.010641,300,300,high_variance
misogynistic,mistral,dsl,200,698.0,0.51919,0.008939,-0.495566,0.008939,300,300,high_variance
misogynistic,mistral,dsl,200,834.0,0.529007,0.008805,-0.506547,0.008805,300,300,high_variance
misogynistic,mistral,dsl,200,997.0,0.528063,0.008527,-0.50699,0.008527,300,300,high_variance
misogynistic,mistral,ppi,200,239.0,2.964132,0.153625,1.3061,0.153625,300,300,high_variance
misogynistic,mistral,ppi,200,286.0,2.10373,0.114433,0.705133,0.114433,300,300,high_variance
misogynistic,mistral,ppi,200,342.0,1.539825,0.086266,0.372168,0.086266,300,300,high_variance
misogynistic,mistral,ppi,200,408.0,1.503943,0.084171,0.369376,0.084171,300,300,high_variance
misogynistic,mistral,ppi,200,488.0,1.330918,0.074673,0.313911,0.074673,300,300,high_variance
misogynistic,mistral,ppi,200,584.0,1.437148,0.081311,0.286246,0.081311,300,300,high_variance
misogynistic,mistral,ppi,200,698.0,1.108491,0.063623,0.120008,0.063623,300,300,high_variance
misogynistic,mistral,ppi,200,834.0,1.02252,0.058651,0.116492,0.058651,300,300,high_variance
misogynistic,mistral,ppi,200,997.0,1.057559,0.060876,0.081709,0.060876,300,300,high_variance
misogynistic,mistral,ppipp,200,239.0,0.391266,0.021877,-0.097526,0.021877,300,300,high_variance
misogynistic,mistral,ppipp,200,286.0,0.380841,0.020715,-0.127687,0.020715,300,300,high_variance
misogynistic,mistral,ppipp,200,342.0,0.369988,0.020118,-0.124399,0.020118,300,300,high_variance
misogynistic,mistral,ppipp,200,408.0,0.366992,0.020008,-0.120758,0.020008,300,300,high_variance
misogynistic,mistral,ppipp,200,488.0,0.363823,0.019706,-0.125974,0.019706,300,300,high_variance
misogynistic,mistral,ppipp,200,584.0,0.366882,0.019653,-0.136868,0.019653,300,300,high_variance
misogynistic,mistral,ppipp,200,698.0,0.375894,0.02076,-0.109561,0.02076,300,300,high_variance
misogynistic,mistral,ppipp,200,834.0,0.369653,0.019774,-0.139079,0.019774,300,300,high_variance
misogynistic,mistral,ppipp,200,997.0,0.370084,0.020448,-0.107387,0.020448,300,300,high_variance
