dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid
misogynistic,mistral,llm_only,50,,0.206523,0.0,-0.718455,0.0,300,300
misogynistic,mistral,expert_only,50,70.0,0.861867,0.0237,0.656184,0.139233,300,300
misogynistic,mistral,expert_only,50,97.0,0.863051,0.023562,0.493105,0.143159,300,300
misogynistic,mistral,expert_only,50,136.0,0.948366,0.025708,0.429427,0.143389,300,300
misogynistic,mistral,expert_only,50,189.0,0.964739,0.028723,0.544061,0.151042,300,300
misogynistic,mistral,expert_only,50,264.0,0.942702,0.027019,0.417659,0.146713,300,300
misogynistic,mistral,expert_only,50,368.0,0.891935,0.02366,0.694974,0.144561,300,300
misogynistic,mistral,expert_only,50,513.0,0.970744,0.029165,0.761648,0.155071,300,300
misogynistic,mistral,expert_only,50,715.0,0.964705,0.028517,0.588726,0.14531,300,300
misogynistic,mistral,expert_only,50,997.0,0.875792,0.02374,0.52348,0.14722,300,300
misogynistic,mistral,dsl,50,70.0,0.757577,0.019563,0.629664,0.129553,300,300
misogynistic,mistral,dsl,50,97.0,0.646375,0.015648,0.460355,0.115975,300,300
misogynistic,mistral,dsl,50,136.0,0.560327,0.012993,0.057507,0.09855,300,300
misogynistic,mistral,dsl,50,189.0,0.533478,0.012778,0.270641,0.095977,300,300
misogynistic,mistral,dsl,50,264.0,0.477055,0.011305,0.053748,0.084209,300,300
misogynistic,mistral,dsl,50,368.0,0.425904,0.010585,0.042902,0.077454,300,300
misogynistic,mistral,dsl,50,513.0,0.391596,0.009216,0.110554,0.074375,300,300
misogynistic,mistral,dsl,50,715.0,0.363263,0.008341,0.06194,0.066816,300,300
misogynistic,mistral,dsl,50,997.0,0.366261,0.009383,-0.117212,0.069494,300,300
misogynistic,mistral,ppi,50,70.0,0.774943,0.020211,0.609705,0.13486,300,300
misogynistic,mistral,ppi,50,97.0,0.663916,0.016358,0.474259,0.122273,300,300
misogynistic,mistral,ppi,50,136.0,0.586387,0.013684,0.037651,0.104908,300,300
misogynistic,mistral,ppi,50,189.0,0.549313,0.013004,0.298473,0.101741,300,300
misogynistic,mistral,ppi,50,264.0,0.516003,0.01326,0.047946,0.0966,300,300
misogynistic,mistral,ppi,50,368.0,0.464513,0.012583,0.051569,0.082814,300,300
misogynistic,mistral,ppi,50,513.0,0.423852,0.010899,0.076806,0.082373,300,300
misogynistic,mistral,ppi,50,715.0,0.391059,0.009765,0.036944,0.075105,300,300
misogynistic,mistral,ppi,50,997.0,0.387724,0.01032,-0.079933,0.074505,300,300
misogynistic,mistral,ppipp,50,70.0,0.843848,0.02719,0.566339,0.163148,300,300
misogynistic,mistral,ppipp,50,97.0,0.684288,0.018195,0.315038,0.116292,300,300
misogynistic,mistral,ppipp,50,136.0,0.673961,0.018415,-0.014839,0.103666,300,300
misogynistic,mistral,ppipp,50,189.0,0.626086,0.017314,0.101344,0.103983,300,300
misogynistic,mistral,ppipp,50,264.0,0.617397,0.018586,0.039682,0.104974,300,300
misogynistic,mistral,ppipp,50,368.0,0.543123,0.015328,0.074386,0.092357,300,300
misogynistic,mistral,ppipp,50,513.0,0.500411,0.013223,0.138913,0.086074,300,300
misogynistic,mistral,ppipp,50,715.0,0.497685,0.013958,0.060788,0.079005,300,300
misogynistic,mistral,ppipp,50,997.0,0.471155,0.012484,0.009442,0.083434,300,300
