dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,claude,llm_only,100,,0.372633,0.0,-0.295745,0.0,300,300,full_logistic
cuad,claude,expert_only,100,129.0,11.863449,0.506135,1.391885,0.274601,300,300,full_logistic
cuad,claude,expert_only,100,167.0,10.919555,0.45471,0.978323,0.253113,300,300,full_logistic
cuad,claude,expert_only,100,215.0,11.843249,0.481882,0.729393,0.277594,300,300,full_logistic
cuad,claude,expert_only,100,278.0,13.165814,0.564787,1.637008,0.300193,300,300,full_logistic
cuad,claude,expert_only,100,359.0,11.323979,0.456414,1.031016,0.263313,300,300,full_logistic
cuad,claude,expert_only,100,463.0,11.516829,0.473348,1.123973,0.264309,300,300,full_logistic
cuad,claude,expert_only,100,598.0,14.077046,0.619774,1.466943,0.322919,300,300,full_logistic
cuad,claude,expert_only,100,772.0,12.654163,0.543807,1.63687,0.285301,300,300,full_logistic
cuad,claude,expert_only,100,997.0,10.146747,0.418695,0.738687,0.236548,300,300,full_logistic
cuad,claude,dsl,100,129.0,8.69946,0.373518,0.580564,0.197245,300,300,full_logistic
cuad,claude,dsl,100,167.0,6.236391,0.257432,0.035116,0.143174,300,300,full_logistic
cuad,claude,dsl,100,215.0,5.546241,0.203052,-0.11728,0.128649,300,300,full_logistic
cuad,claude,dsl,100,278.0,4.665734,0.165352,0.014745,0.105652,300,300,full_logistic
cuad,claude,dsl,100,359.0,3.94287,0.129595,-0.247411,0.089959,300,300,full_logistic
cuad,claude,dsl,100,463.0,3.258899,0.107956,-0.289769,0.073715,300,300,full_logistic
cuad,claude,dsl,100,598.0,2.963458,0.095241,-0.356647,0.067367,300,300,full_logistic
cuad,claude,dsl,100,772.0,2.69455,0.082575,-0.327366,0.061603,300,300,full_logistic
cuad,claude,dsl,100,997.0,2.3899,0.07716,-0.38591,0.053587,300,300,full_logistic
cuad,claude,ppi,100,129.0,29.34885,1.189542,4.205999,0.654385,300,300,full_logistic
cuad,claude,ppi,100,167.0,16.329751,0.722148,1.559855,0.379552,300,300,full_logistic
cuad,claude,ppi,100,215.0,9.17097,0.367437,0.303219,0.215902,300,300,full_logistic
cuad,claude,ppi,100,278.0,7.134553,0.291888,0.334623,0.167681,300,300,full_logistic
cuad,claude,ppi,100,359.0,5.178935,0.18564,0.044502,0.123049,300,300,full_logistic
cuad,claude,ppi,100,463.0,4.448353,0.165097,0.008803,0.104014,300,300,full_logistic
cuad,claude,ppi,100,598.0,3.395447,0.109702,-0.209128,0.080702,300,300,full_logistic
cuad,claude,ppi,100,772.0,3.049973,0.103656,-0.138053,0.07472,300,300,full_logistic
cuad,claude,ppi,100,997.0,2.695958,0.089168,-0.05568,0.065912,300,300,full_logistic
cuad,claude,ppipp,100,129.0,8.179716,0.337592,0.586472,0.188187,300,300,full_logistic
cuad,claude,ppipp,100,167.0,6.846789,0.273698,0.21764,0.158884,300,300,full_logistic
cuad,claude,ppipp,100,215.0,6.66682,0.252101,0.047139,0.156541,300,300,full_logistic
cuad,claude,ppipp,100,278.0,6.61612,0.258004,0.47134,0.151028,300,300,full_logistic
cuad,claude,ppipp,100,359.0,5.83907,0.216007,0.061272,0.135992,300,300,full_logistic
cuad,claude,ppipp,100,463.0,4.991639,0.175566,0.031794,0.116225,300,300,full_logistic
cuad,claude,ppipp,100,598.0,6.484124,0.274221,0.186764,0.151124,300,300,full_logistic
cuad,claude,ppipp,100,772.0,5.588519,0.224333,0.291181,0.12778,300,300,full_logistic
cuad,claude,ppipp,100,997.0,4.571862,0.173619,-0.072125,0.106893,300,300,full_logistic
