dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,200,,0.338834,0.0,-0.265734,0.0,300,300,full_logistic
cuad,deepseek,expert_only,200,239.0,5.410678,0.209078,0.502771,0.125124,300,300,full_logistic
cuad,deepseek,expert_only,200,286.0,5.887649,0.22838,0.404446,0.13645,300,300,full_logistic
cuad,deepseek,expert_only,200,342.0,5.473538,0.206079,0.333781,0.127216,300,300,full_logistic
cuad,deepseek,expert_only,200,408.0,5.767815,0.230005,0.429538,0.132986,300,300,full_logistic
cuad,deepseek,expert_only,200,488.0,5.555163,0.216194,0.046282,0.130067,300,300,full_logistic
cuad,deepseek,expert_only,200,584.0,5.666838,0.211809,0.253174,0.134798,300,300,full_logistic
cuad,deepseek,expert_only,200,698.0,6.026096,0.22769,0.524525,0.140557,300,300,full_logistic
cuad,deepseek,expert_only,200,834.0,5.542785,0.217751,0.735945,0.125061,300,300,full_logistic
cuad,deepseek,expert_only,200,997.0,5.630565,0.208168,0.471835,0.129764,300,300,full_logistic
cuad,deepseek,dsl,200,239.0,4.532069,0.173114,0.013618,0.101883,300,300,full_logistic
cuad,deepseek,dsl,200,286.0,4.187552,0.15668,-0.097231,0.096091,300,300,full_logistic
cuad,deepseek,dsl,200,342.0,3.594015,0.133971,-0.18122,0.081341,300,300,full_logistic
cuad,deepseek,dsl,200,408.0,3.132617,0.106882,-0.274084,0.071427,300,300,full_logistic
cuad,deepseek,dsl,200,488.0,2.608839,0.089192,-0.422158,0.059773,300,300,full_logistic
cuad,deepseek,dsl,200,584.0,2.583079,0.086246,-0.427692,0.059115,300,300,full_logistic
cuad,deepseek,dsl,200,698.0,2.133725,0.064378,-0.397161,0.048238,300,300,full_logistic
cuad,deepseek,dsl,200,834.0,1.905768,0.056404,-0.264136,0.040937,300,300,full_logistic
cuad,deepseek,dsl,200,997.0,1.68971,0.045281,-0.408068,0.036636,300,300,full_logistic
cuad,deepseek,ppi,200,239.0,23.86609,0.989545,2.791402,0.54552,300,300,full_logistic
cuad,deepseek,ppi,200,286.0,13.003093,0.575345,1.017513,0.301577,300,300,full_logistic
cuad,deepseek,ppi,200,342.0,7.335815,0.298346,0.317112,0.171654,300,300,full_logistic
cuad,deepseek,ppi,200,408.0,5.302298,0.191986,0.061993,0.125246,300,300,full_logistic
cuad,deepseek,ppi,200,488.0,4.387427,0.160891,-0.00612,0.104564,300,300,full_logistic
cuad,deepseek,ppi,200,584.0,3.176019,0.113967,-0.224787,0.076035,300,300,full_logistic
cuad,deepseek,ppi,200,698.0,2.895511,0.10222,-0.197445,0.068827,300,300,full_logistic
cuad,deepseek,ppi,200,834.0,2.354691,0.077497,-0.169592,0.055771,300,300,full_logistic
cuad,deepseek,ppi,200,997.0,2.025142,0.06835,-0.246815,0.049159,300,300,full_logistic
cuad,deepseek,ppipp,200,239.0,4.302383,0.161617,0.115639,0.098705,300,300,full_logistic
cuad,deepseek,ppipp,200,286.0,4.308439,0.164294,0.019365,0.099597,300,300,full_logistic
cuad,deepseek,ppipp,200,342.0,3.798718,0.140129,-0.038698,0.088207,300,300,full_logistic
cuad,deepseek,ppipp,200,408.0,3.543267,0.125049,-0.057667,0.082293,300,300,full_logistic
cuad,deepseek,ppipp,200,488.0,3.291661,0.116526,-0.302549,0.076362,300,300,full_logistic
cuad,deepseek,ppipp,200,584.0,3.333714,0.114739,-0.195102,0.079068,300,300,full_logistic
cuad,deepseek,ppipp,200,698.0,3.168236,0.109964,-0.104019,0.074117,300,300,full_logistic
cuad,deepseek,ppipp,200,834.0,2.856062,0.100287,0.102315,0.064243,300,300,full_logistic
cuad,deepseek,ppipp,200,997.0,2.87677,0.09368,-0.106574,0.066444,300,300,full_logistic
