dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
cuad,deepseek,llm_only,200,,0.061224,0.0,-0.061224,0.0,300,300,prevalence
cuad,deepseek,expert_only,200,239.0,0.066526,0.003839,0.001985,0.003839,300,300,prevalence
cuad,deepseek,expert_only,200,286.0,0.063422,0.003657,0.003375,0.003657,300,300,prevalence
cuad,deepseek,expert_only,200,342.0,0.062966,0.003628,0.004088,0.003628,300,300,prevalence
cuad,deepseek,expert_only,200,408.0,0.060143,0.003472,0.000188,0.003472,300,300,prevalence
cuad,deepseek,expert_only,200,488.0,0.061105,0.003528,0.000866,0.003528,300,300,prevalence
cuad,deepseek,expert_only,200,584.0,0.063922,0.003685,0.003409,0.003685,300,300,prevalence
cuad,deepseek,expert_only,200,698.0,0.063683,0.003664,0.005207,0.003664,300,300,prevalence
cuad,deepseek,expert_only,200,834.0,0.062966,0.003619,0.005919,0.003619,300,300,prevalence
cuad,deepseek,expert_only,200,997.0,0.063833,0.00367,0.005817,0.00367,300,300,prevalence
cuad,deepseek,dsl,200,239.0,0.06074,0.003506,-0.001067,0.003506,300,300,prevalence
cuad,deepseek,dsl,200,286.0,0.055239,0.003189,0.000549,0.003189,300,300,prevalence
cuad,deepseek,dsl,200,342.0,0.046616,0.002691,0.000739,0.002691,300,300,prevalence
cuad,deepseek,dsl,200,408.0,0.043838,0.002524,0.003215,0.002524,300,300,prevalence
cuad,deepseek,dsl,200,488.0,0.039646,0.002289,-2e-06,0.002289,300,300,prevalence
cuad,deepseek,dsl,200,584.0,0.0359,0.002073,-0.000361,0.002073,300,300,prevalence
cuad,deepseek,dsl,200,698.0,0.032956,0.001889,0.003985,0.001889,300,300,prevalence
cuad,deepseek,dsl,200,834.0,0.031845,0.001814,0.005232,0.001814,300,300,prevalence
cuad,deepseek,dsl,200,997.0,0.030601,0.001764,0.001764,0.001764,300,300,prevalence
cuad,deepseek,ppi,200,239.0,0.060757,0.003507,-0.001158,0.003507,300,300,prevalence
cuad,deepseek,ppi,200,286.0,0.055358,0.003196,0.000426,0.003196,300,300,prevalence
cuad,deepseek,ppi,200,342.0,0.046817,0.002703,0.000427,0.002703,300,300,prevalence
cuad,deepseek,ppi,200,408.0,0.043895,0.002529,0.002932,0.002529,300,300,prevalence
cuad,deepseek,ppi,200,488.0,0.039697,0.002292,-0.000218,0.002292,300,300,prevalence
cuad,deepseek,ppi,200,584.0,0.035902,0.002072,-0.000874,0.002072,300,300,prevalence
cuad,deepseek,ppi,200,698.0,0.033025,0.001896,0.00349,0.001896,300,300,prevalence
cuad,deepseek,ppi,200,834.0,0.031756,0.001814,0.004631,0.001814,300,300,prevalence
cuad,deepseek,ppi,200,997.0,0.030691,0.001771,0.00121,0.001771,300,300,prevalence
cuad,deepseek,ppipp,200,239.0,0.062309,0.003597,0.000456,0.003597,300,300,prevalence
cuad,deepseek,ppipp,200,286.0,0.057222,0.003302,0.001947,0.003302,300,300,prevalence
cuad,deepseek,ppipp,200,342.0,0.051474,0.002969,0.00236,0.002969,300,300,prevalence
cuad,deepseek,ppipp,200,408.0,0.048242,0.002784,0.001647,0.002784,300,300,prevalence
cuad,deepseek,ppipp,200,488.0,0.046031,0.002657,0.000445,0.002657,300,300,prevalence
cuad,deepseek,ppipp,200,584.0,0.044,0.002539,0.001418,0.002539,300,300,prevalence
cuad,deepseek,ppipp,200,698.0,0.043633,0.002506,0.004472,0.002506,300,300,prevalence
cuad,deepseek,ppipp,200,834.0,0.042062,0.002408,0.005425,0.002408,300,300,prevalence
cuad,deepseek,ppipp,200,997.0,0.041904,0.00241,0.00366,0.00241,300,300,prevalence
