dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,200,,0.040816,0.0,-0.040816,0.0,300,300,prevalence
cuad,gpt54,expert_only,200,239.0,0.066526,0.003839,0.001985,0.003839,300,300,prevalence
cuad,gpt54,expert_only,200,286.0,0.063422,0.003657,0.003375,0.003657,300,300,prevalence
cuad,gpt54,expert_only,200,342.0,0.062966,0.003628,0.004088,0.003628,300,300,prevalence
cuad,gpt54,expert_only,200,408.0,0.060143,0.003472,0.000188,0.003472,300,300,prevalence
cuad,gpt54,expert_only,200,488.0,0.061105,0.003528,0.000866,0.003528,300,300,prevalence
cuad,gpt54,expert_only,200,584.0,0.063922,0.003685,0.003409,0.003685,300,300,prevalence
cuad,gpt54,expert_only,200,698.0,0.063683,0.003664,0.005207,0.003664,300,300,prevalence
cuad,gpt54,expert_only,200,834.0,0.062966,0.003619,0.005919,0.003619,300,300,prevalence
cuad,gpt54,expert_only,200,997.0,0.063833,0.00367,0.005817,0.00367,300,300,prevalence
cuad,gpt54,dsl,200,239.0,0.060712,0.003504,-0.00154,0.003504,300,300,prevalence
cuad,gpt54,dsl,200,286.0,0.055468,0.003202,0.000448,0.003202,300,300,prevalence
cuad,gpt54,dsl,200,342.0,0.046496,0.002684,-8.1e-05,0.002684,300,300,prevalence
cuad,gpt54,dsl,200,408.0,0.045124,0.002602,0.0023,0.002602,300,300,prevalence
cuad,gpt54,dsl,200,488.0,0.040974,0.002365,-0.000982,0.002365,300,300,prevalence
cuad,gpt54,dsl,200,584.0,0.035049,0.002023,-0.000373,0.002023,300,300,prevalence
cuad,gpt54,dsl,200,698.0,0.034673,0.001997,0.002512,0.001997,300,300,prevalence
cuad,gpt54,dsl,200,834.0,0.029912,0.001703,0.004978,0.001703,300,300,prevalence
cuad,gpt54,dsl,200,997.0,0.030576,0.001762,0.001838,0.001762,300,300,prevalence
cuad,gpt54,ppi,200,239.0,0.060684,0.003502,-0.001628,0.003502,300,300,prevalence
cuad,gpt54,ppi,200,286.0,0.055524,0.003206,0.000302,0.003206,300,300,prevalence
cuad,gpt54,ppi,200,342.0,0.04667,0.002694,-9.6e-05,0.002694,300,300,prevalence
cuad,gpt54,ppi,200,408.0,0.045144,0.002604,0.001989,0.002604,300,300,prevalence
cuad,gpt54,ppi,200,488.0,0.041081,0.002371,-0.001166,0.002371,300,300,prevalence
cuad,gpt54,ppi,200,584.0,0.03536,0.002041,-0.000638,0.002041,300,300,prevalence
cuad,gpt54,ppi,200,698.0,0.034632,0.001996,0.002131,0.001996,300,300,prevalence
cuad,gpt54,ppi,200,834.0,0.030054,0.001714,0.004699,0.001714,300,300,prevalence
cuad,gpt54,ppi,200,997.0,0.030589,0.001764,0.001404,0.001764,300,300,prevalence
cuad,gpt54,ppipp,200,239.0,0.062153,0.003588,0.000207,0.003588,300,300,prevalence
cuad,gpt54,ppipp,200,286.0,0.057338,0.003309,0.001871,0.003309,300,300,prevalence
cuad,gpt54,ppipp,200,342.0,0.051356,0.002963,0.002071,0.002963,300,300,prevalence
cuad,gpt54,ppipp,200,408.0,0.048816,0.002818,0.00116,0.002818,300,300,prevalence
cuad,gpt54,ppipp,200,488.0,0.046476,0.002683,-5.9e-05,0.002683,300,300,prevalence
cuad,gpt54,ppipp,200,584.0,0.043477,0.002509,0.001492,0.002509,300,300,prevalence
cuad,gpt54,ppipp,200,698.0,0.04477,0.002576,0.003751,0.002576,300,300,prevalence
cuad,gpt54,ppipp,200,834.0,0.041707,0.002388,0.005425,0.002388,300,300,prevalence
cuad,gpt54,ppipp,200,997.0,0.041886,0.002409,0.003715,0.002409,300,300,prevalence
