dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,llama,llm_only,100,,4.949331,0.0,2.06553,0.0,300,300,full_logistic
cuad,llama,expert_only,100,129.0,21.792638,0.926062,1.918092,0.50111,300,300,full_logistic
cuad,llama,expert_only,100,167.0,23.120905,1.019354,2.662085,0.523718,300,300,full_logistic
cuad,llama,expert_only,100,215.0,21.984065,0.977124,1.020077,0.51459,300,300,full_logistic
cuad,llama,expert_only,100,278.0,23.039068,0.983124,2.747117,0.522532,300,300,full_logistic
cuad,llama,expert_only,100,359.0,21.115618,0.929071,2.161004,0.488179,300,300,full_logistic
cuad,llama,expert_only,100,463.0,20.30648,0.862783,1.678777,0.471612,300,300,full_logistic
cuad,llama,expert_only,100,598.0,25.696664,1.185241,2.908504,0.580642,300,300,full_logistic
cuad,llama,expert_only,100,772.0,24.447977,1.109176,2.048097,0.56407,300,300,full_logistic
cuad,llama,expert_only,100,997.0,22.401919,0.96213,2.058651,0.514332,300,300,full_logistic
cuad,llama,dsl,100,129.0,16.955011,0.759151,1.387752,0.385379,300,300,full_logistic
cuad,llama,dsl,100,167.0,13.896563,0.589786,0.933947,0.316812,300,300,full_logistic
cuad,llama,dsl,100,215.0,10.674113,0.399679,0.010525,0.248136,300,300,full_logistic
cuad,llama,dsl,100,278.0,10.317216,0.399019,0.452184,0.237022,300,300,full_logistic
cuad,llama,dsl,100,359.0,9.080858,0.331421,0.045356,0.210276,300,300,full_logistic
cuad,llama,dsl,100,463.0,8.168374,0.295826,0.208627,0.189059,300,300,full_logistic
cuad,llama,dsl,100,598.0,7.437542,0.268472,0.278853,0.169032,300,300,full_logistic
cuad,llama,dsl,100,772.0,7.487036,0.275928,-0.206753,0.174102,300,300,full_logistic
cuad,llama,dsl,100,997.0,7.758138,0.288628,-0.236808,0.180168,300,300,full_logistic
cuad,llama,ppi,100,129.0,60.250272,2.41245,3.823195,1.39953,300,300,full_logistic
cuad,llama,ppi,100,167.0,33.17542,1.370792,1.211034,0.778961,300,300,full_logistic
cuad,llama,ppi,100,215.0,21.380743,0.902526,-0.628573,0.504264,300,300,full_logistic
cuad,llama,ppi,100,278.0,17.052468,0.737594,-0.062297,0.405612,300,300,full_logistic
cuad,llama,ppi,100,359.0,13.225153,0.529018,-0.059301,0.312613,300,300,full_logistic
cuad,llama,ppi,100,463.0,13.525283,0.589966,-0.050914,0.321049,300,300,full_logistic
cuad,llama,ppi,100,598.0,10.260586,0.434655,0.151897,0.242945,300,300,full_logistic
cuad,llama,ppi,100,772.0,11.924873,0.535006,-0.463782,0.281527,300,300,full_logistic
cuad,llama,ppi,100,997.0,12.240929,0.567745,-0.627807,0.285996,300,300,full_logistic
cuad,llama,ppipp,100,129.0,16.020955,0.677214,1.303361,0.366438,300,300,full_logistic
cuad,llama,ppipp,100,167.0,14.477206,0.602406,1.30971,0.327955,300,300,full_logistic
cuad,llama,ppipp,100,215.0,13.321263,0.561177,0.314583,0.310876,300,300,full_logistic
cuad,llama,ppipp,100,278.0,12.615278,0.505136,1.131478,0.285603,300,300,full_logistic
cuad,llama,ppipp,100,359.0,10.873282,0.417442,0.577136,0.250926,300,300,full_logistic
cuad,llama,ppipp,100,463.0,10.305513,0.397465,0.673474,0.237939,300,300,full_logistic
cuad,llama,ppipp,100,598.0,11.406376,0.462892,1.053075,0.256132,300,300,full_logistic
cuad,llama,ppipp,100,772.0,11.136272,0.463878,0.483049,0.258176,300,300,full_logistic
cuad,llama,ppipp,100,997.0,10.081224,0.37295,0.588178,0.231898,300,300,full_logistic
