dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,50,,0.62533,0.0,-0.200662,0.0,300,300,full_logistic
cuad,mistral,expert_only,50,70.0,4.713283,0.178834,0.973964,0.112106,300,300,full_logistic
cuad,mistral,expert_only,50,97.0,5.386571,0.224079,1.071319,0.139194,300,300,full_logistic
cuad,mistral,expert_only,50,136.0,4.905262,0.188258,0.961103,0.115506,300,300,full_logistic
cuad,mistral,expert_only,50,189.0,4.439737,0.16607,0.873803,0.103679,300,300,full_logistic
cuad,mistral,expert_only,50,264.0,5.217556,0.22256,0.903291,0.119319,300,300,full_logistic
cuad,mistral,expert_only,50,368.0,4.556029,0.17815,0.875799,0.111928,300,300,full_logistic
cuad,mistral,expert_only,50,513.0,4.622535,0.169348,0.891189,0.10646,300,300,full_logistic
cuad,mistral,expert_only,50,715.0,5.001946,0.196373,0.900564,0.122653,300,300,full_logistic
cuad,mistral,expert_only,50,997.0,4.896584,0.183846,1.106371,0.114282,300,300,full_logistic
cuad,mistral,dsl,50,70.0,2.379161,0.086356,-0.097111,0.049903,300,300,full_logistic
cuad,mistral,dsl,50,97.0,1.909512,0.061709,-0.231667,0.04158,300,300,full_logistic
cuad,mistral,dsl,50,136.0,2.010638,0.070565,-0.21103,0.044492,300,300,full_logistic
cuad,mistral,dsl,50,189.0,1.545026,0.04175,-0.388118,0.034463,300,300,full_logistic
cuad,mistral,dsl,50,264.0,1.48449,0.037389,-0.426363,0.033084,300,300,full_logistic
cuad,mistral,dsl,50,368.0,1.43398,0.03697,-0.44736,0.030665,300,300,full_logistic
cuad,mistral,dsl,50,513.0,1.32837,0.034015,-0.432848,0.027826,300,300,full_logistic
cuad,mistral,dsl,50,715.0,1.3528,0.033916,-0.496583,0.028724,300,300,full_logistic
cuad,mistral,dsl,50,997.0,1.217522,0.02707,-0.451875,0.0249,300,300,full_logistic
cuad,mistral,ppi,50,70.0,8.647325,0.306687,1.098922,0.216429,300,300,full_logistic
cuad,mistral,ppi,50,97.0,5.102758,0.196898,0.474365,0.126119,300,300,full_logistic
cuad,mistral,ppi,50,136.0,3.508622,0.133347,0.249309,0.0889,300,300,full_logistic
cuad,mistral,ppi,50,189.0,2.56857,0.098401,-0.178906,0.064993,300,300,full_logistic
cuad,mistral,ppi,50,264.0,2.76638,0.11485,-0.207487,0.068665,300,300,full_logistic
cuad,mistral,ppi,50,368.0,2.586967,0.110343,-0.23653,0.064024,300,300,full_logistic
cuad,mistral,ppi,50,513.0,2.393553,0.104907,-0.207375,0.05706,300,300,full_logistic
cuad,mistral,ppi,50,715.0,2.230113,0.095814,-0.241918,0.051685,300,300,full_logistic
cuad,mistral,ppi,50,997.0,1.9787,0.085475,-0.181361,0.052201,300,300,full_logistic
cuad,mistral,ppipp,50,70.0,2.423277,0.081619,0.102036,0.051481,300,300,full_logistic
cuad,mistral,ppipp,50,97.0,2.152283,0.071312,0.047601,0.049605,300,300,full_logistic
cuad,mistral,ppipp,50,136.0,2.313625,0.077812,0.067926,0.051708,300,300,full_logistic
cuad,mistral,ppipp,50,189.0,1.97438,0.067209,-0.032848,0.044954,300,300,full_logistic
cuad,mistral,ppipp,50,264.0,1.993066,0.070134,-0.058565,0.046817,300,300,full_logistic
cuad,mistral,ppipp,50,368.0,1.835503,0.057774,-0.073295,0.04309,300,300,full_logistic
cuad,mistral,ppipp,50,513.0,1.796893,0.057527,-0.052272,0.039191,300,300,full_logistic
cuad,mistral,ppipp,50,715.0,1.811299,0.058758,-0.086559,0.043615,300,300,full_logistic
cuad,mistral,ppipp,50,997.0,1.85232,0.058739,0.006306,0.041395,300,300,full_logistic
