dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
cuad,mistral,llm_only,50,,0.561204,0.0,0.561204,0.0,300,300,high_variance
cuad,mistral,expert_only,50,70.0,1.325148,0.07479,0.279244,0.07479,300,300,high_variance
cuad,mistral,expert_only,50,97.0,1.312116,0.073327,0.329554,0.073327,300,300,high_variance
cuad,mistral,expert_only,50,136.0,1.21612,0.06857,0.261496,0.06857,300,300,high_variance
cuad,mistral,expert_only,50,189.0,1.217223,0.069105,0.221274,0.069105,300,300,high_variance
cuad,mistral,expert_only,50,264.0,1.487769,0.083341,0.360228,0.083341,300,300,high_variance
cuad,mistral,expert_only,50,368.0,1.455383,0.079255,0.483473,0.079255,300,300,high_variance
cuad,mistral,expert_only,50,513.0,1.271468,0.072612,0.186806,0.072612,300,300,high_variance
cuad,mistral,expert_only,50,715.0,1.237245,0.070064,0.240992,0.070064,300,300,high_variance
cuad,mistral,expert_only,50,997.0,1.278266,0.072979,0.190207,0.072979,300,300,high_variance
cuad,mistral,dsl,50,70.0,0.784569,0.045183,-0.055781,0.045183,300,300,high_variance
cuad,mistral,dsl,50,97.0,0.700213,0.040209,-0.072651,0.040209,300,300,high_variance
cuad,mistral,dsl,50,136.0,0.630807,0.035823,-0.113717,0.035823,300,300,high_variance
cuad,mistral,dsl,50,189.0,0.621175,0.035078,-0.129303,0.035078,300,300,high_variance
cuad,mistral,dsl,50,264.0,0.614465,0.034981,-0.102324,0.034981,300,300,high_variance
cuad,mistral,dsl,50,368.0,0.541998,0.031028,-0.070242,0.031028,300,300,high_variance
cuad,mistral,dsl,50,513.0,0.555266,0.03057,-0.167232,0.03057,300,300,high_variance
cuad,mistral,dsl,50,715.0,0.556926,0.030815,-0.159029,0.030815,300,300,high_variance
cuad,mistral,dsl,50,997.0,0.504897,0.028005,-0.140142,0.028005,300,300,high_variance
cuad,mistral,ppi,50,70.0,2.309221,0.132941,0.174733,0.132941,300,300,high_variance
cuad,mistral,ppi,50,97.0,1.744946,0.100738,0.019775,0.100738,300,300,high_variance
cuad,mistral,ppi,50,136.0,1.071972,0.06189,0.003683,0.06189,300,300,high_variance
cuad,mistral,ppi,50,189.0,0.945193,0.054504,0.04688,0.054504,300,300,high_variance
cuad,mistral,ppi,50,264.0,0.81179,0.046844,0.026309,0.046844,300,300,high_variance
cuad,mistral,ppi,50,368.0,0.686502,0.039613,0.023194,0.039613,300,300,high_variance
cuad,mistral,ppi,50,513.0,0.672354,0.038673,-0.058212,0.038673,300,300,high_variance
cuad,mistral,ppi,50,715.0,0.657601,0.037858,-0.049704,0.037858,300,300,high_variance
cuad,mistral,ppi,50,997.0,0.592979,0.034232,-0.008768,0.034232,300,300,high_variance
cuad,mistral,ppipp,50,70.0,0.944231,0.054255,0.09218,0.054255,300,300,high_variance
cuad,mistral,ppipp,50,97.0,0.88745,0.05074,0.123299,0.05074,300,300,high_variance
cuad,mistral,ppipp,50,136.0,0.808412,0.046489,0.071902,0.046489,300,300,high_variance
cuad,mistral,ppipp,50,189.0,0.777795,0.044845,0.040504,0.044845,300,300,high_variance
cuad,mistral,ppipp,50,264.0,0.846269,0.048496,0.103062,0.048496,300,300,high_variance
cuad,mistral,ppipp,50,368.0,0.81511,0.046044,0.168492,0.046044,300,300,high_variance
cuad,mistral,ppipp,50,513.0,0.706108,0.040764,-0.008585,0.040764,300,300,high_variance
cuad,mistral,ppipp,50,715.0,0.708127,0.04086,0.0242,0.04086,300,300,high_variance
cuad,mistral,ppipp,50,997.0,0.724629,0.041836,0.000316,0.041836,300,300,high_variance
