dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
fomc,claude,llm_only,100,,0.168724,0.0,-0.168724,0.0,300,300,prevalence
fomc,claude,expert_only,100,129.0,0.096199,0.005542,-0.006419,0.005542,300,300,prevalence
fomc,claude,expert_only,100,167.0,0.096138,0.005548,0.003086,0.005548,300,300,prevalence
fomc,claude,expert_only,100,215.0,0.091297,0.005244,-0.009291,0.005244,300,300,prevalence
fomc,claude,expert_only,100,278.0,0.104976,0.005977,0.017378,0.005977,300,300,prevalence
fomc,claude,expert_only,100,359.0,0.096506,0.005561,-0.005872,0.005561,300,300,prevalence
fomc,claude,expert_only,100,463.0,0.093869,0.005415,-0.003684,0.005415,300,300,prevalence
fomc,claude,expert_only,100,598.0,0.099373,0.005737,0.001582,0.005737,300,300,prevalence
fomc,claude,expert_only,100,772.0,0.102461,0.00589,0.009582,0.00589,300,300,prevalence
fomc,claude,expert_only,100,997.0,0.096125,0.005545,-0.004162,0.005545,300,300,prevalence
fomc,claude,dsl,100,129.0,0.092078,0.005311,-0.003856,0.005311,300,300,prevalence
fomc,claude,dsl,100,167.0,0.085861,0.004949,0.005042,0.004949,300,300,prevalence
fomc,claude,dsl,100,215.0,0.082759,0.004748,-0.009312,0.004748,300,300,prevalence
fomc,claude,dsl,100,278.0,0.088895,0.005056,0.015254,0.005056,300,300,prevalence
fomc,claude,dsl,100,359.0,0.077382,0.004462,-0.003909,0.004462,300,300,prevalence
fomc,claude,dsl,100,463.0,0.077542,0.004474,-0.002795,0.004474,300,300,prevalence
fomc,claude,dsl,100,598.0,0.083972,0.004845,0.002969,0.004845,300,300,prevalence
fomc,claude,dsl,100,772.0,0.080527,0.004635,0.006309,0.004635,300,300,prevalence
fomc,claude,dsl,100,997.0,0.081305,0.004693,-0.002083,0.004693,300,300,prevalence
fomc,claude,ppi,100,129.0,0.092278,0.005321,-0.004621,0.005321,300,300,prevalence
fomc,claude,ppi,100,167.0,0.08583,0.004951,0.003607,0.004951,300,300,prevalence
fomc,claude,ppi,100,215.0,0.083314,0.004772,-0.010524,0.004772,300,300,prevalence
fomc,claude,ppi,100,278.0,0.089342,0.005098,0.013615,0.005098,300,300,prevalence
fomc,claude,ppi,100,359.0,0.078107,0.004495,-0.006272,0.004495,300,300,prevalence
fomc,claude,ppi,100,463.0,0.07746,0.004465,-0.004402,0.004465,300,300,prevalence
fomc,claude,ppi,100,598.0,0.084022,0.004851,0.000904,0.004851,300,300,prevalence
fomc,claude,ppi,100,772.0,0.08065,0.004651,0.00368,0.004651,300,300,prevalence
fomc,claude,ppi,100,997.0,0.081019,0.00467,-0.00452,0.00467,300,300,prevalence
fomc,claude,ppipp,100,129.0,0.093061,0.005364,-0.005363,0.005364,300,300,prevalence
fomc,claude,ppipp,100,167.0,0.088808,0.005123,0.003665,0.005123,300,300,prevalence
fomc,claude,ppipp,100,215.0,0.084024,0.00482,-0.009535,0.00482,300,300,prevalence
fomc,claude,ppipp,100,278.0,0.093919,0.005344,0.015948,0.005344,300,300,prevalence
fomc,claude,ppipp,100,359.0,0.083298,0.004799,-0.005341,0.004799,300,300,prevalence
fomc,claude,ppipp,100,463.0,0.081094,0.004678,-0.003426,0.004678,300,300,prevalence
fomc,claude,ppipp,100,598.0,0.088024,0.005081,0.0018,0.005081,300,300,prevalence
fomc,claude,ppipp,100,772.0,0.086668,0.004986,0.007324,0.004986,300,300,prevalence
fomc,claude,ppipp,100,997.0,0.083601,0.004822,-0.0037,0.004822,300,300,prevalence
