dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,claude,llm_only,50,,0.123303,0.0,-0.123303,0.0,300,300,low_variance
fomc,claude,expert_only,50,70.0,1.266359,0.070747,0.319592,0.070747,300,300,low_variance
fomc,claude,expert_only,50,97.0,1.308135,0.07179,0.406291,0.07179,300,300,low_variance
fomc,claude,expert_only,50,136.0,1.271154,0.070212,0.370037,0.070212,300,300,low_variance
fomc,claude,expert_only,50,189.0,1.131364,0.063899,0.234627,0.063899,300,300,low_variance
fomc,claude,expert_only,50,264.0,1.101083,0.062241,0.224048,0.062241,300,300,low_variance
fomc,claude,expert_only,50,368.0,0.992777,0.05619,0.195954,0.05619,300,300,low_variance
fomc,claude,expert_only,50,513.0,1.216062,0.067185,0.353059,0.067185,300,300,low_variance
fomc,claude,expert_only,50,715.0,1.056214,0.059999,0.188727,0.059999,300,300,low_variance
fomc,claude,expert_only,50,997.0,1.165705,0.064883,0.309717,0.064883,300,300,low_variance
fomc,claude,dsl,50,70.0,0.421097,0.022781,-0.147068,0.022781,300,300,low_variance
fomc,claude,dsl,50,97.0,0.44952,0.025311,-0.099399,0.025311,300,300,low_variance
fomc,claude,dsl,50,136.0,0.421334,0.023111,-0.13148,0.023111,300,300,low_variance
fomc,claude,dsl,50,189.0,0.41883,0.022363,-0.159318,0.022363,300,300,low_variance
fomc,claude,dsl,50,264.0,0.417592,0.022811,-0.135186,0.022811,300,300,low_variance
fomc,claude,dsl,50,368.0,0.408476,0.022133,-0.141061,0.022133,300,300,low_variance
fomc,claude,dsl,50,513.0,0.380318,0.02087,-0.118223,0.02087,300,300,low_variance
fomc,claude,dsl,50,715.0,0.420488,0.02263,-0.152254,0.02263,300,300,low_variance
fomc,claude,dsl,50,997.0,0.396906,0.020702,-0.170191,0.020702,300,300,low_variance
fomc,claude,ppi,50,70.0,3.733978,0.206436,1.076013,0.206436,300,300,low_variance
fomc,claude,ppi,50,97.0,2.940383,0.165661,0.642443,0.165661,300,300,low_variance
fomc,claude,ppi,50,136.0,1.811879,0.103452,0.268769,0.103452,300,300,low_variance
fomc,claude,ppi,50,189.0,1.300659,0.074365,0.180769,0.074365,300,300,low_variance
fomc,claude,ppi,50,264.0,1.336911,0.076353,0.19596,0.076353,300,300,low_variance
fomc,claude,ppi,50,368.0,1.390632,0.079487,0.195991,0.079487,300,300,low_variance
fomc,claude,ppi,50,513.0,0.679146,0.038895,0.085933,0.038895,300,300,low_variance
fomc,claude,ppi,50,715.0,1.744093,0.099574,0.259596,0.099574,300,300,low_variance
fomc,claude,ppi,50,997.0,0.758939,0.043815,0.008672,0.043815,300,300,low_variance
fomc,claude,ppipp,50,70.0,0.596036,0.034349,0.036111,0.034349,300,300,low_variance
fomc,claude,ppipp,50,97.0,0.628545,0.035812,0.10155,0.035812,300,300,low_variance
fomc,claude,ppipp,50,136.0,0.573702,0.03297,0.055018,0.03297,300,300,low_variance
fomc,claude,ppipp,50,189.0,0.53978,0.031162,-0.005742,0.031162,300,300,low_variance
fomc,claude,ppipp,50,264.0,0.5468,0.031567,0.006976,0.031567,300,300,low_variance
fomc,claude,ppipp,50,368.0,0.498314,0.02877,0.00258,0.02877,300,300,low_variance
fomc,claude,ppipp,50,513.0,0.51021,0.029347,0.043999,0.029347,300,300,low_variance
fomc,claude,ppipp,50,715.0,0.487074,0.028089,-0.023485,0.028089,300,300,low_variance
fomc,claude,ppipp,50,997.0,0.499163,0.028812,0.011179,0.028812,300,300,low_variance
