dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,50,,3.145176,0.0,-1.03945,0.0,300,300,full_logistic
fomc,deepseek,expert_only,50,70.0,7.24147,0.210414,0.846703,0.167728,300,300,full_logistic
fomc,deepseek,expert_only,50,97.0,7.610078,0.221152,1.040623,0.18037,300,300,full_logistic
fomc,deepseek,expert_only,50,136.0,7.132757,0.188398,0.651208,0.171232,300,300,full_logistic
fomc,deepseek,expert_only,50,189.0,7.345826,0.209025,0.522406,0.172167,300,300,full_logistic
fomc,deepseek,expert_only,50,264.0,8.462046,0.294406,0.404917,0.212701,300,300,full_logistic
fomc,deepseek,expert_only,50,368.0,7.021199,0.20054,0.348477,0.169954,300,300,full_logistic
fomc,deepseek,expert_only,50,513.0,7.732804,0.232036,0.798342,0.188225,300,300,full_logistic
fomc,deepseek,expert_only,50,715.0,6.841242,0.192933,0.340936,0.150095,300,300,full_logistic
fomc,deepseek,expert_only,50,997.0,7.241189,0.202156,0.781755,0.164925,300,300,full_logistic
fomc,deepseek,dsl,50,70.0,5.298681,0.13478,0.296503,0.118935,300,300,full_logistic
fomc,deepseek,dsl,50,97.0,5.203006,0.133372,0.469344,0.129366,300,300,full_logistic
fomc,deepseek,dsl,50,136.0,5.083067,0.127512,0.180383,0.116757,300,300,full_logistic
fomc,deepseek,dsl,50,189.0,4.728994,0.118094,0.115383,0.114312,300,300,full_logistic
fomc,deepseek,dsl,50,264.0,4.762898,0.119262,0.005567,0.109276,300,300,full_logistic
fomc,deepseek,dsl,50,368.0,4.406539,0.104854,-0.038799,0.100944,300,300,full_logistic
fomc,deepseek,dsl,50,513.0,4.770374,0.120467,0.232403,0.102914,300,300,full_logistic
fomc,deepseek,dsl,50,715.0,4.549524,0.105533,0.150936,0.101168,300,300,full_logistic
fomc,deepseek,dsl,50,997.0,4.621091,0.109357,0.287917,0.10558,300,300,full_logistic
fomc,deepseek,ppi,50,70.0,41.876108,1.666192,6.169775,1.043786,300,300,full_logistic
fomc,deepseek,ppi,50,97.0,25.816828,1.156482,3.728952,0.689095,300,300,full_logistic
fomc,deepseek,ppi,50,136.0,16.99271,0.752817,2.067612,0.443423,300,300,full_logistic
fomc,deepseek,ppi,50,189.0,11.777318,0.522369,1.156882,0.328914,300,300,full_logistic
fomc,deepseek,ppi,50,264.0,8.28684,0.279236,0.729895,0.196167,300,300,full_logistic
fomc,deepseek,ppi,50,368.0,9.546887,0.375724,0.761715,0.23546,300,300,full_logistic
fomc,deepseek,ppi,50,513.0,8.559198,0.323836,0.876331,0.194572,300,300,full_logistic
fomc,deepseek,ppi,50,715.0,8.923594,0.353755,0.932119,0.20773,300,300,full_logistic
fomc,deepseek,ppi,50,997.0,8.656734,0.3354,1.032841,0.21011,300,300,full_logistic
fomc,deepseek,ppipp,50,70.0,5.813691,0.156437,0.449142,0.130762,300,300,full_logistic
fomc,deepseek,ppipp,50,97.0,5.834912,0.153828,0.579263,0.141656,300,300,full_logistic
fomc,deepseek,ppipp,50,136.0,5.429854,0.131872,0.236738,0.126259,300,300,full_logistic
fomc,deepseek,ppipp,50,189.0,5.486921,0.143526,0.162014,0.127304,300,300,full_logistic
fomc,deepseek,ppipp,50,264.0,5.798543,0.168741,0.092637,0.140555,300,300,full_logistic
fomc,deepseek,ppipp,50,368.0,5.028301,0.129613,0.017561,0.119366,300,300,full_logistic
fomc,deepseek,ppipp,50,513.0,5.615043,0.155235,0.353682,0.132363,300,300,full_logistic
fomc,deepseek,ppipp,50,715.0,4.974424,0.123774,0.09712,0.111141,300,300,full_logistic
fomc,deepseek,ppipp,50,997.0,5.266807,0.138849,0.345378,0.121213,300,300,full_logistic
