dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,deepseek,llm_only,50,,0.961297,0.0,-0.961297,0.0,300,300,high_variance
fomc,deepseek,expert_only,50,70.0,2.139357,0.123341,0.113927,0.123341,300,300,high_variance
fomc,deepseek,expert_only,50,97.0,1.993707,0.113347,0.347328,0.113347,300,300,high_variance
fomc,deepseek,expert_only,50,136.0,2.267161,0.130569,0.159892,0.130569,300,300,high_variance
fomc,deepseek,expert_only,50,189.0,2.179797,0.12585,-0.005333,0.12585,300,300,high_variance
fomc,deepseek,expert_only,50,264.0,2.144336,0.123731,0.073183,0.123731,300,300,high_variance
fomc,deepseek,expert_only,50,368.0,2.200096,0.126714,0.153223,0.126714,300,300,high_variance
fomc,deepseek,expert_only,50,513.0,2.195623,0.126753,0.02948,0.126753,300,300,high_variance
fomc,deepseek,expert_only,50,715.0,2.364539,0.136005,0.204533,0.136005,300,300,high_variance
fomc,deepseek,expert_only,50,997.0,2.31962,0.133911,0.031877,0.133911,300,300,high_variance
fomc,deepseek,dsl,50,70.0,1.64515,0.09495,-0.043166,0.09495,300,300,high_variance
fomc,deepseek,dsl,50,97.0,1.60612,0.092127,0.182762,0.092127,300,300,high_variance
fomc,deepseek,dsl,50,136.0,1.740382,0.100471,0.024124,0.100471,300,300,high_variance
fomc,deepseek,dsl,50,189.0,1.589423,0.09152,-0.116071,0.09152,300,300,high_variance
fomc,deepseek,dsl,50,264.0,1.644957,0.094885,-0.070383,0.094885,300,300,high_variance
fomc,deepseek,dsl,50,368.0,1.636991,0.094496,-0.029822,0.094496,300,300,high_variance
fomc,deepseek,dsl,50,513.0,1.751622,0.10104,-0.073934,0.10104,300,300,high_variance
fomc,deepseek,dsl,50,715.0,1.74369,0.100438,0.118855,0.100438,300,300,high_variance
fomc,deepseek,dsl,50,997.0,1.814202,0.104419,-0.142664,0.104419,300,300,high_variance
fomc,deepseek,ppi,50,70.0,7.272857,0.409212,1.630356,0.409212,300,300,high_variance
fomc,deepseek,ppi,50,97.0,5.528383,0.312057,1.161505,0.312057,300,300,high_variance
fomc,deepseek,ppi,50,136.0,4.794625,0.271438,0.94067,0.271438,300,300,high_variance
fomc,deepseek,ppi,50,189.0,6.007697,0.345401,0.549354,0.345401,300,300,high_variance
fomc,deepseek,ppi,50,264.0,3.184311,0.183191,0.268538,0.183191,300,300,high_variance
fomc,deepseek,ppi,50,368.0,4.079769,0.234189,0.437188,0.234189,300,300,high_variance
fomc,deepseek,ppi,50,513.0,4.100341,0.234838,0.517871,0.234838,300,300,high_variance
fomc,deepseek,ppi,50,715.0,3.964247,0.22595,0.631897,0.22595,300,300,high_variance
fomc,deepseek,ppi,50,997.0,3.605704,0.207973,0.158867,0.207973,300,300,high_variance
fomc,deepseek,ppipp,50,70.0,1.860283,0.107392,0.027768,0.107392,300,300,high_variance
fomc,deepseek,ppipp,50,97.0,1.708078,0.097824,0.21605,0.097824,300,300,high_variance
fomc,deepseek,ppipp,50,136.0,1.862037,0.107497,0.022492,0.107497,300,300,high_variance
fomc,deepseek,ppipp,50,189.0,1.721469,0.099043,-0.143424,0.099043,300,300,high_variance
fomc,deepseek,ppipp,50,264.0,1.714598,0.098863,-0.087739,0.098863,300,300,high_variance
fomc,deepseek,ppipp,50,368.0,1.710399,0.098739,-0.025894,0.098739,300,300,high_variance
fomc,deepseek,ppipp,50,513.0,1.74375,0.100441,-0.118815,0.100441,300,300,high_variance
fomc,deepseek,ppipp,50,715.0,1.792509,0.103472,0.034263,0.103472,300,300,high_variance
fomc,deepseek,ppipp,50,997.0,1.860447,0.107043,-0.154268,0.107043,300,300,high_variance
