dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
fomc,llama,llm_only,200,,0.179012,0.0,0.179012,0.0,300,300,prevalence
fomc,llama,expert_only,200,239.0,0.06659,0.003842,-0.002214,0.003842,300,300,prevalence
fomc,llama,expert_only,200,286.0,0.064648,0.003732,0.000624,0.003732,300,300,prevalence
fomc,llama,expert_only,200,342.0,0.065353,0.003758,-0.005804,0.003758,300,300,prevalence
fomc,llama,expert_only,200,408.0,0.068879,0.003958,0.00671,0.003958,300,300,prevalence
fomc,llama,expert_only,200,488.0,0.059506,0.003435,-0.00047,0.003435,300,300,prevalence
fomc,llama,expert_only,200,584.0,0.067553,0.003896,0.003018,0.003896,300,300,prevalence
fomc,llama,expert_only,200,698.0,0.06841,0.003949,-0.000846,0.003949,300,300,prevalence
fomc,llama,expert_only,200,834.0,0.06611,0.003816,-0.001325,0.003816,300,300,prevalence
fomc,llama,expert_only,200,997.0,0.064227,0.003704,0.00312,0.003704,300,300,prevalence
fomc,llama,dsl,200,239.0,0.065964,0.003807,-0.00158,0.003807,300,300,prevalence
fomc,llama,dsl,200,286.0,0.062491,0.003607,0.001216,0.003607,300,300,prevalence
fomc,llama,dsl,200,342.0,0.060787,0.003491,-0.006306,0.003491,300,300,prevalence
fomc,llama,dsl,200,408.0,0.065686,0.003784,0.004497,0.003784,300,300,prevalence
fomc,llama,dsl,200,488.0,0.054252,0.003132,-0.000342,0.003132,300,300,prevalence
fomc,llama,dsl,200,584.0,0.060797,0.00351,7.8e-05,0.00351,300,300,prevalence
fomc,llama,dsl,200,698.0,0.060351,0.003477,-0.00379,0.003477,300,300,prevalence
fomc,llama,dsl,200,834.0,0.060484,0.003492,0.000592,0.003492,300,300,prevalence
fomc,llama,dsl,200,997.0,0.057936,0.003342,0.002524,0.003342,300,300,prevalence
fomc,llama,ppi,200,239.0,0.065885,0.003803,-0.001526,0.003803,300,300,prevalence
fomc,llama,ppi,200,286.0,0.06243,0.003604,0.001309,0.003604,300,300,prevalence
fomc,llama,ppi,200,342.0,0.060819,0.003492,-0.006369,0.003492,300,300,prevalence
fomc,llama,ppi,200,408.0,0.06562,0.003779,0.004736,0.003779,300,300,prevalence
fomc,llama,ppi,200,488.0,0.054306,0.003135,-6.3e-05,0.003135,300,300,prevalence
fomc,llama,ppi,200,584.0,0.060829,0.003512,0.000764,0.003512,300,300,prevalence
fomc,llama,ppi,200,698.0,0.060057,0.003463,-0.003039,0.003463,300,300,prevalence
fomc,llama,ppi,200,834.0,0.060721,0.003505,0.001231,0.003505,300,300,prevalence
fomc,llama,ppi,200,997.0,0.057984,0.003343,0.003166,0.003343,300,300,prevalence
fomc,llama,ppipp,200,239.0,0.06591,0.003804,-0.001899,0.003804,300,300,prevalence
fomc,llama,ppipp,200,286.0,0.062997,0.003637,0.000939,0.003637,300,300,prevalence
fomc,llama,ppipp,200,342.0,0.062378,0.003584,-0.006121,0.003584,300,300,prevalence
fomc,llama,ppipp,200,408.0,0.066187,0.003807,0.0057,0.003807,300,300,prevalence
fomc,llama,ppipp,200,488.0,0.055507,0.003205,-0.000325,0.003205,300,300,prevalence
fomc,llama,ppipp,200,584.0,0.06277,0.003622,0.001826,0.003622,300,300,prevalence
fomc,llama,ppipp,200,698.0,0.062909,0.00363,-0.002028,0.00363,300,300,prevalence
fomc,llama,ppipp,200,834.0,0.061841,0.00357,-0.000147,0.00357,300,300,prevalence
fomc,llama,ppipp,200,997.0,0.059439,0.003427,0.003059,0.003427,300,300,prevalence
