dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
fomc,mistral,llm_only,200,,9.875182,0.0,4.696006,0.0,300,300,full_logistic
fomc,mistral,expert_only,200,239.0,2.391001,0.05977,0.111843,0.054809,300,300,full_logistic
fomc,mistral,expert_only,200,286.0,2.493901,0.061165,0.083743,0.058257,300,300,full_logistic
fomc,mistral,expert_only,200,342.0,2.575045,0.066799,0.026673,0.059021,300,300,full_logistic
fomc,mistral,expert_only,200,408.0,2.38037,0.058861,0.094654,0.052416,300,300,full_logistic
fomc,mistral,expert_only,200,488.0,2.467539,0.064438,0.137013,0.056236,300,300,full_logistic
fomc,mistral,expert_only,200,584.0,2.446147,0.060144,0.069611,0.056814,300,300,full_logistic
fomc,mistral,expert_only,200,698.0,2.457954,0.057443,0.098799,0.057073,300,300,full_logistic
fomc,mistral,expert_only,200,834.0,2.375612,0.055697,0.077216,0.05392,300,300,full_logistic
fomc,mistral,expert_only,200,997.0,2.452261,0.056317,0.059501,0.059003,300,300,full_logistic
fomc,mistral,dsl,200,239.0,2.159157,0.055007,0.046397,0.049296,300,300,full_logistic
fomc,mistral,dsl,200,286.0,2.271839,0.054655,0.016699,0.053425,300,300,full_logistic
fomc,mistral,dsl,200,342.0,2.217705,0.053595,-0.044601,0.050596,300,300,full_logistic
fomc,mistral,dsl,200,408.0,2.103036,0.048788,0.018691,0.048139,300,300,full_logistic
fomc,mistral,dsl,200,488.0,2.196258,0.055078,0.082049,0.050179,300,300,full_logistic
fomc,mistral,dsl,200,584.0,2.168182,0.052621,0.029054,0.048843,300,300,full_logistic
fomc,mistral,dsl,200,698.0,2.208124,0.053556,0.044876,0.053268,300,300,full_logistic
fomc,mistral,dsl,200,834.0,2.037372,0.041436,0.009805,0.04726,300,300,full_logistic
fomc,mistral,dsl,200,997.0,2.07116,0.047092,-0.015592,0.047309,300,300,full_logistic
fomc,mistral,ppi,200,239.0,13.36665,0.544541,-1.317138,0.286772,300,300,full_logistic
fomc,mistral,ppi,200,286.0,6.405063,0.216957,-0.541327,0.146181,300,300,full_logistic
fomc,mistral,ppi,200,342.0,4.792378,0.142705,-0.25418,0.107767,300,300,full_logistic
fomc,mistral,ppi,200,408.0,3.785609,0.09936,-0.132593,0.087176,300,300,full_logistic
fomc,mistral,ppi,200,488.0,3.665979,0.097875,0.093176,0.083852,300,300,full_logistic
fomc,mistral,ppi,200,584.0,3.400626,0.089138,-0.080307,0.078483,300,300,full_logistic
fomc,mistral,ppi,200,698.0,3.20026,0.076072,-0.015169,0.07754,300,300,full_logistic
fomc,mistral,ppi,200,834.0,3.173057,0.079718,-0.148622,0.072089,300,300,full_logistic
fomc,mistral,ppi,200,997.0,3.115328,0.07566,0.037857,0.068012,300,300,full_logistic
fomc,mistral,ppipp,200,239.0,2.21407,0.054899,0.053942,0.050733,300,300,full_logistic
fomc,mistral,ppipp,200,286.0,2.299149,0.05553,0.02745,0.053839,300,300,full_logistic
fomc,mistral,ppipp,200,342.0,2.334987,0.059251,-0.016952,0.053171,300,300,full_logistic
fomc,mistral,ppipp,200,408.0,2.169889,0.052441,0.047797,0.04822,300,300,full_logistic
fomc,mistral,ppipp,200,488.0,2.246463,0.057122,0.096927,0.051422,300,300,full_logistic
fomc,mistral,ppipp,200,584.0,2.217902,0.053431,0.02931,0.051484,300,300,full_logistic
fomc,mistral,ppipp,200,698.0,2.217542,0.051862,0.053448,0.052253,300,300,full_logistic
fomc,mistral,ppipp,200,834.0,2.1226,0.047152,0.020004,0.048398,300,300,full_logistic
fomc,mistral,ppipp,200,997.0,2.193508,0.050142,0.026708,0.052307,300,300,full_logistic
