dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
fomc,mistral,llm_only,200,,0.555556,0.0,-0.555556,0.0,300,300,prevalence
fomc,mistral,expert_only,200,239.0,0.06659,0.003842,-0.002214,0.003842,300,300,prevalence
fomc,mistral,expert_only,200,286.0,0.064648,0.003732,0.000624,0.003732,300,300,prevalence
fomc,mistral,expert_only,200,342.0,0.065353,0.003758,-0.005804,0.003758,300,300,prevalence
fomc,mistral,expert_only,200,408.0,0.068879,0.003958,0.00671,0.003958,300,300,prevalence
fomc,mistral,expert_only,200,488.0,0.059506,0.003435,-0.00047,0.003435,300,300,prevalence
fomc,mistral,expert_only,200,584.0,0.067553,0.003896,0.003018,0.003896,300,300,prevalence
fomc,mistral,expert_only,200,698.0,0.06841,0.003949,-0.000846,0.003949,300,300,prevalence
fomc,mistral,expert_only,200,834.0,0.06611,0.003816,-0.001325,0.003816,300,300,prevalence
fomc,mistral,expert_only,200,997.0,0.064227,0.003704,0.00312,0.003704,300,300,prevalence
fomc,mistral,dsl,200,239.0,0.064061,0.003698,-0.001507,0.003698,300,300,prevalence
fomc,mistral,dsl,200,286.0,0.062627,0.003616,0.000608,0.003616,300,300,prevalence
fomc,mistral,dsl,200,342.0,0.060176,0.003465,-0.004447,0.003465,300,300,prevalence
fomc,mistral,dsl,200,408.0,0.064008,0.003677,0.006463,0.003677,300,300,prevalence
fomc,mistral,dsl,200,488.0,0.055289,0.00319,-0.001958,0.00319,300,300,prevalence
fomc,mistral,dsl,200,584.0,0.060418,0.003485,0.002725,0.003485,300,300,prevalence
fomc,mistral,dsl,200,698.0,0.059266,0.003421,-0.001308,0.003421,300,300,prevalence
fomc,mistral,dsl,200,834.0,0.059583,0.00344,-0.000953,0.00344,300,300,prevalence
fomc,mistral,dsl,200,997.0,0.057223,0.003299,0.003182,0.003299,300,300,prevalence
fomc,mistral,ppi,200,239.0,0.064095,0.003699,-0.001962,0.003699,300,300,prevalence
fomc,mistral,ppi,200,286.0,0.062656,0.003617,-0.000341,0.003617,300,300,prevalence
fomc,mistral,ppi,200,342.0,0.060556,0.003479,-0.005923,0.003479,300,300,prevalence
fomc,mistral,ppi,200,408.0,0.063826,0.003673,0.005113,0.003673,300,300,prevalence
fomc,mistral,ppi,200,488.0,0.055734,0.00321,-0.003913,0.00321,300,300,prevalence
fomc,mistral,ppi,200,584.0,0.060394,0.003487,0.000839,0.003487,300,300,prevalence
fomc,mistral,ppi,200,698.0,0.059713,0.003442,-0.003487,0.003442,300,300,prevalence
fomc,mistral,ppi,200,834.0,0.059573,0.003434,-0.003372,0.003434,300,300,prevalence
fomc,mistral,ppi,200,997.0,0.057027,0.003292,0.000843,0.003292,300,300,prevalence
fomc,mistral,ppipp,200,239.0,0.065378,0.003773,-0.001993,0.003773,300,300,prevalence
fomc,mistral,ppipp,200,286.0,0.063339,0.003657,0.00049,0.003657,300,300,prevalence
fomc,mistral,ppipp,200,342.0,0.062652,0.003603,-0.005481,0.003603,300,300,prevalence
fomc,mistral,ppipp,200,408.0,0.066329,0.003811,0.00648,0.003811,300,300,prevalence
fomc,mistral,ppipp,200,488.0,0.056715,0.003274,-0.001319,0.003274,300,300,prevalence
fomc,mistral,ppipp,200,584.0,0.063859,0.003684,0.002713,0.003684,300,300,prevalence
fomc,mistral,ppipp,200,698.0,0.06392,0.00369,-0.001206,0.00369,300,300,prevalence
fomc,mistral,ppipp,200,834.0,0.062298,0.003596,-0.001528,0.003596,300,300,prevalence
fomc,mistral,ppipp,200,997.0,0.060167,0.00347,0.002825,0.00347,300,300,prevalence
