dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
fomc,mistral,llm_only,50,,0.392598,0.0,0.392598,0.0,300,300,high_variance
fomc,mistral,expert_only,50,70.0,2.139357,0.123341,0.113927,0.123341,300,300,high_variance
fomc,mistral,expert_only,50,97.0,1.993707,0.113347,0.347328,0.113347,300,300,high_variance
fomc,mistral,expert_only,50,136.0,2.267161,0.130569,0.159892,0.130569,300,300,high_variance
fomc,mistral,expert_only,50,189.0,2.179797,0.12585,-0.005333,0.12585,300,300,high_variance
fomc,mistral,expert_only,50,264.0,2.144336,0.123731,0.073183,0.123731,300,300,high_variance
fomc,mistral,expert_only,50,368.0,2.200096,0.126714,0.153223,0.126714,300,300,high_variance
fomc,mistral,expert_only,50,513.0,2.195623,0.126753,0.02948,0.126753,300,300,high_variance
fomc,mistral,expert_only,50,715.0,2.364539,0.136005,0.204533,0.136005,300,300,high_variance
fomc,mistral,expert_only,50,997.0,2.31962,0.133911,0.031877,0.133911,300,300,high_variance
fomc,mistral,dsl,50,70.0,1.716072,0.099024,-0.056161,0.099024,300,300,high_variance
fomc,mistral,dsl,50,97.0,1.623704,0.09347,0.124188,0.09347,300,300,high_variance
fomc,mistral,dsl,50,136.0,1.822303,0.10521,-0.00419,0.10521,300,300,high_variance
fomc,mistral,dsl,50,189.0,1.649088,0.094965,-0.118262,0.094965,300,300,high_variance
fomc,mistral,dsl,50,264.0,1.618943,0.093438,-0.042276,0.093438,300,300,high_variance
fomc,mistral,dsl,50,368.0,1.616971,0.093324,-0.042463,0.093324,300,300,high_variance
fomc,mistral,dsl,50,513.0,1.659978,0.095715,-0.084278,0.095715,300,300,high_variance
fomc,mistral,dsl,50,715.0,1.706653,0.098439,0.074915,0.098439,300,300,high_variance
fomc,mistral,dsl,50,997.0,1.648376,0.095063,-0.077864,0.095063,300,300,high_variance
fomc,mistral,ppi,50,70.0,8.689868,0.500546,-0.591557,0.500546,300,300,high_variance
fomc,mistral,ppi,50,97.0,5.005684,0.288978,-0.066287,0.288978,300,300,high_variance
fomc,mistral,ppi,50,136.0,3.414469,0.196211,-0.330166,0.196211,300,300,high_variance
fomc,mistral,ppi,50,189.0,2.828801,0.16303,-0.168776,0.16303,300,300,high_variance
fomc,mistral,ppi,50,264.0,2.583711,0.148431,0.256903,0.148431,300,300,high_variance
fomc,mistral,ppi,50,368.0,2.406102,0.138869,-0.062698,0.138869,300,300,high_variance
fomc,mistral,ppi,50,513.0,2.530065,0.145981,0.089924,0.145981,300,300,high_variance
fomc,mistral,ppi,50,715.0,2.325782,0.133463,0.256072,0.133463,300,300,high_variance
fomc,mistral,ppi,50,997.0,2.264571,0.130526,0.131058,0.130526,300,300,high_variance
fomc,mistral,ppipp,50,70.0,1.934527,0.11161,0.073281,0.11161,300,300,high_variance
fomc,mistral,ppipp,50,97.0,1.782792,0.10155,0.290902,0.10155,300,300,high_variance
fomc,mistral,ppipp,50,136.0,2.015288,0.116231,0.092104,0.116231,300,300,high_variance
fomc,mistral,ppipp,50,189.0,1.89238,0.109251,-0.019232,0.109251,300,300,high_variance
fomc,mistral,ppipp,50,264.0,1.856224,0.107102,0.065661,0.107102,300,300,high_variance
fomc,mistral,ppipp,50,368.0,1.886132,0.108782,0.086155,0.108782,300,300,high_variance
fomc,mistral,ppipp,50,513.0,1.923532,0.11105,0.018723,0.11105,300,300,high_variance
fomc,mistral,ppipp,50,715.0,2.027912,0.116732,0.156633,0.116732,300,300,high_variance
fomc,mistral,ppipp,50,997.0,1.956683,0.112947,0.038372,0.112947,300,300,high_variance
