dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,100,,0.014028,0.0,-0.014028,0.0,300,300,prevalence
misogynistic,claude,expert_only,100,129.0,0.089077,0.005135,0.004792,0.005135,300,300,prevalence
misogynistic,claude,expert_only,100,167.0,0.095758,0.005527,0.002128,0.005527,300,300,prevalence
misogynistic,claude,expert_only,100,215.0,0.092508,0.00534,0.001995,0.00534,300,300,prevalence
misogynistic,claude,expert_only,100,278.0,0.093045,0.005372,0.00013,0.005372,300,300,prevalence
misogynistic,claude,expert_only,100,359.0,0.089206,0.005133,0.007256,0.005133,300,300,prevalence
misogynistic,claude,expert_only,100,463.0,0.096796,0.005585,-0.003333,0.005585,300,300,prevalence
misogynistic,claude,expert_only,100,598.0,0.086753,0.005008,0.001595,0.005008,300,300,prevalence
misogynistic,claude,expert_only,100,772.0,0.093432,0.005378,0.007256,0.005378,300,300,prevalence
misogynistic,claude,expert_only,100,997.0,0.090201,0.005206,-0.002068,0.005206,300,300,prevalence
misogynistic,claude,dsl,100,129.0,0.082541,0.004755,0.005458,0.004755,300,300,prevalence
misogynistic,claude,dsl,100,167.0,0.08313,0.004799,0.000396,0.004799,300,300,prevalence
misogynistic,claude,dsl,100,215.0,0.078716,0.004541,-0.003356,0.004541,300,300,prevalence
misogynistic,claude,dsl,100,278.0,0.075403,0.004353,-1.8e-05,0.004353,300,300,prevalence
misogynistic,claude,dsl,100,359.0,0.074834,0.00431,0.005161,0.00431,300,300,prevalence
misogynistic,claude,dsl,100,463.0,0.075169,0.004339,0.001215,0.004339,300,300,prevalence
misogynistic,claude,dsl,100,598.0,0.068506,0.003952,-0.002772,0.003952,300,300,prevalence
misogynistic,claude,dsl,100,772.0,0.071435,0.004124,0.000368,0.004124,300,300,prevalence
misogynistic,claude,dsl,100,997.0,0.067183,0.003873,0.003738,0.003873,300,300,prevalence
misogynistic,claude,ppi,100,129.0,0.082932,0.004778,0.005275,0.004778,300,300,prevalence
misogynistic,claude,ppi,100,167.0,0.083387,0.004814,0.000328,0.004814,300,300,prevalence
misogynistic,claude,ppi,100,215.0,0.078899,0.004551,-0.003276,0.004551,300,300,prevalence
misogynistic,claude,ppi,100,278.0,0.075396,0.004353,8.2e-05,0.004353,300,300,prevalence
misogynistic,claude,ppi,100,359.0,0.074855,0.00431,0.005475,0.00431,300,300,prevalence
misogynistic,claude,ppi,100,463.0,0.074935,0.004326,0.001093,0.004326,300,300,prevalence
misogynistic,claude,ppi,100,598.0,0.068428,0.003948,-0.002544,0.003948,300,300,prevalence
misogynistic,claude,ppi,100,772.0,0.070647,0.004079,0.000455,0.004079,300,300,prevalence
misogynistic,claude,ppi,100,997.0,0.066836,0.003854,0.00318,0.003854,300,300,prevalence
misogynistic,claude,ppipp,100,129.0,0.084411,0.004865,0.005049,0.004865,300,300,prevalence
misogynistic,claude,ppipp,100,167.0,0.086796,0.005011,0.001253,0.005011,300,300,prevalence
misogynistic,claude,ppipp,100,215.0,0.082365,0.004755,-0.000677,0.004755,300,300,prevalence
misogynistic,claude,ppipp,100,278.0,0.079933,0.004615,0.00015,0.004615,300,300,prevalence
misogynistic,claude,ppipp,100,359.0,0.076435,0.004398,0.00637,0.004398,300,300,prevalence
misogynistic,claude,ppipp,100,463.0,0.080914,0.004671,-0.001075,0.004671,300,300,prevalence
misogynistic,claude,ppipp,100,598.0,0.07097,0.004097,-0.000538,0.004097,300,300,prevalence
misogynistic,claude,ppipp,100,772.0,0.076208,0.004394,0.003804,0.004394,300,300,prevalence
misogynistic,claude,ppipp,100,997.0,0.072072,0.004161,0.000681,0.004161,300,300,prevalence
