dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,200,,0.902251,0.0,-0.902251,0.0,300,300,high_variance
misogynistic,deepseek,expert_only,200,239.0,0.665569,0.036112,0.227498,0.036112,300,300,high_variance
misogynistic,deepseek,expert_only,200,286.0,0.715534,0.039271,0.222113,0.039271,300,300,high_variance
misogynistic,deepseek,expert_only,200,342.0,0.713295,0.039092,0.224353,0.039092,300,300,high_variance
misogynistic,deepseek,expert_only,200,408.0,0.726665,0.039732,0.233358,0.039732,300,300,high_variance
misogynistic,deepseek,expert_only,200,488.0,0.790433,0.043481,0.240008,0.043481,300,300,high_variance
misogynistic,deepseek,expert_only,200,584.0,0.696081,0.038878,0.176314,0.038878,300,300,high_variance
misogynistic,deepseek,expert_only,200,698.0,0.717081,0.038838,0.248382,0.038838,300,300,high_variance
misogynistic,deepseek,expert_only,200,834.0,0.691127,0.03851,0.18097,0.03851,300,300,high_variance
misogynistic,deepseek,expert_only,200,997.0,0.66971,0.036553,0.218372,0.036553,300,300,high_variance
misogynistic,deepseek,dsl,200,239.0,0.503408,0.012522,-0.454288,0.012522,300,300,high_variance
misogynistic,deepseek,dsl,200,286.0,0.522303,0.010813,-0.487567,0.010813,300,300,high_variance
misogynistic,deepseek,dsl,200,342.0,0.52366,0.011885,-0.4815,0.011885,300,300,high_variance
misogynistic,deepseek,dsl,200,408.0,0.535486,0.011171,-0.499307,0.011171,300,300,high_variance
misogynistic,deepseek,dsl,200,488.0,0.52572,0.011739,-0.48481,0.011739,300,300,high_variance
misogynistic,deepseek,dsl,200,584.0,0.544455,0.010946,-0.510376,0.010946,300,300,high_variance
misogynistic,deepseek,dsl,200,698.0,0.54477,0.010868,-0.511214,0.010868,300,300,high_variance
misogynistic,deepseek,dsl,200,834.0,0.528885,0.010472,-0.496808,0.010472,300,300,high_variance
misogynistic,deepseek,dsl,200,997.0,0.541801,0.011256,-0.505505,0.011256,300,300,high_variance
misogynistic,deepseek,ppi,200,239.0,3.193989,0.164666,1.437748,0.164666,300,300,high_variance
misogynistic,deepseek,ppi,200,286.0,2.745336,0.144355,1.133748,0.144355,300,300,high_variance
misogynistic,deepseek,ppi,200,342.0,2.044873,0.113201,0.580687,0.113201,300,300,high_variance
misogynistic,deepseek,ppi,200,408.0,2.27232,0.125932,0.637008,0.125932,300,300,high_variance
misogynistic,deepseek,ppi,200,488.0,2.114387,0.117137,0.595251,0.117137,300,300,high_variance
misogynistic,deepseek,ppi,200,584.0,2.235296,0.124984,0.557028,0.124984,300,300,high_variance
misogynistic,deepseek,ppi,200,698.0,1.819443,0.102794,0.37471,0.102794,300,300,high_variance
misogynistic,deepseek,ppi,200,834.0,1.724576,0.096196,0.445071,0.096196,300,300,high_variance
misogynistic,deepseek,ppi,200,997.0,2.044935,0.113767,0.546725,0.113767,300,300,high_variance
misogynistic,deepseek,ppipp,200,239.0,0.363,0.020117,-0.101774,0.020117,300,300,high_variance
misogynistic,deepseek,ppipp,200,286.0,0.379194,0.020675,-0.124696,0.020675,300,300,high_variance
misogynistic,deepseek,ppipp,200,342.0,0.381282,0.020669,-0.131207,0.020669,300,300,high_variance
misogynistic,deepseek,ppipp,200,408.0,0.375258,0.020268,-0.132593,0.020268,300,300,high_variance
misogynistic,deepseek,ppipp,200,488.0,0.406689,0.022277,-0.128501,0.022277,300,300,high_variance
misogynistic,deepseek,ppipp,200,584.0,0.392763,0.02068,-0.161134,0.02068,300,300,high_variance
misogynistic,deepseek,ppipp,200,698.0,0.370943,0.019921,-0.136179,0.019921,300,300,high_variance
misogynistic,deepseek,ppipp,200,834.0,0.377651,0.019475,-0.169803,0.019475,300,300,high_variance
misogynistic,deepseek,ppipp,200,997.0,0.363035,0.018876,-0.157807,0.018876,300,300,high_variance
