dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,llama,llm_only,50,,0.805857,0.0,-0.805857,0.0,300,300,high_variance
misogynistic,llama,expert_only,50,70.0,2.193758,0.113726,0.965651,0.113726,300,300,high_variance
misogynistic,llama,expert_only,50,97.0,2.179732,0.113503,0.941453,0.113503,300,300,high_variance
misogynistic,llama,expert_only,50,136.0,2.36628,0.120991,1.098912,0.120991,300,300,high_variance
misogynistic,llama,expert_only,50,189.0,1.935368,0.102109,0.785999,0.102109,300,300,high_variance
misogynistic,llama,expert_only,50,264.0,1.824756,0.093584,0.838065,0.093584,300,300,high_variance
misogynistic,llama,expert_only,50,368.0,2.311678,0.118104,1.07672,0.118104,300,300,high_variance
misogynistic,llama,expert_only,50,513.0,1.987768,0.101996,0.911186,0.101996,300,300,high_variance
misogynistic,llama,expert_only,50,715.0,2.358875,0.119448,1.13312,0.119448,300,300,high_variance
misogynistic,llama,expert_only,50,997.0,2.078435,0.111113,0.784889,0.111113,300,300,high_variance
misogynistic,llama,dsl,50,70.0,0.69657,0.036657,-0.286522,0.036657,300,300,high_variance
misogynistic,llama,dsl,50,97.0,0.67736,0.035283,-0.292129,0.035283,300,300,high_variance
misogynistic,llama,dsl,50,136.0,0.622592,0.026509,-0.420484,0.026509,300,300,high_variance
misogynistic,llama,dsl,50,189.0,0.645894,0.025575,-0.470051,0.025575,300,300,high_variance
misogynistic,llama,dsl,50,264.0,0.642727,0.021859,-0.519377,0.021859,300,300,high_variance
misogynistic,llama,dsl,50,368.0,0.63899,0.022635,-0.504582,0.022635,300,300,high_variance
misogynistic,llama,dsl,50,513.0,0.620182,0.020973,-0.502652,0.020973,300,300,high_variance
misogynistic,llama,dsl,50,715.0,0.633287,0.020871,-0.519978,0.020871,300,300,high_variance
misogynistic,llama,dsl,50,997.0,0.643633,0.019947,-0.543044,0.019947,300,300,high_variance
misogynistic,llama,ppi,50,70.0,6.701885,0.365108,2.21904,0.365108,300,300,high_variance
misogynistic,llama,ppi,50,97.0,7.238534,0.388372,2.673308,0.388372,300,300,high_variance
misogynistic,llama,ppi,50,136.0,6.062256,0.335051,1.753068,0.335051,300,300,high_variance
misogynistic,llama,ppi,50,189.0,7.806484,0.432805,2.178339,0.432805,300,300,high_variance
misogynistic,llama,ppi,50,264.0,5.72188,0.322062,1.273831,0.322062,300,300,high_variance
misogynistic,llama,ppi,50,368.0,6.743737,0.378825,1.557365,0.378825,300,300,high_variance
misogynistic,llama,ppi,50,513.0,5.853765,0.32534,1.58519,0.32534,300,300,high_variance
misogynistic,llama,ppi,50,715.0,6.879192,0.381528,1.911574,0.381528,300,300,high_variance
misogynistic,llama,ppi,50,997.0,6.436621,0.360066,1.59242,0.360066,300,300,high_variance
misogynistic,llama,ppipp,50,70.0,0.719646,0.041499,0.035299,0.041499,300,300,high_variance
misogynistic,llama,ppipp,50,97.0,0.694445,0.04008,0.018519,0.04008,300,300,high_variance
misogynistic,llama,ppipp,50,136.0,0.685538,0.039579,-0.004471,0.039579,300,300,high_variance
misogynistic,llama,ppipp,50,189.0,0.661302,0.037661,-0.108725,0.037661,300,300,high_variance
misogynistic,llama,ppipp,50,264.0,0.60716,0.034434,-0.113739,0.034434,300,300,high_variance
misogynistic,llama,ppipp,50,368.0,0.641437,0.036738,-0.080909,0.036738,300,300,high_variance
misogynistic,llama,ppipp,50,513.0,0.58866,0.033474,-0.101863,0.033474,300,300,high_variance
misogynistic,llama,ppipp,50,715.0,0.650052,0.037189,-0.087509,0.037189,300,300,high_variance
misogynistic,llama,ppipp,50,997.0,0.672897,0.037769,-0.157599,0.037769,300,300,high_variance
