dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,claude,llm_only,100,,0.408199,0.0,-0.408199,0.0,300,300,high_variance
vuamc,claude,expert_only,100,129.0,0.430514,0.022964,0.164734,0.022964,300,300,high_variance
vuamc,claude,expert_only,100,167.0,0.443129,0.023651,0.168969,0.023651,300,300,high_variance
vuamc,claude,expert_only,100,215.0,0.415666,0.022647,0.137526,0.022647,300,300,high_variance
vuamc,claude,expert_only,100,278.0,0.444219,0.023959,0.158483,0.023959,300,300,high_variance
vuamc,claude,expert_only,100,359.0,0.476574,0.026161,0.14766,0.026161,300,300,high_variance
vuamc,claude,expert_only,100,463.0,0.496426,0.02725,0.153858,0.02725,300,300,high_variance
vuamc,claude,expert_only,100,598.0,0.476044,0.025887,0.159926,0.025887,300,300,high_variance
vuamc,claude,expert_only,100,772.0,0.404953,0.022247,0.124535,0.022247,300,300,high_variance
vuamc,claude,expert_only,100,997.0,0.494477,0.026568,0.180966,0.026568,300,300,high_variance
vuamc,claude,dsl,100,129.0,0.598932,0.001875,-0.598051,0.001875,300,300,high_variance
vuamc,claude,dsl,100,167.0,0.597463,0.001844,-0.596609,0.001844,300,300,high_variance
vuamc,claude,dsl,100,215.0,0.596311,0.00191,-0.595392,0.00191,300,300,high_variance
vuamc,claude,dsl,100,278.0,0.596445,0.00163,-0.595776,0.00163,300,300,high_variance
vuamc,claude,dsl,100,359.0,0.60017,0.001873,-0.599293,0.001873,300,300,high_variance
vuamc,claude,dsl,100,463.0,0.601135,0.001613,-0.600485,0.001613,300,300,high_variance
vuamc,claude,dsl,100,598.0,0.59988,0.001699,-0.599158,0.001699,300,300,high_variance
vuamc,claude,dsl,100,772.0,0.600304,0.001592,-0.599671,0.001592,300,300,high_variance
vuamc,claude,dsl,100,997.0,0.598641,0.001638,-0.597969,0.001638,300,300,high_variance
vuamc,claude,ppi,100,129.0,0.498927,0.028125,-0.107814,0.028125,300,300,high_variance
vuamc,claude,ppi,100,167.0,0.404447,0.019723,-0.216521,0.019723,300,300,high_variance
vuamc,claude,ppi,100,215.0,0.366272,0.017379,-0.208676,0.017379,300,300,high_variance
vuamc,claude,ppi,100,278.0,0.355933,0.015497,-0.233745,0.015497,300,300,high_variance
vuamc,claude,ppi,100,359.0,0.359258,0.014251,-0.26104,0.014251,300,300,high_variance
vuamc,claude,ppi,100,463.0,0.351277,0.012993,-0.269718,0.012993,300,300,high_variance
vuamc,claude,ppi,100,598.0,0.350748,0.01431,-0.248167,0.01431,300,300,high_variance
vuamc,claude,ppi,100,772.0,0.354311,0.013252,-0.269911,0.013252,300,300,high_variance
vuamc,claude,ppi,100,997.0,0.349652,0.014125,-0.249795,0.014125,300,300,high_variance
vuamc,claude,ppipp,100,129.0,0.309318,0.004819,-0.297844,0.004819,300,300,high_variance
vuamc,claude,ppipp,100,167.0,0.310021,0.005021,-0.297575,0.005021,300,300,high_variance
vuamc,claude,ppipp,100,215.0,0.314251,0.004825,-0.302935,0.004825,300,300,high_variance
vuamc,claude,ppipp,100,278.0,0.31007,0.004712,-0.299135,0.004712,300,300,high_variance
vuamc,claude,ppipp,100,359.0,0.322396,0.005296,-0.309072,0.005296,300,300,high_variance
vuamc,claude,ppipp,100,463.0,0.321892,0.00545,-0.307741,0.00545,300,300,high_variance
vuamc,claude,ppipp,100,598.0,0.315025,0.00484,-0.303666,0.00484,300,300,high_variance
vuamc,claude,ppipp,100,772.0,0.318358,0.004814,-0.307245,0.004814,300,300,high_variance
vuamc,claude,ppipp,100,997.0,0.313409,0.005059,-0.300911,0.005059,300,300,high_variance
