dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,claude,llm_only,200,,0.516992,0.0,-0.350949,0.0,300,300,full_logistic
vuamc,claude,expert_only,200,239.0,0.911761,0.024896,0.098602,0.020778,300,300,full_logistic
vuamc,claude,expert_only,200,286.0,0.974406,0.024683,0.118527,0.022695,300,300,full_logistic
vuamc,claude,expert_only,200,342.0,0.893251,0.024318,0.075662,0.020977,300,300,full_logistic
vuamc,claude,expert_only,200,408.0,0.943087,0.025134,0.068964,0.021392,300,300,full_logistic
vuamc,claude,expert_only,200,488.0,0.970942,0.027567,0.099442,0.024331,300,300,full_logistic
vuamc,claude,expert_only,200,584.0,0.94016,0.025935,0.104133,0.021883,300,300,full_logistic
vuamc,claude,expert_only,200,698.0,0.957587,0.026051,0.09168,0.022377,300,300,full_logistic
vuamc,claude,expert_only,200,834.0,0.957794,0.02616,0.121474,0.022071,300,300,full_logistic
vuamc,claude,expert_only,200,997.0,0.89413,0.023487,0.065654,0.021412,300,300,full_logistic
vuamc,claude,dsl,200,239.0,1.342178,0.01235,-0.795705,0.006852,300,300,full_logistic
vuamc,claude,dsl,200,286.0,1.382123,0.012221,-0.804647,0.006702,300,300,full_logistic
vuamc,claude,dsl,200,342.0,1.379849,0.013582,-0.811265,0.00714,300,300,full_logistic
vuamc,claude,dsl,200,408.0,1.355128,0.014136,-0.800399,0.007006,300,300,full_logistic
vuamc,claude,dsl,200,488.0,1.38292,0.013488,-0.809019,0.006648,300,300,full_logistic
vuamc,claude,dsl,200,584.0,1.350515,0.014086,-0.789991,0.007478,300,300,full_logistic
vuamc,claude,dsl,200,698.0,1.349353,0.014007,-0.797208,0.006888,300,300,full_logistic
vuamc,claude,dsl,200,834.0,1.362554,0.016372,-0.795662,0.00812,300,300,full_logistic
vuamc,claude,dsl,200,997.0,1.379816,0.015124,-0.806171,0.007632,300,300,full_logistic
vuamc,claude,ppi,200,239.0,2.977452,0.112075,-0.582594,0.055288,300,300,full_logistic
vuamc,claude,ppi,200,286.0,2.26473,0.079855,-0.640421,0.03919,300,300,full_logistic
vuamc,claude,ppi,200,342.0,1.944635,0.070426,-0.585229,0.033774,300,300,full_logistic
vuamc,claude,ppi,200,408.0,1.495508,0.044825,-0.541506,0.025293,300,300,full_logistic
vuamc,claude,ppi,200,488.0,1.522645,0.048365,-0.557559,0.024946,300,300,full_logistic
vuamc,claude,ppi,200,584.0,1.356086,0.041069,-0.510916,0.022717,300,300,full_logistic
vuamc,claude,ppi,200,698.0,1.344204,0.043719,-0.538264,0.020355,300,300,full_logistic
vuamc,claude,ppi,200,834.0,1.411521,0.046319,-0.546403,0.023349,300,300,full_logistic
vuamc,claude,ppi,200,997.0,1.299496,0.036771,-0.544312,0.020472,300,300,full_logistic
vuamc,claude,ppipp,200,239.0,0.936313,0.013616,-0.519599,0.009117,300,300,full_logistic
vuamc,claude,ppipp,200,286.0,0.96177,0.014194,-0.51347,0.009489,300,300,full_logistic
vuamc,claude,ppipp,200,342.0,0.953267,0.013817,-0.528004,0.008851,300,300,full_logistic
vuamc,claude,ppipp,200,408.0,0.947542,0.014538,-0.525811,0.00907,300,300,full_logistic
vuamc,claude,ppipp,200,488.0,0.972275,0.014188,-0.532007,0.008927,300,300,full_logistic
vuamc,claude,ppipp,200,584.0,0.952774,0.013515,-0.514691,0.008734,300,300,full_logistic
vuamc,claude,ppipp,200,698.0,0.962162,0.014115,-0.527802,0.00935,300,300,full_logistic
vuamc,claude,ppipp,200,834.0,0.961561,0.014115,-0.514678,0.009286,300,300,full_logistic
vuamc,claude,ppipp,200,997.0,0.962047,0.014096,-0.533429,0.009165,300,300,full_logistic
