dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,claude,llm_only,50,,0.007194,0.0,-0.007194,0.0,300,300,prevalence
vuamc,claude,expert_only,50,70.0,0.174432,0.010069,0.003057,0.010069,300,300,prevalence
vuamc,claude,expert_only,50,97.0,0.160455,0.009231,-0.01352,0.009231,300,300,prevalence
vuamc,claude,expert_only,50,136.0,0.15692,0.009057,-0.003638,0.009057,300,300,prevalence
vuamc,claude,expert_only,50,189.0,0.149188,0.008612,0.00226,0.008612,300,300,prevalence
vuamc,claude,expert_only,50,264.0,0.157872,0.009111,-0.004275,0.009111,300,300,prevalence
vuamc,claude,expert_only,50,368.0,0.169848,0.009769,0.014852,0.009769,300,300,prevalence
vuamc,claude,expert_only,50,513.0,0.168381,0.009714,0.006564,0.009714,300,300,prevalence
vuamc,claude,expert_only,50,715.0,0.159585,0.009194,-0.010332,0.009194,300,300,prevalence
vuamc,claude,expert_only,50,997.0,0.172656,0.009968,-0.001406,0.009968,300,300,prevalence
vuamc,claude,dsl,50,70.0,0.156055,0.009006,0.004593,0.009006,300,300,prevalence
vuamc,claude,dsl,50,97.0,0.134523,0.007765,-0.002807,0.007765,300,300,prevalence
vuamc,claude,dsl,50,136.0,0.122566,0.00706,-0.008288,0.00706,300,300,prevalence
vuamc,claude,dsl,50,189.0,0.110033,0.006352,0.001703,0.006352,300,300,prevalence
vuamc,claude,dsl,50,264.0,0.107721,0.006215,-0.003975,0.006215,300,300,prevalence
vuamc,claude,dsl,50,368.0,0.107293,0.006182,0.006708,0.006182,300,300,prevalence
vuamc,claude,dsl,50,513.0,0.104664,0.006013,0.010399,0.006013,300,300,prevalence
vuamc,claude,dsl,50,715.0,0.098669,0.005696,-0.001065,0.005696,300,300,prevalence
vuamc,claude,dsl,50,997.0,0.102567,0.005918,0.003684,0.005918,300,300,prevalence
vuamc,claude,ppi,50,70.0,0.156677,0.009045,0.002541,0.009045,300,300,prevalence
vuamc,claude,ppi,50,97.0,0.135192,0.007796,-0.006726,0.007796,300,300,prevalence
vuamc,claude,ppi,50,136.0,0.123482,0.007095,-0.012037,0.007095,300,300,prevalence
vuamc,claude,ppi,50,189.0,0.11021,0.00636,-0.003246,0.00636,300,300,prevalence
vuamc,claude,ppi,50,264.0,0.108618,0.006253,-0.008337,0.006253,300,300,prevalence
vuamc,claude,ppi,50,368.0,0.107894,0.006229,0.001107,0.006229,300,300,prevalence
vuamc,claude,ppi,50,513.0,0.104083,0.006006,0.003632,0.006006,300,300,prevalence
vuamc,claude,ppi,50,715.0,0.097396,0.005607,-0.007477,0.005607,300,300,prevalence
vuamc,claude,ppi,50,997.0,0.102149,0.005895,-0.003174,0.005895,300,300,prevalence
vuamc,claude,ppipp,50,70.0,0.160891,0.009286,0.003985,0.009286,300,300,prevalence
vuamc,claude,ppipp,50,97.0,0.139773,0.008056,-0.008115,0.008056,300,300,prevalence
vuamc,claude,ppipp,50,136.0,0.130318,0.007516,-0.006037,0.007516,300,300,prevalence
vuamc,claude,ppipp,50,189.0,0.119289,0.006886,0.001748,0.006886,300,300,prevalence
vuamc,claude,ppipp,50,264.0,0.121445,0.007009,-0.003528,0.007009,300,300,prevalence
vuamc,claude,ppipp,50,368.0,0.127257,0.007322,0.010606,0.007322,300,300,prevalence
vuamc,claude,ppipp,50,513.0,0.123688,0.007125,0.008239,0.007125,300,300,prevalence
vuamc,claude,ppipp,50,715.0,0.11361,0.006552,-0.005462,0.006552,300,300,prevalence
vuamc,claude,ppipp,50,997.0,0.121958,0.007041,0.001225,0.007041,300,300,prevalence
