dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,100,,0.153477,0.0,-0.153477,0.0,300,300,prevalence
vuamc,deepseek,expert_only,100,129.0,0.125229,0.007221,0.006245,0.007221,300,300,prevalence
vuamc,deepseek,expert_only,100,167.0,0.113671,0.006563,0.000746,0.006563,300,300,prevalence
vuamc,deepseek,expert_only,100,215.0,0.109189,0.006293,0.006404,0.006293,300,300,prevalence
vuamc,deepseek,expert_only,100,278.0,0.111843,0.006457,-0.000689,0.006457,300,300,prevalence
vuamc,deepseek,expert_only,100,359.0,0.104102,0.00601,-0.000529,0.00601,300,300,prevalence
vuamc,deepseek,expert_only,100,463.0,0.117889,0.00676,0.013657,0.00676,300,300,prevalence
vuamc,deepseek,expert_only,100,598.0,0.116519,0.006696,0.011266,0.006696,300,300,prevalence
vuamc,deepseek,expert_only,100,772.0,0.108138,0.006243,0.000268,0.006243,300,300,prevalence
vuamc,deepseek,expert_only,100,997.0,0.112808,0.006507,0.004731,0.006507,300,300,prevalence
vuamc,deepseek,dsl,100,129.0,0.11862,0.006846,0.003458,0.006846,300,300,prevalence
vuamc,deepseek,dsl,100,167.0,0.099105,0.005722,-0.000704,0.005722,300,300,prevalence
vuamc,deepseek,dsl,100,215.0,0.096964,0.005578,0.008215,0.005578,300,300,prevalence
vuamc,deepseek,dsl,100,278.0,0.089315,0.00515,0.004392,0.00515,300,300,prevalence
vuamc,deepseek,dsl,100,359.0,0.081989,0.004731,0.002918,0.004731,300,300,prevalence
vuamc,deepseek,dsl,100,463.0,0.088998,0.005099,0.011026,0.005099,300,300,prevalence
vuamc,deepseek,dsl,100,598.0,0.08885,0.005111,0.007616,0.005111,300,300,prevalence
vuamc,deepseek,dsl,100,772.0,0.077324,0.004464,0.001291,0.004464,300,300,prevalence
vuamc,deepseek,dsl,100,997.0,0.082439,0.004759,0.001377,0.004759,300,300,prevalence
vuamc,deepseek,ppi,100,129.0,0.118718,0.006852,0.002911,0.006852,300,300,prevalence
vuamc,deepseek,ppi,100,167.0,0.099857,0.005763,-0.002582,0.005763,300,300,prevalence
vuamc,deepseek,ppi,100,215.0,0.096588,0.005567,0.005604,0.005567,300,300,prevalence
vuamc,deepseek,ppi,100,278.0,0.089487,0.005166,0.000843,0.005166,300,300,prevalence
vuamc,deepseek,ppi,100,359.0,0.082064,0.004738,-0.000558,0.004738,300,300,prevalence
vuamc,deepseek,ppi,100,463.0,0.089497,0.005151,0.007046,0.005151,300,300,prevalence
vuamc,deepseek,ppi,100,598.0,0.088842,0.005126,0.003006,0.005126,300,300,prevalence
vuamc,deepseek,ppi,100,772.0,0.078264,0.004517,-0.002101,0.004517,300,300,prevalence
vuamc,deepseek,ppi,100,997.0,0.082604,0.004767,-0.00246,0.004767,300,300,prevalence
vuamc,deepseek,ppipp,100,129.0,0.120639,0.006959,0.005049,0.006959,300,300,prevalence
vuamc,deepseek,ppipp,100,167.0,0.103637,0.005983,-1e-05,0.005983,300,300,prevalence
vuamc,deepseek,ppipp,100,215.0,0.099375,0.005723,0.007043,0.005723,300,300,prevalence
vuamc,deepseek,ppipp,100,278.0,0.095454,0.00551,0.001572,0.00551,300,300,prevalence
vuamc,deepseek,ppipp,100,359.0,0.088079,0.005085,0.000837,0.005085,300,300,prevalence
vuamc,deepseek,ppipp,100,463.0,0.098475,0.005642,0.012149,0.005642,300,300,prevalence
vuamc,deepseek,ppipp,100,598.0,0.096276,0.005534,0.009067,0.005534,300,300,prevalence
vuamc,deepseek,ppipp,100,772.0,0.087093,0.005028,0.00088,0.005028,300,300,prevalence
vuamc,deepseek,ppipp,100,997.0,0.091311,0.005269,0.003063,0.005269,300,300,prevalence
