dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,deepseek,llm_only,50,,0.656409,0.0,-0.656409,0.0,300,300,high_variance
vuamc,deepseek,expert_only,50,70.0,0.684224,0.035339,0.305807,0.035339,300,300,high_variance
vuamc,deepseek,expert_only,50,97.0,0.737469,0.036973,0.365742,0.036973,300,300,high_variance
vuamc,deepseek,expert_only,50,136.0,0.7383,0.037083,0.364075,0.037083,300,300,high_variance
vuamc,deepseek,expert_only,50,189.0,0.77755,0.037266,0.433548,0.037266,300,300,high_variance
vuamc,deepseek,expert_only,50,264.0,0.696899,0.03577,0.319101,0.03577,300,300,high_variance
vuamc,deepseek,expert_only,50,368.0,0.776716,0.03935,0.372509,0.03935,300,300,high_variance
vuamc,deepseek,expert_only,50,513.0,0.692395,0.035736,0.310304,0.035736,300,300,high_variance
vuamc,deepseek,expert_only,50,715.0,0.760394,0.037544,0.394123,0.037544,300,300,high_variance
vuamc,deepseek,expert_only,50,997.0,0.764373,0.038355,0.378066,0.038355,300,300,high_variance
vuamc,deepseek,dsl,50,70.0,0.591563,0.002947,-0.589357,0.002947,300,300,high_variance
vuamc,deepseek,dsl,50,97.0,0.595783,0.002958,-0.593576,0.002958,300,300,high_variance
vuamc,deepseek,dsl,50,136.0,0.605385,0.002873,-0.603337,0.002873,300,300,high_variance
vuamc,deepseek,dsl,50,189.0,0.590738,0.002761,-0.588799,0.002761,300,300,high_variance
vuamc,deepseek,dsl,50,264.0,0.604773,0.002683,-0.602985,0.002683,300,300,high_variance
vuamc,deepseek,dsl,50,368.0,0.600429,0.002666,-0.598651,0.002666,300,300,high_variance
vuamc,deepseek,dsl,50,513.0,0.601338,0.002709,-0.599505,0.002709,300,300,high_variance
vuamc,deepseek,dsl,50,715.0,0.598615,0.002638,-0.596868,0.002638,300,300,high_variance
vuamc,deepseek,dsl,50,997.0,0.601868,0.002508,-0.600298,0.002508,300,300,high_variance
vuamc,deepseek,ppi,50,70.0,1.272899,0.070975,0.330236,0.070975,300,300,high_variance
vuamc,deepseek,ppi,50,97.0,0.997106,0.05686,0.155926,0.05686,300,300,high_variance
vuamc,deepseek,ppi,50,136.0,0.703555,0.040415,-0.070529,0.040415,300,300,high_variance
vuamc,deepseek,ppi,50,189.0,0.77773,0.04478,0.057334,0.04478,300,300,high_variance
vuamc,deepseek,ppi,50,264.0,0.636502,0.035933,-0.133347,0.035933,300,300,high_variance
vuamc,deepseek,ppi,50,368.0,0.551877,0.030891,-0.135265,0.030891,300,300,high_variance
vuamc,deepseek,ppi,50,513.0,0.636115,0.036214,-0.105847,0.036214,300,300,high_variance
vuamc,deepseek,ppi,50,715.0,0.617816,0.035327,-0.085432,0.035327,300,300,high_variance
vuamc,deepseek,ppi,50,997.0,0.604099,0.034305,-0.109054,0.034305,300,300,high_variance
vuamc,deepseek,ppipp,50,70.0,0.310825,0.006425,-0.290218,0.006425,300,300,high_variance
vuamc,deepseek,ppipp,50,97.0,0.303305,0.006259,-0.283268,0.006259,300,300,high_variance
vuamc,deepseek,ppipp,50,136.0,0.312544,0.006942,-0.288486,0.006942,300,300,high_variance
vuamc,deepseek,ppipp,50,189.0,0.291607,0.006058,-0.272076,0.006058,300,300,high_variance
vuamc,deepseek,ppipp,50,264.0,0.31459,0.006694,-0.292445,0.006694,300,300,high_variance
vuamc,deepseek,ppipp,50,368.0,0.316165,0.006624,-0.294614,0.006624,300,300,high_variance
vuamc,deepseek,ppipp,50,513.0,0.321225,0.00694,-0.297887,0.00694,300,300,high_variance
vuamc,deepseek,ppipp,50,715.0,0.303613,0.006351,-0.282984,0.006351,300,300,high_variance
vuamc,deepseek,ppipp,50,997.0,0.309214,0.006611,-0.287232,0.006611,300,300,high_variance
