dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,100,,0.59096,0.0,-0.421275,0.0,300,300,full_logistic
vuamc,gpt54,expert_only,100,129.0,1.902907,0.060828,0.256914,0.043246,300,300,full_logistic
vuamc,gpt54,expert_only,100,167.0,1.847551,0.056991,0.283279,0.041492,300,300,full_logistic
vuamc,gpt54,expert_only,100,215.0,1.842645,0.062927,0.207882,0.042177,300,300,full_logistic
vuamc,gpt54,expert_only,100,278.0,1.895718,0.060808,0.259336,0.04321,300,300,full_logistic
vuamc,gpt54,expert_only,100,359.0,2.014119,0.072358,0.256354,0.045514,300,300,full_logistic
vuamc,gpt54,expert_only,100,463.0,1.971685,0.066646,0.221871,0.044886,300,300,full_logistic
vuamc,gpt54,expert_only,100,598.0,1.805598,0.054044,0.33891,0.044138,300,300,full_logistic
vuamc,gpt54,expert_only,100,772.0,1.688074,0.051502,0.245901,0.039501,300,300,full_logistic
vuamc,gpt54,expert_only,100,997.0,1.883554,0.059413,0.3311,0.049635,300,300,full_logistic
vuamc,gpt54,dsl,100,129.0,1.393049,0.018388,-0.783931,0.010551,300,300,full_logistic
vuamc,gpt54,dsl,100,167.0,1.394669,0.018383,-0.783698,0.010474,300,300,full_logistic
vuamc,gpt54,dsl,100,215.0,1.417805,0.019603,-0.809545,0.010529,300,300,full_logistic
vuamc,gpt54,dsl,100,278.0,1.41095,0.020446,-0.796313,0.011025,300,300,full_logistic
vuamc,gpt54,dsl,100,359.0,1.426698,0.021859,-0.795476,0.01133,300,300,full_logistic
vuamc,gpt54,dsl,100,463.0,1.420463,0.021205,-0.809398,0.011659,300,300,full_logistic
vuamc,gpt54,dsl,100,598.0,1.377534,0.020353,-0.785316,0.011431,300,300,full_logistic
vuamc,gpt54,dsl,100,772.0,1.39806,0.021001,-0.786815,0.011377,300,300,full_logistic
vuamc,gpt54,dsl,100,997.0,1.389822,0.021237,-0.783449,0.011058,300,300,full_logistic
vuamc,gpt54,ppi,100,129.0,4.145657,0.15962,-0.558337,0.083504,300,300,full_logistic
vuamc,gpt54,ppi,100,167.0,3.278408,0.137297,-0.595625,0.065513,300,300,full_logistic
vuamc,gpt54,ppi,100,215.0,2.43765,0.090455,-0.600911,0.045583,300,300,full_logistic
vuamc,gpt54,ppi,100,278.0,2.404315,0.094438,-0.519302,0.047453,300,300,full_logistic
vuamc,gpt54,ppi,100,359.0,2.297277,0.089376,-0.578909,0.043143,300,300,full_logistic
vuamc,gpt54,ppi,100,463.0,1.861461,0.063622,-0.617555,0.036851,300,300,full_logistic
vuamc,gpt54,ppi,100,598.0,1.829859,0.067484,-0.528293,0.03217,300,300,full_logistic
vuamc,gpt54,ppi,100,772.0,1.805404,0.062519,-0.487513,0.033113,300,300,full_logistic
vuamc,gpt54,ppi,100,997.0,1.843655,0.066797,-0.526021,0.033494,300,300,full_logistic
vuamc,gpt54,ppipp,100,129.0,1.105137,0.02164,-0.511568,0.01413,300,300,full_logistic
vuamc,gpt54,ppipp,100,167.0,1.092222,0.021507,-0.508746,0.013557,300,300,full_logistic
vuamc,gpt54,ppipp,100,215.0,1.092739,0.021236,-0.532176,0.013512,300,300,full_logistic
vuamc,gpt54,ppipp,100,278.0,1.083592,0.020167,-0.526467,0.014037,300,300,full_logistic
vuamc,gpt54,ppipp,100,359.0,1.107779,0.021732,-0.518157,0.013577,300,300,full_logistic
vuamc,gpt54,ppipp,100,463.0,1.113485,0.021762,-0.526802,0.014972,300,300,full_logistic
vuamc,gpt54,ppipp,100,598.0,1.055289,0.019336,-0.504726,0.014327,300,300,full_logistic
vuamc,gpt54,ppipp,100,772.0,1.06053,0.019161,-0.527569,0.012445,300,300,full_logistic
vuamc,gpt54,ppipp,100,997.0,1.067327,0.019883,-0.514426,0.013994,300,300,full_logistic
