dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,50,,0.40579,0.0,-0.40579,0.0,300,300,high_variance
vuamc,gpt54,expert_only,50,70.0,0.684224,0.035339,0.305807,0.035339,300,300,high_variance
vuamc,gpt54,expert_only,50,97.0,0.737469,0.036973,0.365742,0.036973,300,300,high_variance
vuamc,gpt54,expert_only,50,136.0,0.7383,0.037083,0.364075,0.037083,300,300,high_variance
vuamc,gpt54,expert_only,50,189.0,0.77755,0.037266,0.433548,0.037266,300,300,high_variance
vuamc,gpt54,expert_only,50,264.0,0.696899,0.03577,0.319101,0.03577,300,300,high_variance
vuamc,gpt54,expert_only,50,368.0,0.776716,0.03935,0.372509,0.03935,300,300,high_variance
vuamc,gpt54,expert_only,50,513.0,0.692395,0.035736,0.310304,0.035736,300,300,high_variance
vuamc,gpt54,expert_only,50,715.0,0.760394,0.037544,0.394123,0.037544,300,300,high_variance
vuamc,gpt54,expert_only,50,997.0,0.764373,0.038355,0.378066,0.038355,300,300,high_variance
vuamc,gpt54,dsl,50,70.0,0.592438,0.002929,-0.590261,0.002929,300,300,high_variance
vuamc,gpt54,dsl,50,97.0,0.596689,0.002662,-0.594905,0.002662,300,300,high_variance
vuamc,gpt54,dsl,50,136.0,0.603323,0.002616,-0.601619,0.002616,300,300,high_variance
vuamc,gpt54,dsl,50,189.0,0.594235,0.002545,-0.592598,0.002545,300,300,high_variance
vuamc,gpt54,dsl,50,264.0,0.600707,0.0025,-0.599144,0.0025,300,300,high_variance
vuamc,gpt54,dsl,50,368.0,0.603,0.002418,-0.601543,0.002418,300,300,high_variance
vuamc,gpt54,dsl,50,513.0,0.599562,0.002473,-0.59803,0.002473,300,300,high_variance
vuamc,gpt54,dsl,50,715.0,0.596382,0.002413,-0.594915,0.002413,300,300,high_variance
vuamc,gpt54,dsl,50,997.0,0.603119,0.002267,-0.60184,0.002267,300,300,high_variance
vuamc,gpt54,ppi,50,70.0,0.706747,0.040784,0.022266,0.040784,300,300,high_variance
vuamc,gpt54,ppi,50,97.0,0.574742,0.03295,-0.067959,0.03295,300,300,high_variance
vuamc,gpt54,ppi,50,136.0,0.456459,0.024229,-0.179549,0.024229,300,300,high_variance
vuamc,gpt54,ppi,50,189.0,0.499412,0.028129,-0.109727,0.028129,300,300,high_variance
vuamc,gpt54,ppi,50,264.0,0.437756,0.02275,-0.190693,0.02275,300,300,high_variance
vuamc,gpt54,ppi,50,368.0,0.393996,0.017914,-0.242825,0.017914,300,300,high_variance
vuamc,gpt54,ppi,50,513.0,0.417788,0.02173,-0.181363,0.02173,300,300,high_variance
vuamc,gpt54,ppi,50,715.0,0.457225,0.02499,-0.147305,0.02499,300,300,high_variance
vuamc,gpt54,ppi,50,997.0,0.390149,0.017836,-0.238287,0.017836,300,300,high_variance
vuamc,gpt54,ppipp,50,70.0,0.313012,0.006539,-0.291802,0.006539,300,300,high_variance
vuamc,gpt54,ppipp,50,97.0,0.305497,0.006405,-0.284644,0.006405,300,300,high_variance
vuamc,gpt54,ppipp,50,136.0,0.315362,0.007032,-0.290896,0.007032,300,300,high_variance
vuamc,gpt54,ppipp,50,189.0,0.297392,0.006348,-0.276319,0.006348,300,300,high_variance
vuamc,gpt54,ppipp,50,264.0,0.319823,0.006998,-0.295967,0.006998,300,300,high_variance
vuamc,gpt54,ppipp,50,368.0,0.321444,0.006868,-0.298621,0.006868,300,300,high_variance
vuamc,gpt54,ppipp,50,513.0,0.322185,0.007101,-0.297785,0.007101,300,300,high_variance
vuamc,gpt54,ppipp,50,715.0,0.309214,0.006621,-0.287162,0.006621,300,300,high_variance
vuamc,gpt54,ppipp,50,997.0,0.314448,0.006832,-0.291333,0.006832,300,300,high_variance
