dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,50,,0.201477,0.0,-0.201477,0.0,300,300,low_variance
vuamc,gpt54,expert_only,50,70.0,0.388767,0.022372,0.031358,0.022372,300,300,low_variance
vuamc,gpt54,expert_only,50,97.0,0.364062,0.020954,0.028541,0.020954,300,300,low_variance
vuamc,gpt54,expert_only,50,136.0,0.366412,0.020863,0.060596,0.020863,300,300,low_variance
vuamc,gpt54,expert_only,50,189.0,0.377006,0.021626,0.042727,0.021626,300,300,low_variance
vuamc,gpt54,expert_only,50,264.0,0.435677,0.024581,0.09248,0.024581,300,300,low_variance
vuamc,gpt54,expert_only,50,368.0,0.388296,0.022329,0.034582,0.022329,300,300,low_variance
vuamc,gpt54,expert_only,50,513.0,0.392092,0.022415,0.054836,0.022415,300,300,low_variance
vuamc,gpt54,expert_only,50,715.0,0.431836,0.024234,0.101493,0.024234,300,300,low_variance
vuamc,gpt54,expert_only,50,997.0,0.411533,0.023292,0.081296,0.023292,300,300,low_variance
vuamc,gpt54,dsl,50,70.0,0.803668,0.004031,-0.80063,0.004031,300,300,low_variance
vuamc,gpt54,dsl,50,97.0,0.799717,0.00356,-0.797337,0.00356,300,300,low_variance
vuamc,gpt54,dsl,50,136.0,0.814773,0.003384,-0.812662,0.003384,300,300,low_variance
vuamc,gpt54,dsl,50,189.0,0.810488,0.003002,-0.808818,0.003002,300,300,low_variance
vuamc,gpt54,dsl,50,264.0,0.820212,0.002753,-0.818824,0.002753,300,300,low_variance
vuamc,gpt54,dsl,50,368.0,0.826496,0.002151,-0.825656,0.002151,300,300,low_variance
vuamc,gpt54,dsl,50,513.0,0.824708,0.001798,-0.82412,0.001798,300,300,low_variance
vuamc,gpt54,dsl,50,715.0,0.82426,0.001435,-0.823885,0.001435,300,300,low_variance
vuamc,gpt54,dsl,50,997.0,0.827334,0.000945,-0.827172,0.000945,300,300,low_variance
vuamc,gpt54,ppi,50,70.0,0.526498,0.010331,-0.495159,0.010331,300,300,low_variance
vuamc,gpt54,ppi,50,97.0,0.503567,0.007791,-0.485151,0.007791,300,300,low_variance
vuamc,gpt54,ppi,50,136.0,0.516542,0.00628,-0.504958,0.00628,300,300,low_variance
vuamc,gpt54,ppi,50,189.0,0.517307,0.006206,-0.506017,0.006206,300,300,low_variance
vuamc,gpt54,ppi,50,264.0,0.518542,0.005579,-0.50946,0.005579,300,300,low_variance
vuamc,gpt54,ppi,50,368.0,0.52583,0.004923,-0.51887,0.004923,300,300,low_variance
vuamc,gpt54,ppi,50,513.0,0.514202,0.004977,-0.506924,0.004977,300,300,low_variance
vuamc,gpt54,ppi,50,715.0,0.514538,0.006032,-0.503819,0.006032,300,300,low_variance
vuamc,gpt54,ppi,50,997.0,0.515479,0.005396,-0.506936,0.005396,300,300,low_variance
vuamc,gpt54,ppipp,50,70.0,0.530142,0.00468,-0.523909,0.00468,300,300,low_variance
vuamc,gpt54,ppipp,50,97.0,0.524216,0.004595,-0.51814,0.004595,300,300,low_variance
vuamc,gpt54,ppipp,50,136.0,0.5214,0.004468,-0.515624,0.004468,300,300,low_variance
vuamc,gpt54,ppipp,50,189.0,0.526328,0.00412,-0.521468,0.00412,300,300,low_variance
vuamc,gpt54,ppipp,50,264.0,0.521864,0.004366,-0.516356,0.004366,300,300,low_variance
vuamc,gpt54,ppipp,50,368.0,0.531276,0.004053,-0.526618,0.004053,300,300,low_variance
vuamc,gpt54,ppipp,50,513.0,0.524615,0.004174,-0.519611,0.004174,300,300,low_variance
vuamc,gpt54,ppipp,50,715.0,0.520623,0.004131,-0.515684,0.004131,300,300,low_variance
vuamc,gpt54,ppipp,50,997.0,0.521397,0.004023,-0.51672,0.004023,300,300,low_variance
