dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,gpt54,llm_only,50,,0.05036,0.0,0.05036,0.0,300,300,prevalence
vuamc,gpt54,expert_only,50,70.0,0.174432,0.010069,0.003057,0.010069,300,300,prevalence
vuamc,gpt54,expert_only,50,97.0,0.160455,0.009231,-0.01352,0.009231,300,300,prevalence
vuamc,gpt54,expert_only,50,136.0,0.15692,0.009057,-0.003638,0.009057,300,300,prevalence
vuamc,gpt54,expert_only,50,189.0,0.149188,0.008612,0.00226,0.008612,300,300,prevalence
vuamc,gpt54,expert_only,50,264.0,0.157872,0.009111,-0.004275,0.009111,300,300,prevalence
vuamc,gpt54,expert_only,50,368.0,0.169848,0.009769,0.014852,0.009769,300,300,prevalence
vuamc,gpt54,expert_only,50,513.0,0.168381,0.009714,0.006564,0.009714,300,300,prevalence
vuamc,gpt54,expert_only,50,715.0,0.159585,0.009194,-0.010332,0.009194,300,300,prevalence
vuamc,gpt54,expert_only,50,997.0,0.172656,0.009968,-0.001406,0.009968,300,300,prevalence
vuamc,gpt54,dsl,50,70.0,0.156379,0.009025,0.004342,0.009025,300,300,prevalence
vuamc,gpt54,dsl,50,97.0,0.134772,0.007781,-0.001566,0.007781,300,300,prevalence
vuamc,gpt54,dsl,50,136.0,0.123446,0.007117,-0.006694,0.007117,300,300,prevalence
vuamc,gpt54,dsl,50,189.0,0.110696,0.006383,0.005496,0.006383,300,300,prevalence
vuamc,gpt54,dsl,50,264.0,0.108616,0.00627,0.001321,0.00627,300,300,prevalence
vuamc,gpt54,dsl,50,368.0,0.109054,0.006264,0.011007,0.006264,300,300,prevalence
vuamc,gpt54,dsl,50,513.0,0.106445,0.006104,0.012319,0.006104,300,300,prevalence
vuamc,gpt54,dsl,50,715.0,0.094763,0.005468,0.003331,0.005468,300,300,prevalence
vuamc,gpt54,dsl,50,997.0,0.105724,0.006101,-0.003278,0.006101,300,300,prevalence
vuamc,gpt54,ppi,50,70.0,0.157804,0.00911,0.002612,0.00911,300,300,prevalence
vuamc,gpt54,ppi,50,97.0,0.135183,0.007802,-0.003645,0.007802,300,300,prevalence
vuamc,gpt54,ppi,50,136.0,0.123476,0.007108,-0.009382,0.007108,300,300,prevalence
vuamc,gpt54,ppi,50,189.0,0.112103,0.006471,0.001817,0.006471,300,300,prevalence
vuamc,gpt54,ppi,50,264.0,0.109581,0.006326,-0.001831,0.006326,300,300,prevalence
vuamc,gpt54,ppi,50,368.0,0.10837,0.006243,0.007291,0.006243,300,300,prevalence
vuamc,gpt54,ppi,50,513.0,0.106714,0.006145,0.007785,0.006145,300,300,prevalence
vuamc,gpt54,ppi,50,715.0,0.094781,0.005469,-0.002965,0.005469,300,300,prevalence
vuamc,gpt54,ppi,50,997.0,0.105555,0.006083,-0.006373,0.006083,300,300,prevalence
vuamc,gpt54,ppipp,50,70.0,0.161769,0.009337,0.003816,0.009337,300,300,prevalence
vuamc,gpt54,ppipp,50,97.0,0.140008,0.008074,-0.006841,0.008074,300,300,prevalence
vuamc,gpt54,ppipp,50,136.0,0.131328,0.007577,-0.005066,0.007577,300,300,prevalence
vuamc,gpt54,ppipp,50,189.0,0.12002,0.006925,0.004042,0.006925,300,300,prevalence
vuamc,gpt54,ppipp,50,264.0,0.122072,0.007048,-0.000634,0.007048,300,300,prevalence
vuamc,gpt54,ppipp,50,368.0,0.128029,0.007352,0.013294,0.007352,300,300,prevalence
vuamc,gpt54,ppipp,50,513.0,0.125,0.007194,0.009938,0.007194,300,300,prevalence
vuamc,gpt54,ppipp,50,715.0,0.112277,0.006479,-0.003494,0.006479,300,300,prevalence
vuamc,gpt54,ppipp,50,997.0,0.122862,0.007093,-0.000988,0.007093,300,300,prevalence
