dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,llama,llm_only,100,,0.865631,0.0,-0.865631,0.0,300,300,low_variance
vuamc,llama,expert_only,100,129.0,0.26368,0.015017,0.043308,0.015017,300,300,low_variance
vuamc,llama,expert_only,100,167.0,0.238131,0.013679,0.023913,0.013679,300,300,low_variance
vuamc,llama,expert_only,100,215.0,0.260565,0.014868,0.039718,0.014868,300,300,low_variance
vuamc,llama,expert_only,100,278.0,0.246988,0.014244,0.011587,0.014244,300,300,low_variance
vuamc,llama,expert_only,100,359.0,0.264797,0.015204,0.027704,0.015204,300,300,low_variance
vuamc,llama,expert_only,100,463.0,0.242265,0.013929,0.021989,0.013929,300,300,low_variance
vuamc,llama,expert_only,100,598.0,0.251301,0.014379,0.033586,0.014379,300,300,low_variance
vuamc,llama,expert_only,100,772.0,0.239379,0.013773,0.019743,0.013773,300,300,low_variance
vuamc,llama,expert_only,100,997.0,0.258929,0.014874,0.026001,0.014874,300,300,low_variance
vuamc,llama,dsl,100,129.0,0.811524,0.003446,-0.809326,0.003446,300,300,low_variance
vuamc,llama,dsl,100,167.0,0.819413,0.003261,-0.817464,0.003261,300,300,low_variance
vuamc,llama,dsl,100,215.0,0.817083,0.003042,-0.815383,0.003042,300,300,low_variance
vuamc,llama,dsl,100,278.0,0.8248,0.002901,-0.823268,0.002901,300,300,low_variance
vuamc,llama,dsl,100,359.0,0.823956,0.002751,-0.822578,0.002751,300,300,low_variance
vuamc,llama,dsl,100,463.0,0.824069,0.002651,-0.822788,0.002651,300,300,low_variance
vuamc,llama,dsl,100,598.0,0.83026,0.002424,-0.829198,0.002424,300,300,low_variance
vuamc,llama,dsl,100,772.0,0.828803,0.00204,-0.828049,0.00204,300,300,low_variance
vuamc,llama,dsl,100,997.0,0.828948,0.00201,-0.828217,0.00201,300,300,low_variance
vuamc,llama,ppi,100,129.0,1.38832,0.079168,0.217185,0.079168,300,300,low_variance
vuamc,llama,ppi,100,167.0,1.102647,0.063647,0.023685,0.063647,300,300,low_variance
vuamc,llama,ppi,100,215.0,0.967143,0.055187,-0.147218,0.055187,300,300,low_variance
vuamc,llama,ppi,100,278.0,0.944966,0.053054,-0.220356,0.053054,300,300,low_variance
vuamc,llama,ppi,100,359.0,1.012873,0.057398,-0.193785,0.057398,300,300,low_variance
vuamc,llama,ppi,100,463.0,1.139516,0.065596,-0.087434,0.065596,300,300,low_variance
vuamc,llama,ppi,100,598.0,0.934243,0.052346,-0.225346,0.052346,300,300,low_variance
vuamc,llama,ppi,100,772.0,0.853831,0.046847,-0.265779,0.046847,300,300,low_variance
vuamc,llama,ppi,100,997.0,0.884297,0.048912,-0.253484,0.048912,300,300,low_variance
vuamc,llama,ppipp,100,129.0,0.517551,0.003412,-0.514166,0.003412,300,300,low_variance
vuamc,llama,ppipp,100,167.0,0.522608,0.003327,-0.519421,0.003327,300,300,low_variance
vuamc,llama,ppipp,100,215.0,0.521661,0.0035,-0.518126,0.0035,300,300,low_variance
vuamc,llama,ppipp,100,278.0,0.528029,0.003457,-0.524622,0.003457,300,300,low_variance
vuamc,llama,ppipp,100,359.0,0.522706,0.003611,-0.518951,0.003611,300,300,low_variance
vuamc,llama,ppipp,100,463.0,0.524651,0.00348,-0.521176,0.00348,300,300,low_variance
vuamc,llama,ppipp,100,598.0,0.523984,0.003597,-0.520268,0.003597,300,300,low_variance
vuamc,llama,ppipp,100,772.0,0.524301,0.003344,-0.521091,0.003344,300,300,low_variance
vuamc,llama,ppipp,100,997.0,0.526115,0.003567,-0.522474,0.003567,300,300,low_variance
