dataset,llm,method,n_expert,N_total,sRMSE,sRMSE_se,bias,bias_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,100,,0.121429,0.0,0.121429,0.0,300,300,prevalence
vuamc,mistral,expert_only,100,129.0,0.110843,0.006396,0.003805,0.006396,300,300,prevalence
vuamc,mistral,expert_only,100,167.0,0.118855,0.006834,-0.010834,0.006834,300,300,prevalence
vuamc,mistral,expert_only,100,215.0,0.112085,0.006471,0.000561,0.006471,300,300,prevalence
vuamc,mistral,expert_only,100,278.0,0.106012,0.006118,-0.003158,0.006118,300,300,prevalence
vuamc,mistral,expert_only,100,359.0,0.113961,0.006579,-0.001576,0.006579,300,300,prevalence
vuamc,mistral,expert_only,100,463.0,0.114755,0.006588,-0.0121,0.006588,300,300,prevalence
vuamc,mistral,expert_only,100,598.0,0.120606,0.006963,-0.00118,0.006963,300,300,prevalence
vuamc,mistral,expert_only,100,772.0,0.110091,0.006351,0.004596,0.006351,300,300,prevalence
vuamc,mistral,expert_only,100,997.0,0.118885,0.00683,-0.011704,0.00683,300,300,prevalence
vuamc,mistral,dsl,100,129.0,0.105249,0.006074,0.002734,0.006074,300,300,prevalence
vuamc,mistral,dsl,100,167.0,0.112382,0.006479,-0.005985,0.006479,300,300,prevalence
vuamc,mistral,dsl,100,215.0,0.101203,0.005843,-0.000929,0.005843,300,300,prevalence
vuamc,mistral,dsl,100,278.0,0.096013,0.005542,-0.002135,0.005542,300,300,prevalence
vuamc,mistral,dsl,100,359.0,0.092634,0.005348,-0.000277,0.005348,300,300,prevalence
vuamc,mistral,dsl,100,463.0,0.097991,0.005651,-0.004546,0.005651,300,300,prevalence
vuamc,mistral,dsl,100,598.0,0.096971,0.005597,-0.002287,0.005597,300,300,prevalence
vuamc,mistral,dsl,100,772.0,0.096421,0.005558,-0.005323,0.005558,300,300,prevalence
vuamc,mistral,dsl,100,997.0,0.094415,0.005445,-0.004462,0.005445,300,300,prevalence
vuamc,mistral,ppi,100,129.0,0.105404,0.006084,0.002587,0.006084,300,300,prevalence
vuamc,mistral,ppi,100,167.0,0.112787,0.006499,-0.006976,0.006499,300,300,prevalence
vuamc,mistral,ppi,100,215.0,0.101405,0.005854,-0.001323,0.005854,300,300,prevalence
vuamc,mistral,ppi,100,278.0,0.095899,0.005534,-0.00283,0.005534,300,300,prevalence
vuamc,mistral,ppi,100,359.0,0.092335,0.005331,-0.000798,0.005331,300,300,prevalence
vuamc,mistral,ppi,100,463.0,0.098366,0.00567,-0.005664,0.00567,300,300,prevalence
vuamc,mistral,ppi,100,598.0,0.09686,0.005589,-0.003164,0.005589,300,300,prevalence
vuamc,mistral,ppi,100,772.0,0.096053,0.005533,-0.006413,0.005533,300,300,prevalence
vuamc,mistral,ppi,100,997.0,0.094325,0.005437,-0.005349,0.005437,300,300,prevalence
vuamc,mistral,ppipp,100,129.0,0.106848,0.006166,0.003454,0.006166,300,300,prevalence
vuamc,mistral,ppipp,100,167.0,0.113696,0.006546,-0.008378,0.006546,300,300,prevalence
vuamc,mistral,ppipp,100,215.0,0.103515,0.005976,0.000259,0.005976,300,300,prevalence
vuamc,mistral,ppipp,100,278.0,0.097512,0.005628,-0.002365,0.005628,300,300,prevalence
vuamc,mistral,ppipp,100,359.0,0.098789,0.005704,-0.000222,0.005704,300,300,prevalence
vuamc,mistral,ppipp,100,463.0,0.102234,0.005885,-0.007888,0.005885,300,300,prevalence
vuamc,mistral,ppipp,100,598.0,0.104942,0.006058,-0.001381,0.006058,300,300,prevalence
vuamc,mistral,ppipp,100,772.0,0.09836,0.005679,-0.000223,0.005679,300,300,prevalence
vuamc,mistral,ppipp,100,997.0,0.101584,0.00585,-0.007251,0.00585,300,300,prevalence
