dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,200,,0.962776,0.0,-0.948728,0.0,300,300,full_logistic
vuamc,mistral,expert_only,200,239.0,1.346845,0.041457,0.091449,0.033067,300,300,full_logistic
vuamc,mistral,expert_only,200,286.0,1.371967,0.040179,0.163687,0.033041,300,300,full_logistic
vuamc,mistral,expert_only,200,342.0,1.472182,0.048967,0.101399,0.035897,300,300,full_logistic
vuamc,mistral,expert_only,200,408.0,1.237937,0.033983,0.066339,0.028667,300,300,full_logistic
vuamc,mistral,expert_only,200,488.0,1.288936,0.03516,0.084329,0.028145,300,300,full_logistic
vuamc,mistral,expert_only,200,584.0,1.307342,0.03621,0.116205,0.031813,300,300,full_logistic
vuamc,mistral,expert_only,200,698.0,1.288895,0.036235,0.095065,0.028069,300,300,full_logistic
vuamc,mistral,expert_only,200,834.0,1.293183,0.03622,0.094732,0.028927,300,300,full_logistic
vuamc,mistral,expert_only,200,997.0,1.347656,0.041464,0.113145,0.030549,300,300,full_logistic
vuamc,mistral,dsl,200,239.0,1.673068,0.014706,-0.448221,0.008604,300,300,full_logistic
vuamc,mistral,dsl,200,286.0,1.725758,0.015295,-0.427445,0.008919,300,300,full_logistic
vuamc,mistral,dsl,200,342.0,1.697236,0.015124,-0.454234,0.009752,300,300,full_logistic
vuamc,mistral,dsl,200,408.0,1.715482,0.01526,-0.452896,0.009518,300,300,full_logistic
vuamc,mistral,dsl,200,488.0,1.710183,0.015907,-0.464925,0.010229,300,300,full_logistic
vuamc,mistral,dsl,200,584.0,1.744696,0.016076,-0.451911,0.01021,300,300,full_logistic
vuamc,mistral,dsl,200,698.0,1.749205,0.016961,-0.438912,0.010845,300,300,full_logistic
vuamc,mistral,dsl,200,834.0,1.718146,0.017028,-0.441691,0.010528,300,300,full_logistic
vuamc,mistral,dsl,200,997.0,1.706426,0.016652,-0.452989,0.01024,300,300,full_logistic
vuamc,mistral,ppi,200,239.0,8.575889,0.336911,1.515275,0.190317,300,300,full_logistic
vuamc,mistral,ppi,200,286.0,5.45608,0.220284,0.617204,0.123688,300,300,full_logistic
vuamc,mistral,ppi,200,342.0,4.644071,0.190756,0.443974,0.106033,300,300,full_logistic
vuamc,mistral,ppi,200,408.0,3.869356,0.153072,0.273048,0.086211,300,300,full_logistic
vuamc,mistral,ppi,200,488.0,3.647905,0.142389,0.199811,0.080045,300,300,full_logistic
vuamc,mistral,ppi,200,584.0,3.355128,0.128267,0.206638,0.072293,300,300,full_logistic
vuamc,mistral,ppi,200,698.0,3.252023,0.122092,0.217215,0.071979,300,300,full_logistic
vuamc,mistral,ppi,200,834.0,3.070866,0.119128,0.159658,0.068234,300,300,full_logistic
vuamc,mistral,ppi,200,997.0,3.040908,0.121525,0.120706,0.066409,300,300,full_logistic
vuamc,mistral,ppipp,200,239.0,1.269716,0.021059,-0.278537,0.012335,300,300,full_logistic
vuamc,mistral,ppipp,200,286.0,1.355445,0.022475,-0.236864,0.012658,300,300,full_logistic
vuamc,mistral,ppipp,200,342.0,1.260418,0.019053,-0.27517,0.012459,300,300,full_logistic
vuamc,mistral,ppipp,200,408.0,1.299068,0.020402,-0.26558,0.012646,300,300,full_logistic
vuamc,mistral,ppipp,200,488.0,1.285959,0.020654,-0.280777,0.011902,300,300,full_logistic
vuamc,mistral,ppipp,200,584.0,1.315143,0.020657,-0.266816,0.013427,300,300,full_logistic
vuamc,mistral,ppipp,200,698.0,1.292209,0.019913,-0.273321,0.011664,300,300,full_logistic
vuamc,mistral,ppipp,200,834.0,1.29456,0.021333,-0.269419,0.01258,300,300,full_logistic
vuamc,mistral,ppipp,200,997.0,1.301458,0.020748,-0.273319,0.013132,300,300,full_logistic
