dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
vuamc,mistral,llm_only,200,,0.668468,0.0,-0.668468,0.0,300,300,high_variance
vuamc,mistral,expert_only,200,239.0,0.206957,0.011701,0.041946,0.011701,300,300,high_variance
vuamc,mistral,expert_only,200,286.0,0.254789,0.013947,0.08099,0.013947,300,300,high_variance
vuamc,mistral,expert_only,200,342.0,0.226286,0.012707,0.052578,0.012707,300,300,high_variance
vuamc,mistral,expert_only,200,408.0,0.198628,0.0113,0.033832,0.0113,300,300,high_variance
vuamc,mistral,expert_only,200,488.0,0.229956,0.012749,0.06419,0.012749,300,300,high_variance
vuamc,mistral,expert_only,200,584.0,0.197127,0.011134,0.040851,0.011134,300,300,high_variance
vuamc,mistral,expert_only,200,698.0,0.213994,0.011816,0.062536,0.011816,300,300,high_variance
vuamc,mistral,expert_only,200,834.0,0.227663,0.012683,0.05975,0.012683,300,300,high_variance
vuamc,mistral,expert_only,200,997.0,0.223937,0.012537,0.054705,0.012537,300,300,high_variance
vuamc,mistral,dsl,200,239.0,0.611421,0.00123,-0.61105,0.00123,300,300,high_variance
vuamc,mistral,dsl,200,286.0,0.609904,0.001177,-0.609563,0.001177,300,300,high_variance
vuamc,mistral,dsl,200,342.0,0.612832,0.001168,-0.612498,0.001168,300,300,high_variance
vuamc,mistral,dsl,200,408.0,0.614358,0.001128,-0.614047,0.001128,300,300,high_variance
vuamc,mistral,dsl,200,488.0,0.612164,0.001191,-0.611816,0.001191,300,300,high_variance
vuamc,mistral,dsl,200,584.0,0.611984,0.001133,-0.611669,0.001133,300,300,high_variance
vuamc,mistral,dsl,200,698.0,0.613355,0.001108,-0.613055,0.001108,300,300,high_variance
vuamc,mistral,dsl,200,834.0,0.613133,0.001022,-0.612877,0.001022,300,300,high_variance
vuamc,mistral,dsl,200,997.0,0.614467,0.001074,-0.614185,0.001074,300,300,high_variance
vuamc,mistral,ppi,200,239.0,0.550608,0.031522,-0.071296,0.031522,300,300,high_variance
vuamc,mistral,ppi,200,286.0,0.397194,0.019539,-0.207919,0.019539,300,300,high_variance
vuamc,mistral,ppi,200,342.0,0.395046,0.017858,-0.245745,0.017858,300,300,high_variance
vuamc,mistral,ppi,200,408.0,0.356609,0.015341,-0.237843,0.015341,300,300,high_variance
vuamc,mistral,ppi,200,488.0,0.356005,0.013985,-0.260896,0.013985,300,300,high_variance
vuamc,mistral,ppi,200,584.0,0.326313,0.011428,-0.259419,0.011428,300,300,high_variance
vuamc,mistral,ppi,200,698.0,0.336493,0.011269,-0.274103,0.011269,300,300,high_variance
vuamc,mistral,ppi,200,834.0,0.345641,0.011853,-0.278069,0.011853,300,300,high_variance
vuamc,mistral,ppi,200,997.0,0.355651,0.012206,-0.285991,0.012206,300,300,high_variance
vuamc,mistral,ppipp,200,239.0,0.330715,0.002938,-0.326777,0.002938,300,300,high_variance
vuamc,mistral,ppipp,200,286.0,0.324255,0.003115,-0.319736,0.003115,300,300,high_variance
vuamc,mistral,ppipp,200,342.0,0.330177,0.003018,-0.326013,0.003018,300,300,high_variance
vuamc,mistral,ppipp,200,408.0,0.332499,0.002872,-0.328758,0.002872,300,300,high_variance
vuamc,mistral,ppipp,200,488.0,0.326052,0.002834,-0.322337,0.002834,300,300,high_variance
vuamc,mistral,ppipp,200,584.0,0.329913,0.00276,-0.326431,0.00276,300,300,high_variance
vuamc,mistral,ppipp,200,698.0,0.325253,0.00283,-0.321538,0.00283,300,300,high_variance
vuamc,mistral,ppipp,200,834.0,0.327362,0.002867,-0.323573,0.002867,300,300,high_variance
vuamc,mistral,ppipp,200,997.0,0.329534,0.002952,-0.325544,0.002952,300,300,high_variance
