dataset,llm,method,n_expert,N_total,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,50,,10.145757,0.0,-4.390955,0.0,300,300,full_logistic
misogynistic,deepseek,expert_only,50,70.0,23.568241,0.943594,3.336698,0.522245,300,300,full_logistic
misogynistic,deepseek,expert_only,50,97.0,24.734276,0.986156,2.31777,0.564449,300,300,full_logistic
misogynistic,deepseek,expert_only,50,136.0,24.244294,0.993408,1.670075,0.569357,300,300,full_logistic
misogynistic,deepseek,expert_only,50,189.0,27.16326,1.124094,1.951989,0.62357,300,300,full_logistic
misogynistic,deepseek,expert_only,50,264.0,21.105907,0.798156,2.218429,0.474336,300,300,full_logistic
misogynistic,deepseek,expert_only,50,368.0,20.240082,0.750264,2.08881,0.469354,300,300,full_logistic
misogynistic,deepseek,expert_only,50,514.0,22.344426,0.865722,3.044786,0.504269,300,300,full_logistic
misogynistic,deepseek,expert_only,50,717.0,25.839538,1.056124,2.681212,0.598531,300,300,full_logistic
misogynistic,deepseek,expert_only,50,1000.0,22.886421,0.893237,2.728593,0.520015,300,300,full_logistic
misogynistic,deepseek,dsl,50,70.0,7.644118,0.270844,1.42697,0.149735,300,299,full_logistic
misogynistic,deepseek,dsl,50,97.0,7.315281,0.253218,1.218067,0.142209,300,300,full_logistic
misogynistic,deepseek,dsl,50,136.0,6.137439,0.226175,0.767283,0.126892,300,300,full_logistic
misogynistic,deepseek,dsl,50,189.0,5.948362,0.204821,0.936031,0.120276,300,300,full_logistic
misogynistic,deepseek,dsl,50,264.0,6.104401,0.214293,0.974227,0.108495,300,300,full_logistic
misogynistic,deepseek,dsl,50,368.0,5.591399,0.189068,0.850241,0.102533,300,300,full_logistic
misogynistic,deepseek,dsl,50,514.0,5.713402,0.199298,0.741813,0.107038,300,300,full_logistic
misogynistic,deepseek,dsl,50,717.0,5.425972,0.193361,0.646348,0.104721,300,300,full_logistic
misogynistic,deepseek,dsl,50,1000.0,5.417939,0.19424,0.766022,0.096213,300,300,full_logistic
misogynistic,deepseek,ppi,50,70.0,75.924706,3.569866,14.584637,1.473523,300,300,full_logistic
misogynistic,deepseek,ppi,50,97.0,86.18977,4.257171,15.226379,1.679546,300,300,full_logistic
misogynistic,deepseek,ppi,50,136.0,67.936575,3.55183,8.447098,1.420743,300,300,full_logistic
misogynistic,deepseek,ppi,50,189.0,68.838928,3.632651,8.782758,1.429578,300,300,full_logistic
misogynistic,deepseek,ppi,50,264.0,63.933611,3.332903,8.376677,1.326856,300,300,full_logistic
misogynistic,deepseek,ppi,50,368.0,73.898599,3.962272,8.78231,1.55918,300,300,full_logistic
misogynistic,deepseek,ppi,50,514.0,60.79574,3.180771,7.798394,1.267364,300,300,full_logistic
misogynistic,deepseek,ppi,50,717.0,61.632037,3.276844,7.04011,1.308609,300,300,full_logistic
misogynistic,deepseek,ppi,50,1000.0,58.144334,3.069172,7.21009,1.216185,300,300,full_logistic
misogynistic,deepseek,ppipp,50,70.0,8.258116,0.270774,1.573107,0.167248,300,300,full_logistic
misogynistic,deepseek,ppipp,50,97.0,7.858247,0.245879,1.184858,0.167991,300,300,full_logistic
misogynistic,deepseek,ppipp,50,136.0,7.265018,0.231711,0.819414,0.166185,300,300,full_logistic
misogynistic,deepseek,ppipp,50,189.0,7.29217,0.234098,0.930749,0.158559,300,300,full_logistic
misogynistic,deepseek,ppipp,50,264.0,7.328987,0.231019,1.044803,0.153764,300,300,full_logistic
misogynistic,deepseek,ppipp,50,368.0,7.044565,0.215177,1.009332,0.155663,300,300,full_logistic
misogynistic,deepseek,ppipp,50,514.0,7.365154,0.240867,1.039543,0.159433,300,300,full_logistic
misogynistic,deepseek,ppipp,50,717.0,7.457916,0.249883,1.00889,0.16785,300,300,full_logistic
misogynistic,deepseek,ppipp,50,1000.0,7.207897,0.235852,1.174582,0.155312,300,300,full_logistic
