dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,deepseek,llm_only,50,,0.902333,0.0,-0.902333,0.0,300,300,high_variance
misogynistic,deepseek,expert_only,50,70.0,2.235373,0.114889,1.018358,0.114889,300,300,high_variance
misogynistic,deepseek,expert_only,50,97.0,1.90342,0.099543,0.806436,0.099543,300,300,high_variance
misogynistic,deepseek,expert_only,50,136.0,1.996644,0.104132,0.856462,0.104132,300,300,high_variance
misogynistic,deepseek,expert_only,50,189.0,2.265938,0.120509,0.881914,0.120509,300,300,high_variance
misogynistic,deepseek,expert_only,50,264.0,1.944406,0.099959,0.884976,0.099959,300,300,high_variance
misogynistic,deepseek,expert_only,50,368.0,1.724176,0.087618,0.818344,0.087618,300,300,high_variance
misogynistic,deepseek,expert_only,50,514.0,1.857283,0.095699,0.837852,0.095699,300,300,high_variance
misogynistic,deepseek,expert_only,50,717.0,2.132802,0.110526,0.940223,0.110526,300,300,high_variance
misogynistic,deepseek,expert_only,50,1000.0,2.129643,0.107043,1.047816,0.107043,300,300,high_variance
misogynistic,deepseek,dsl,50,70.0,0.653541,0.034064,-0.281091,0.034064,300,300,high_variance
misogynistic,deepseek,dsl,50,97.0,0.630598,0.029507,-0.369409,0.029507,300,300,high_variance
misogynistic,deepseek,dsl,50,136.0,0.633632,0.026071,-0.444509,0.026071,300,300,high_variance
misogynistic,deepseek,dsl,50,189.0,0.607175,0.022397,-0.467092,0.022397,300,300,high_variance
misogynistic,deepseek,dsl,50,264.0,0.602035,0.022425,-0.459987,0.022425,300,300,high_variance
misogynistic,deepseek,dsl,50,368.0,0.607344,0.020339,-0.494735,0.020339,300,300,high_variance
misogynistic,deepseek,dsl,50,514.0,0.605103,0.020462,-0.490449,0.020462,300,300,high_variance
misogynistic,deepseek,dsl,50,717.0,0.631811,0.019785,-0.530806,0.019785,300,300,high_variance
misogynistic,deepseek,dsl,50,1000.0,0.610877,0.01883,-0.516522,0.01883,300,300,high_variance
misogynistic,deepseek,ppi,50,70.0,7.655716,0.410432,2.841398,0.410432,300,300,high_variance
misogynistic,deepseek,ppi,50,97.0,8.819546,0.470615,3.367605,0.470615,300,300,high_variance
misogynistic,deepseek,ppi,50,136.0,7.032609,0.391614,1.857209,0.391614,300,300,high_variance
misogynistic,deepseek,ppi,50,189.0,7.144505,0.398217,1.863017,0.398217,300,300,high_variance
misogynistic,deepseek,ppi,50,264.0,6.498735,0.360779,1.784713,0.360779,300,300,high_variance
misogynistic,deepseek,ppi,50,368.0,7.788005,0.436232,1.887754,0.436232,300,300,high_variance
misogynistic,deepseek,ppi,50,514.0,6.246828,0.346766,1.717202,0.346766,300,300,high_variance
misogynistic,deepseek,ppi,50,717.0,6.441911,0.361042,1.546867,0.361042,300,300,high_variance
misogynistic,deepseek,ppi,50,1000.0,6.024444,0.336284,1.538751,0.336284,300,300,high_variance
misogynistic,deepseek,ppipp,50,70.0,0.729462,0.041792,0.090245,0.041792,300,300,high_variance
misogynistic,deepseek,ppipp,50,97.0,0.681299,0.039322,-0.017208,0.039322,300,300,high_variance
misogynistic,deepseek,ppipp,50,136.0,0.629815,0.036258,-0.047765,0.036258,300,300,high_variance
misogynistic,deepseek,ppipp,50,189.0,0.646043,0.036984,-0.083827,0.036984,300,300,high_variance
misogynistic,deepseek,ppipp,50,264.0,0.642883,0.037082,-0.027694,0.037082,300,300,high_variance
misogynistic,deepseek,ppipp,50,368.0,0.610774,0.034971,-0.078465,0.034971,300,300,high_variance
misogynistic,deepseek,ppipp,50,514.0,0.613743,0.034997,-0.096106,0.034997,300,300,high_variance
misogynistic,deepseek,ppipp,50,717.0,0.668763,0.038332,-0.080292,0.038332,300,300,high_variance
misogynistic,deepseek,ppipp,50,1000.0,0.654812,0.037763,-0.031037,0.037763,300,300,high_variance
