dataset,llm,method,n_expert,N_total,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,n_reps,n_valid,phase
misogynistic,gpt54,llm_only,50,,0.740431,0.0,-0.740431,0.0,300,300,high_variance
misogynistic,gpt54,expert_only,50,70.0,2.235373,0.114889,1.018358,0.114889,300,300,high_variance
misogynistic,gpt54,expert_only,50,97.0,1.90342,0.099543,0.806436,0.099543,300,300,high_variance
misogynistic,gpt54,expert_only,50,136.0,1.996644,0.104132,0.856462,0.104132,300,300,high_variance
misogynistic,gpt54,expert_only,50,189.0,2.265938,0.120509,0.881914,0.120509,300,300,high_variance
misogynistic,gpt54,expert_only,50,264.0,1.944406,0.099959,0.884976,0.099959,300,300,high_variance
misogynistic,gpt54,expert_only,50,368.0,1.724176,0.087618,0.818344,0.087618,300,300,high_variance
misogynistic,gpt54,expert_only,50,514.0,1.857283,0.095699,0.837852,0.095699,300,300,high_variance
misogynistic,gpt54,expert_only,50,717.0,2.132802,0.110526,0.940223,0.110526,300,300,high_variance
misogynistic,gpt54,expert_only,50,1000.0,2.129643,0.107043,1.047816,0.107043,300,300,high_variance
misogynistic,gpt54,dsl,50,70.0,0.650158,0.033957,-0.27709,0.033957,300,300,high_variance
misogynistic,gpt54,dsl,50,97.0,0.609512,0.027915,-0.371111,0.027915,300,300,high_variance
misogynistic,gpt54,dsl,50,136.0,0.618969,0.025482,-0.433966,0.025482,300,300,high_variance
misogynistic,gpt54,dsl,50,189.0,0.603546,0.021921,-0.469152,0.021921,300,300,high_variance
misogynistic,gpt54,dsl,50,264.0,0.578851,0.020708,-0.45434,0.020708,300,300,high_variance
misogynistic,gpt54,dsl,50,368.0,0.603226,0.019878,-0.495323,0.019878,300,300,high_variance
misogynistic,gpt54,dsl,50,514.0,0.59851,0.019765,-0.490932,0.019765,300,300,high_variance
misogynistic,gpt54,dsl,50,717.0,0.621106,0.018952,-0.527277,0.018952,300,300,high_variance
misogynistic,gpt54,dsl,50,1000.0,0.577497,0.017097,-0.495793,0.017097,300,300,high_variance
misogynistic,gpt54,ppi,50,70.0,9.132023,0.478332,3.84101,0.478332,300,300,high_variance
misogynistic,gpt54,ppi,50,97.0,9.298885,0.485854,3.95641,0.485854,300,300,high_variance
misogynistic,gpt54,ppi,50,136.0,7.655522,0.420047,2.38225,0.420047,300,300,high_variance
misogynistic,gpt54,ppi,50,189.0,7.307794,0.405318,2.029521,0.405318,300,300,high_variance
misogynistic,gpt54,ppi,50,264.0,7.618057,0.418728,2.331286,0.418728,300,300,high_variance
misogynistic,gpt54,ppi,50,368.0,8.228879,0.458365,2.164484,0.458365,300,300,high_variance
misogynistic,gpt54,ppi,50,514.0,7.612776,0.416205,2.446715,0.416205,300,300,high_variance
misogynistic,gpt54,ppi,50,717.0,7.320304,0.407785,1.92358,0.407785,300,300,high_variance
misogynistic,gpt54,ppi,50,1000.0,6.94386,0.381534,2.132327,0.381534,300,300,high_variance
misogynistic,gpt54,ppipp,50,70.0,0.736587,0.042249,0.084066,0.042249,300,300,high_variance
misogynistic,gpt54,ppipp,50,97.0,0.685444,0.039573,-0.00534,0.039573,300,300,high_variance
misogynistic,gpt54,ppipp,50,136.0,0.67236,0.038738,-0.043442,0.038738,300,300,high_variance
misogynistic,gpt54,ppipp,50,189.0,0.678086,0.038923,-0.072791,0.038923,300,300,high_variance
misogynistic,gpt54,ppipp,50,264.0,0.673101,0.038855,-0.01264,0.038855,300,300,high_variance
misogynistic,gpt54,ppipp,50,368.0,0.64445,0.037062,-0.056992,0.037062,300,300,high_variance
misogynistic,gpt54,ppipp,50,514.0,0.648612,0.037176,-0.077964,0.037176,300,300,high_variance
misogynistic,gpt54,ppipp,50,717.0,0.716765,0.041094,-0.084538,0.041094,300,300,high_variance
misogynistic,gpt54,ppipp,50,1000.0,0.688224,0.03971,0.024157,0.03971,300,300,high_variance
