dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,mistral,llm_only,,0.105031,0.0,-0.03494,0.0,300,300,full_logistic
cuad,mistral,expert_only,20.0,2.736613,0.072,5.148058,0.931517,300,300,full_logistic
cuad,mistral,expert_only,26.0,2.327037,0.075884,4.428366,0.757451,300,300,full_logistic
cuad,mistral,expert_only,33.0,1.942533,0.073276,4.395253,0.539915,300,300,full_logistic
cuad,mistral,expert_only,43.0,1.523801,0.057172,2.765598,0.423514,300,300,full_logistic
cuad,mistral,expert_only,56.0,1.004508,0.036533,1.359569,0.22636,300,300,full_logistic
cuad,mistral,expert_only,72.0,0.926826,0.033903,1.282316,0.240888,300,300,full_logistic
cuad,mistral,expert_only,93.0,0.642507,0.021499,0.592764,0.135389,300,300,full_logistic
cuad,mistral,expert_only,120.0,0.497216,0.014184,0.712534,0.12387,300,300,full_logistic
cuad,mistral,expert_only,155.0,0.44203,0.013206,0.338848,0.075417,300,300,full_logistic
cuad,mistral,expert_only,200.0,0.372293,0.011283,0.292329,0.064598,300,300,full_logistic
cuad,mistral,dsl,20.0,0.768889,0.011066,-0.692935,0.25452,300,300,full_logistic
cuad,mistral,dsl,26.0,0.663072,0.010131,-0.738321,0.212209,300,300,full_logistic
cuad,mistral,dsl,33.0,0.557242,0.006443,-0.495232,0.107479,300,300,full_logistic
cuad,mistral,dsl,43.0,0.546472,0.00604,-0.51307,0.093173,300,300,full_logistic
cuad,mistral,dsl,56.0,0.538311,0.005065,-0.516416,0.068819,300,300,full_logistic
cuad,mistral,dsl,72.0,0.515265,0.004194,-0.488535,0.066051,300,300,full_logistic
cuad,mistral,dsl,93.0,0.518045,0.004129,-0.510073,0.051636,300,300,full_logistic
cuad,mistral,dsl,120.0,0.505352,0.003304,-0.461924,0.048636,300,300,full_logistic
cuad,mistral,dsl,155.0,0.511075,0.002892,-0.454311,0.036111,300,300,full_logistic
cuad,mistral,dsl,200.0,0.499507,0.002575,-0.409466,0.031118,300,300,full_logistic
cuad,mistral,ppi,20.0,1.220287,0.054633,-1.595694,0.549879,300,300,full_logistic
cuad,mistral,ppi,26.0,0.895097,0.036626,-1.184474,0.444602,300,300,full_logistic
cuad,mistral,ppi,33.0,0.840664,0.034221,-0.325124,0.284147,300,300,full_logistic
cuad,mistral,ppi,43.0,0.656242,0.025375,-0.700739,0.276353,300,300,full_logistic
cuad,mistral,ppi,56.0,0.451707,0.012405,-0.376616,0.139058,300,300,full_logistic
cuad,mistral,ppi,72.0,0.397904,0.010166,-0.333418,0.113908,300,300,full_logistic
cuad,mistral,ppi,93.0,0.366102,0.008219,-0.33956,0.077983,300,300,full_logistic
cuad,mistral,ppi,120.0,0.329141,0.006867,-0.352861,0.078955,300,300,full_logistic
cuad,mistral,ppi,155.0,0.324722,0.006569,-0.289938,0.04993,300,300,full_logistic
cuad,mistral,ppi,200.0,0.291085,0.006042,-0.203684,0.043792,300,300,full_logistic
cuad,mistral,ppipp,20.0,0.637075,0.016353,0.897033,0.268461,300,300,full_logistic
cuad,mistral,ppipp,26.0,0.560603,0.013346,0.914082,0.227981,300,300,full_logistic
cuad,mistral,ppipp,33.0,0.484823,0.010769,0.852674,0.168682,300,300,full_logistic
cuad,mistral,ppipp,43.0,0.433005,0.010114,0.529856,0.140702,300,300,full_logistic
cuad,mistral,ppipp,56.0,0.386961,0.009008,0.052133,0.091598,300,300,full_logistic
cuad,mistral,ppipp,72.0,0.356569,0.008092,0.116645,0.104359,300,300,full_logistic
cuad,mistral,ppipp,93.0,0.345558,0.008232,-0.101368,0.069348,300,300,full_logistic
cuad,mistral,ppipp,120.0,0.314349,0.007095,0.006875,0.064598,300,300,full_logistic
cuad,mistral,ppipp,155.0,0.317733,0.006883,-0.139735,0.045189,300,300,full_logistic
cuad,mistral,ppipp,200.0,0.287255,0.006001,-0.119641,0.040755,300,300,full_logistic
