dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
misogynistic,llama,ppipp,20,0.942907,0.053653,-0.1596,0.053653,1.085249,0.034881,300,300,high_variance
misogynistic,llama,ppipp,26,0.760348,0.04332,-0.123097,0.04332,0.899974,0.026395,300,300,high_variance
misogynistic,llama,ppipp,33,0.690823,0.0394,-0.107389,0.0394,0.802822,0.023902,300,300,high_variance
misogynistic,llama,ppipp,43,0.716237,0.040869,-0.109132,0.040869,0.796669,0.024282,300,300,high_variance
misogynistic,llama,ppipp,56,0.598812,0.033407,-0.154184,0.033407,0.673128,0.019288,300,300,high_variance
misogynistic,llama,ppipp,72,0.53905,0.030038,-0.141013,0.030038,0.606669,0.016369,300,300,high_variance
misogynistic,llama,ppipp,93,0.483584,0.026746,-0.138734,0.026746,0.544827,0.014796,300,300,high_variance
misogynistic,llama,ppipp,120,0.462074,0.025504,-0.135534,0.025504,0.506944,0.014225,300,300,high_variance
misogynistic,llama,ppipp,155,0.397095,0.021795,-0.123205,0.021795,0.428118,0.012319,300,300,high_variance
misogynistic,llama,ppipp,200,0.378323,0.020084,-0.148731,0.020084,0.410235,0.011883,300,300,high_variance
