dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,claude,llm_only,,0.069338,0.0,0.069338,0.0,0.116667,0.0,300,300,low_variance
cuad,claude,expert_only,20.0,1.455258,0.078453,0.520872,0.078453,1.649357,0.064608,300,300,low_variance
cuad,claude,expert_only,26.0,0.884574,0.050171,0.165333,0.050171,1.103049,0.035877,300,300,low_variance
cuad,claude,expert_only,33.0,0.688421,0.039272,0.106049,0.039272,0.893362,0.026851,300,300,low_variance
cuad,claude,expert_only,43.0,0.680002,0.037796,0.183933,0.037796,0.847533,0.028278,300,300,low_variance
cuad,claude,expert_only,56.0,0.505428,0.02889,0.071235,0.02889,0.650021,0.019974,300,300,low_variance
cuad,claude,expert_only,72.0,0.45173,0.025627,0.083843,0.025627,0.564608,0.017149,300,300,low_variance
cuad,claude,expert_only,93.0,0.397779,0.022765,0.052529,0.022765,0.494199,0.014611,300,300,low_variance
cuad,claude,expert_only,120.0,0.378322,0.021799,0.02375,0.021799,0.452227,0.013693,300,300,low_variance
cuad,claude,expert_only,155.0,0.301645,0.01736,0.02408,0.01736,0.370839,0.011029,300,300,low_variance
cuad,claude,expert_only,200.0,0.24799,0.014307,0.009432,0.014307,0.314723,0.008649,300,300,low_variance
cuad,claude,dsl,20.0,0.655385,0.037837,-0.006035,0.037837,0.872567,0.024374,300,300,low_variance
cuad,claude,dsl,26.0,0.534174,0.030837,-0.008212,0.030837,0.708613,0.018761,300,300,low_variance
cuad,claude,dsl,33.0,0.261737,0.013955,-0.100426,0.013955,0.361786,0.011025,300,300,low_variance
cuad,claude,dsl,43.0,0.225992,0.010895,-0.124358,0.010895,0.305044,0.008823,300,300,low_variance
cuad,claude,dsl,56.0,0.189966,0.008605,-0.11779,0.008605,0.257642,0.006636,300,300,low_variance
cuad,claude,dsl,72.0,0.186231,0.007773,-0.128679,0.007773,0.234127,0.006222,300,300,low_variance
cuad,claude,dsl,93.0,0.174679,0.006684,-0.130811,0.006684,0.216268,0.00572,300,300,low_variance
cuad,claude,dsl,120.0,0.164832,0.006249,-0.12431,0.006249,0.197035,0.0049,300,300,low_variance
cuad,claude,dsl,155.0,0.158557,0.005373,-0.128379,0.005373,0.183695,0.004325,300,300,low_variance
cuad,claude,dsl,200.0,0.154072,0.004306,-0.134815,0.004306,0.177682,0.004043,300,300,low_variance
cuad,claude,ppi,20.0,0.41948,0.024202,0.015521,0.024202,0.543484,0.020658,300,300,low_variance
cuad,claude,ppi,26.0,0.290726,0.016777,-0.009189,0.016777,0.408156,0.013315,300,300,low_variance
cuad,claude,ppi,33.0,0.253822,0.0146,-0.021915,0.0146,0.376597,0.011847,300,300,low_variance
cuad,claude,ppi,43.0,0.239082,0.013609,-0.040028,0.013609,0.337159,0.010335,300,300,low_variance
cuad,claude,ppi,56.0,0.19069,0.010892,-0.027817,0.010892,0.281762,0.007718,300,300,low_variance
cuad,claude,ppi,72.0,0.17424,0.009662,-0.048533,0.009662,0.245215,0.006925,300,300,low_variance
cuad,claude,ppi,93.0,0.159191,0.008795,-0.046194,0.008795,0.222924,0.006328,300,300,low_variance
cuad,claude,ppi,120.0,0.142622,0.008055,-0.029568,0.008055,0.198289,0.00565,300,300,low_variance
cuad,claude,ppi,155.0,0.12634,0.006895,-0.041205,0.006895,0.169245,0.004208,300,300,low_variance
cuad,claude,ppi,200.0,0.11471,0.005877,-0.052879,0.005877,0.161382,0.004175,300,300,low_variance
