dataset,llm,method,n_expert,sRMSE,sRMSE_se,standardized_bias,bias_se,n_reps,phase
cuad,llama,llm_only,,0.05165,0.0,-0.05165,0.0,300,prevalence
cuad,llama,expert_only,20.0,0.230037,0.013277,0.005721,0.013277,300,prevalence
cuad,llama,expert_only,26.0,0.192208,0.011087,-0.008263,0.011087,300,prevalence
cuad,llama,expert_only,33.0,0.171286,0.009889,-0.001102,0.009889,300,prevalence
cuad,llama,expert_only,43.0,0.146026,0.008431,-0.000524,0.008431,300,prevalence
cuad,llama,expert_only,56.0,0.134023,0.007729,-0.00655,0.007729,300,prevalence
cuad,llama,expert_only,72.0,0.116644,0.006724,0.00637,0.006724,300,prevalence
cuad,llama,expert_only,93.0,0.100906,0.005797,-0.009971,0.005797,300,prevalence
cuad,llama,expert_only,120.0,0.08962,0.005173,0.001607,0.005173,300,prevalence
cuad,llama,expert_only,155.0,0.073566,0.004208,0.009971,0.004208,300,prevalence
cuad,llama,expert_only,200.0,0.062818,0.003625,-0.001851,0.003625,300,prevalence
cuad,llama,dsl,20.0,0.233581,0.013483,0.005027,0.013483,300,prevalence
cuad,llama,dsl,26.0,0.165724,0.009561,-0.006568,0.009561,300,prevalence
cuad,llama,dsl,33.0,0.093095,0.005371,-0.003625,0.005371,300,prevalence
cuad,llama,dsl,43.0,0.076504,0.004405,-0.005568,0.004405,300,prevalence
cuad,llama,dsl,56.0,0.072362,0.004168,-0.005051,0.004168,300,prevalence
cuad,llama,dsl,72.0,0.060575,0.003497,0.000425,0.003497,300,prevalence
cuad,llama,dsl,93.0,0.052373,0.003023,0.000769,0.003023,300,prevalence
cuad,llama,dsl,120.0,0.045936,0.002651,0.001393,0.002651,300,prevalence
cuad,llama,dsl,155.0,0.037422,0.00216,-0.000354,0.00216,300,prevalence
cuad,llama,dsl,200.0,0.031786,0.001835,-0.000138,0.001835,300,prevalence
cuad,llama,ppi,20.0,0.124516,0.007177,-0.007255,0.007177,300,prevalence
cuad,llama,ppi,26.0,0.10234,0.005907,-0.002561,0.005907,300,prevalence
cuad,llama,ppi,33.0,0.090589,0.005203,-0.009304,0.005203,300,prevalence
cuad,llama,ppi,43.0,0.076458,0.004389,-0.00822,0.004389,300,prevalence
cuad,llama,ppi,56.0,0.072485,0.004168,-0.00655,0.004168,300,prevalence
cuad,llama,ppi,72.0,0.060159,0.003473,-0.000974,0.003473,300,prevalence
cuad,llama,ppi,93.0,0.051889,0.002996,-0.000597,0.002996,300,prevalence
cuad,llama,ppi,120.0,0.046226,0.002669,0.00067,0.002669,300,prevalence
cuad,llama,ppi,155.0,0.037476,0.002163,-0.000611,0.002163,300,prevalence
cuad,llama,ppi,200.0,0.031818,0.001837,-0.000554,0.001837,300,prevalence
