dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
cuad,gpt54,llm_only,,0.049544,0.0,-0.133652,0.0,300,300,full_logistic
cuad,gpt54,expert_only,20.0,1.000827,0.01743,3.079768,0.444239,300,300,full_logistic
cuad,gpt54,expert_only,26.0,0.938329,0.018681,2.81301,0.405339,300,300,full_logistic
cuad,gpt54,expert_only,33.0,0.896193,0.019842,2.47767,0.352388,300,300,full_logistic
cuad,gpt54,expert_only,43.0,0.771412,0.019117,1.598585,0.259537,300,300,full_logistic
cuad,gpt54,expert_only,56.0,0.685497,0.017534,1.077131,0.231843,300,300,full_logistic
cuad,gpt54,expert_only,72.0,0.626484,0.016918,0.992965,0.173985,300,300,full_logistic
cuad,gpt54,expert_only,93.0,0.60761,0.01885,0.754286,0.134961,300,300,full_logistic
cuad,gpt54,expert_only,120.0,0.490699,0.014177,0.473118,0.11053,300,300,full_logistic
cuad,gpt54,expert_only,155.0,0.371693,0.010315,0.335532,0.08316,300,300,full_logistic
cuad,gpt54,expert_only,200.0,0.32458,0.009223,0.151636,0.055927,300,300,full_logistic
cuad,gpt54,dsl,20.0,0.829943,0.004309,-0.32156,0.116977,300,300,full_logistic
cuad,gpt54,dsl,26.0,0.793457,0.003345,-0.391796,0.0955,300,300,full_logistic
cuad,gpt54,dsl,33.0,0.781644,0.001984,-0.520887,0.039721,300,300,full_logistic
cuad,gpt54,dsl,43.0,0.784152,0.001669,-0.59439,0.030794,300,300,full_logistic
cuad,gpt54,dsl,56.0,0.781683,0.001338,-0.564562,0.025176,300,300,full_logistic
cuad,gpt54,dsl,72.0,0.781883,0.001144,-0.568823,0.021159,300,300,full_logistic
cuad,gpt54,dsl,93.0,0.78189,0.001045,-0.558971,0.018385,300,300,full_logistic
cuad,gpt54,dsl,120.0,0.780648,0.000847,-0.565102,0.015849,300,300,full_logistic
cuad,gpt54,dsl,155.0,0.780417,0.000764,-0.573341,0.014867,300,300,full_logistic
cuad,gpt54,dsl,200.0,0.780175,0.000665,-0.574038,0.01183,300,300,full_logistic
cuad,gpt54,ppi,20.0,0.691098,0.005676,-0.571267,0.043028,300,300,full_logistic
cuad,gpt54,ppi,26.0,0.695848,0.004658,-0.559509,0.038605,300,300,full_logistic
cuad,gpt54,ppi,33.0,0.68957,0.004298,-0.532873,0.029847,300,300,full_logistic
cuad,gpt54,ppi,43.0,0.692932,0.004013,-0.615867,0.026967,300,300,full_logistic
cuad,gpt54,ppi,56.0,0.688572,0.003353,-0.550421,0.025534,300,300,full_logistic
cuad,gpt54,ppi,72.0,0.690431,0.002847,-0.573699,0.020594,300,300,full_logistic
cuad,gpt54,ppi,93.0,0.691465,0.002651,-0.566875,0.017343,300,300,full_logistic
cuad,gpt54,ppi,120.0,0.689122,0.002243,-0.567872,0.015883,300,300,full_logistic
cuad,gpt54,ppi,155.0,0.688629,0.002045,-0.583639,0.01602,300,300,full_logistic
cuad,gpt54,ppi,200.0,0.688211,0.001784,-0.562346,0.013248,300,300,full_logistic
