dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,claude,llm_only,,0.89446,0.0,-2.474572,0.0,300,300,full_logistic
misogynistic,claude,expert_only,20.0,0.875484,0.007764,1.90483,0.409582,300,300,full_logistic
misogynistic,claude,expert_only,26.0,0.843989,0.007786,3.34634,0.413414,300,300,full_logistic
misogynistic,claude,expert_only,33.0,0.792324,0.007334,1.585034,0.363091,300,300,full_logistic
misogynistic,claude,expert_only,43.0,0.74729,0.006757,2.282294,0.356319,300,300,full_logistic
misogynistic,claude,expert_only,56.0,0.701385,0.006131,1.627696,0.310842,300,300,full_logistic
misogynistic,claude,expert_only,72.0,0.666348,0.005967,2.461322,0.304591,300,300,full_logistic
misogynistic,claude,expert_only,93.0,0.625311,0.00481,1.605998,0.248173,300,300,full_logistic
misogynistic,claude,expert_only,120.0,0.5842,0.004012,0.8993,0.208379,300,300,full_logistic
misogynistic,claude,expert_only,155.0,0.554878,0.003887,0.616212,0.169113,300,300,full_logistic
misogynistic,claude,expert_only,200.0,0.525596,0.003683,0.543626,0.137602,300,300,full_logistic
misogynistic,claude,dsl,20.0,0.961809,0.001928,-0.135711,0.060158,300,300,full_logistic
misogynistic,claude,dsl,26.0,0.958457,0.001555,0.086946,0.050268,300,300,full_logistic
misogynistic,claude,dsl,33.0,0.953483,0.001421,0.015849,0.039009,300,300,full_logistic
misogynistic,claude,dsl,43.0,0.955518,0.001061,0.016261,0.030868,300,300,full_logistic
misogynistic,claude,dsl,56.0,0.952882,0.001027,-0.047755,0.03122,300,300,full_logistic
misogynistic,claude,dsl,72.0,0.952049,0.001028,0.079512,0.027821,300,300,full_logistic
misogynistic,claude,dsl,93.0,0.949691,0.000893,0.075344,0.023559,300,300,full_logistic
misogynistic,claude,dsl,120.0,0.952653,0.000695,0.044923,0.021512,300,300,full_logistic
misogynistic,claude,dsl,155.0,0.952095,0.000669,0.032555,0.019262,300,300,full_logistic
misogynistic,claude,dsl,200.0,0.951198,0.000557,0.076528,0.015046,300,300,full_logistic
misogynistic,claude,ppi,20.0,0.939017,0.009755,0.644417,0.261633,300,300,full_logistic
misogynistic,claude,ppi,26.0,0.937073,0.007128,0.599757,0.249986,300,300,full_logistic
misogynistic,claude,ppi,33.0,0.916591,0.006607,0.362991,0.175499,300,300,full_logistic
misogynistic,claude,ppi,43.0,0.928468,0.004442,0.394533,0.139775,300,300,full_logistic
misogynistic,claude,ppi,56.0,0.918956,0.004134,0.228635,0.121267,300,300,full_logistic
misogynistic,claude,ppi,72.0,0.916734,0.00413,0.62865,0.131373,300,300,full_logistic
misogynistic,claude,ppi,93.0,0.909689,0.003829,0.362827,0.093186,300,300,full_logistic
misogynistic,claude,ppi,120.0,0.922533,0.002599,0.281312,0.082538,300,300,full_logistic
misogynistic,claude,ppi,155.0,0.918455,0.002658,0.139791,0.068065,300,300,full_logistic
misogynistic,claude,ppi,200.0,0.917394,0.002278,0.218586,0.058448,300,300,full_logistic
