dataset,llm,method,n_expert,sRMSE_eucl,sRMSE_eucl_se,bias_eucl,bias_eucl_se,n_reps,n_valid,phase
misogynistic,mistral,llm_only,,0.732288,0.0,-1.943295,0.0,300,300,full_logistic
misogynistic,mistral,expert_only,20.0,0.830069,0.006752,0.203107,0.09468,300,300,full_logistic
misogynistic,mistral,expert_only,72.0,0.566717,0.005479,0.985778,0.100941,300,300,full_logistic
misogynistic,mistral,expert_only,200.0,0.368446,0.00402,0.655659,0.0849,300,300,full_logistic
misogynistic,mistral,dsl,20.0,0.967265,0.0013,-0.70799,0.019573,300,300,full_logistic
misogynistic,mistral,dsl,72.0,0.961784,0.000637,-0.631788,0.00735,300,300,full_logistic
misogynistic,mistral,dsl,200.0,0.959809,0.000386,-0.613488,0.00418,300,300,full_logistic
misogynistic,mistral,ppi,20.0,0.972599,0.002794,-0.734995,0.020141,300,300,full_logistic
misogynistic,mistral,ppi,72.0,0.965965,0.001533,-0.754206,0.010599,300,300,full_logistic
misogynistic,mistral,ppi,200.0,0.964145,0.000843,-0.747226,0.005957,300,300,full_logistic
