dataset,llm,method,n_expert,sRMSE_beta2,sRMSE_beta2_se,bias_beta2,bias_beta2_se,sRMSE_eucl,sRMSE_eucl_se,n_reps,n_valid,phase
cuad,claude,llm_only,,0.218863,0.0,0.218863,0.0,0.269219,0.0,300,300,low_variance
cuad,claude,expert_only,20.0,2.91225,0.160078,0.890898,0.160078,3.32233,0.124833,300,300,low_variance
cuad,claude,expert_only,26.0,2.159995,0.121946,0.452012,0.121946,2.515904,0.089598,300,300,low_variance
cuad,claude,expert_only,33.0,1.788329,0.0992,0.495912,0.0992,2.165431,0.086213,300,300,low_variance
cuad,claude,expert_only,43.0,1.646115,0.089154,0.570224,0.089154,1.903822,0.061885,300,300,low_variance
cuad,claude,expert_only,56.0,1.186054,0.066474,0.284732,0.066474,1.407014,0.043898,300,300,low_variance
cuad,claude,expert_only,72.0,1.104781,0.061854,0.269758,0.061854,1.283402,0.041945,300,300,low_variance
cuad,claude,expert_only,93.0,0.875643,0.050144,0.111498,0.050144,1.034609,0.031612,300,300,low_variance
cuad,claude,expert_only,120.0,0.698971,0.039994,0.093287,0.039994,0.851558,0.025374,300,300,low_variance
cuad,claude,expert_only,155.0,0.555061,0.031965,0.039457,0.031965,0.695681,0.019181,300,300,low_variance
cuad,claude,expert_only,200.0,0.535229,0.030521,0.083702,0.030521,0.64656,0.01786,300,300,low_variance
cuad,claude,dsl,20.0,1.324116,0.076271,-0.090142,0.076271,1.709441,0.050352,300,300,low_variance
cuad,claude,dsl,26.0,1.054091,0.060857,0.005593,0.060857,1.343483,0.03886,300,300,low_variance
cuad,claude,dsl,33.0,0.520968,0.029818,-0.068311,0.029818,0.68407,0.023305,300,300,low_variance
cuad,claude,dsl,43.0,0.432172,0.023856,-0.126662,0.023856,0.576562,0.019882,300,300,low_variance
cuad,claude,dsl,56.0,0.391657,0.021532,-0.119627,0.021532,0.511878,0.016435,300,300,low_variance
cuad,claude,dsl,72.0,0.318829,0.017038,-0.120683,0.017038,0.414695,0.013281,300,300,low_variance
cuad,claude,dsl,93.0,0.296443,0.015019,-0.142149,0.015019,0.381259,0.012016,300,300,low_variance
cuad,claude,dsl,120.0,0.265255,0.013495,-0.125389,0.013495,0.333533,0.010756,300,300,low_variance
cuad,claude,dsl,155.0,0.251676,0.011978,-0.142479,0.011978,0.305994,0.008731,300,300,low_variance
cuad,claude,dsl,200.0,0.217741,0.009903,-0.134134,0.009903,0.273033,0.007978,300,300,low_variance
cuad,claude,ppi,20.0,0.654322,0.037692,0.044051,0.037692,0.887086,0.033107,300,300,low_variance
cuad,claude,ppi,26.0,0.573435,0.033048,0.034435,0.033048,0.772923,0.027501,300,300,low_variance
cuad,claude,ppi,33.0,0.517309,0.029846,0.019113,0.029846,0.715311,0.023628,300,300,low_variance
cuad,claude,ppi,43.0,0.485125,0.027944,-0.03296,0.027944,0.642212,0.021015,300,300,low_variance
cuad,claude,ppi,56.0,0.421807,0.024322,-0.021121,0.024322,0.561132,0.016809,300,300,low_variance
cuad,claude,ppi,72.0,0.35484,0.020475,-0.011754,0.020475,0.471613,0.013733,300,300,low_variance
cuad,claude,ppi,93.0,0.33484,0.019163,-0.044118,0.019163,0.438029,0.01289,300,300,low_variance
cuad,claude,ppi,120.0,0.297408,0.017116,-0.023811,0.017116,0.384939,0.011425,300,300,low_variance
cuad,claude,ppi,155.0,0.27346,0.015538,-0.048471,0.015538,0.34016,0.009377,300,300,low_variance
cuad,claude,ppi,200.0,0.239205,0.013574,-0.044041,0.013574,0.316124,0.008845,300,300,low_variance
cuad,claude,ppipp,20.0,1.18901,0.067073,0.253189,0.067073,1.479196,0.053309,300,300,high_variance
cuad,claude,ppipp,26.0,0.876669,0.050385,0.083397,0.050385,1.143071,0.034378,300,300,high_variance
cuad,claude,ppipp,33.0,0.73456,0.041895,0.114145,0.041895,0.98141,0.03214,300,300,high_variance
cuad,claude,ppipp,43.0,0.695478,0.039454,0.129239,0.039454,0.896429,0.023396,300,300,high_variance
cuad,claude,ppipp,56.0,0.595873,0.034309,0.043892,0.034309,0.761115,0.020591,300,300,high_variance
cuad,claude,ppipp,72.0,0.521743,0.030076,0.028944,0.030076,0.653058,0.017859,300,300,high_variance
cuad,claude,ppipp,93.0,0.442842,0.025477,-0.037322,0.025477,0.562868,0.014891,300,300,high_variance
cuad,claude,ppipp,120.0,0.373126,0.021493,-0.025139,0.021493,0.477987,0.013368,300,300,high_variance
cuad,claude,ppipp,155.0,0.325099,0.018508,-0.054046,0.018508,0.421038,0.010853,300,300,high_variance
cuad,claude,ppipp,200.0,0.293035,0.016846,-0.027066,0.016846,0.37494,0.009392,300,300,high_variance
